ftmo_scale,target_pct,horizon_days,runs,seeds,pass_pct,daily_breach_pct,max_breach_pct,not_reached_pct
1.0,10.000000000000009,30,10000,"0,3,7,11,19",0.16,0.0,0.0,99.83999999999999
1.0,10.000000000000009,60,10000,"0,3,7,11,19",1.24,0.0,0.0,98.76
1.0,10.000000000000009,180,10000,"0,3,7,11,19",16.57,0.0,1.16,82.27
1.0,10.000000000000009,365,10000,"0,3,7,11,19",44.3,0.0,4.109999999999999,51.59
1.25,10.000000000000009,30,10000,"0,3,7,11,19",0.63,0.0,0.0,99.37
1.25,10.000000000000009,60,10000,"0,3,7,11,19",3.53,0.0,0.08,96.39
1.25,10.000000000000009,180,10000,"0,3,7,11,19",27.58,0.0,3.6900000000000004,68.73
1.25,10.000000000000009,365,10000,"0,3,7,11,19",56.220000000000006,0.0,8.559999999999999,35.22
1.5,10.000000000000009,30,10000,"0,3,7,11,19",1.81,0.0,0.01,98.18
1.5,10.000000000000009,60,10000,"0,3,7,11,19",7.06,0.0,0.53,92.41
1.5,10.000000000000009,180,10000,"0,3,7,11,19",36.99,0.0,7.9799999999999995,55.03
1.5,10.000000000000009,365,10000,"0,3,7,11,19",63.12,0.0,14.02,22.86
1.75,10.000000000000009,30,10000,"0,3,7,11,19",3.4799999999999995,0.0,0.1,96.41999999999999
1.75,10.000000000000009,60,10000,"0,3,7,11,19",11.63,0.0,1.6400000000000001,86.72999999999999
1.75,10.000000000000009,180,10000,"0,3,7,11,19",44.57,0.0,12.78,42.65
1.75,10.000000000000009,365,10000,"0,3,7,11,19",66.52,0.0,19.46,14.02
2.0,10.000000000000009,30,10000,"0,3,7,11,19",5.52,0.0,0.44999999999999996,94.03
2.0,10.000000000000009,60,10000,"0,3,7,11,19",15.879999999999999,0.0,3.92,80.2
2.0,10.000000000000009,180,10000,"0,3,7,11,19",50.3,0.0,17.669999999999998,32.029999999999994
2.0,10.000000000000009,365,10000,"0,3,7,11,19",67.77,0.0,24.13,8.1
2.5,10.000000000000009,30,10000,"0,3,7,11,19",9.969999999999999,0.0,2.21,87.82
2.5,10.000000000000009,60,10000,"0,3,7,11,19",24.09,0.0,10.36,65.55
2.5,10.000000000000009,180,10000,"0,3,7,11,19",56.599999999999994,0.0,26.36,17.04
2.5,10.000000000000009,365,10000,"0,3,7,11,19",66.99000000000001,0.0,30.91,2.1
3.0,10.000000000000009,30,10000,"0,3,7,11,19",14.860000000000001,0.0,6.140000000000001,79.0
3.0,10.000000000000009,60,10000,"0,3,7,11,19",31.619999999999997,0.0,17.84,50.54
3.0,10.000000000000009,180,10000,"0,3,7,11,19",58.35,0.0,33.64,8.01
3.0,10.000000000000009,365,10000,"0,3,7,11,19",63.41,0.0,36.08,0.51
4.0,10.000000000000009,30,10000,"0,3,7,11,19",23.150000000000002,7.779999999999999,14.89,54.17999999999999
4.0,10.000000000000009,60,10000,"0,3,7,11,19",39.12,11.469999999999999,25.94,23.47
4.0,10.000000000000009,180,10000,"0,3,7,11,19",51.29,13.25,34.660000000000004,0.8
4.0,10.000000000000009,365,10000,"0,3,7,11,19",51.459999999999994,13.62,34.9,0.02
5.0,10.000000000000009,30,10000,"0,3,7,11,19",26.919999999999998,31.169999999999998,15.82,26.090000000000003
5.0,10.000000000000009,60,10000,"0,3,7,11,19",35.620000000000005,38.67,20.47,5.24
5.0,10.000000000000009,180,10000,"0,3,7,11,19",38.15,39.25,22.6,0.0
5.0,10.000000000000009,365,10000,"0,3,7,11,19",38.72,38.86,22.42,0.0
6.0,10.000000000000009,30,10000,"0,3,7,11,19",23.95,58.96,9.68,7.41
6.0,10.000000000000009,60,10000,"0,3,7,11,19",26.16,62.77,10.66,0.41000000000000003
6.0,10.000000000000009,180,10000,"0,3,7,11,19",26.840000000000003,62.68,10.48,0.0
6.0,10.000000000000009,365,10000,"0,3,7,11,19",26.75,62.89,10.36,0.0
7.0,10.000000000000009,30,10000,"0,3,7,11,19",20.54,73.89,4.2,1.37
7.0,10.000000000000009,60,10000,"0,3,7,11,19",20.64,75.19,4.15,0.02
7.0,10.000000000000009,180,10000,"0,3,7,11,19",21.05,74.89,4.06,0.0
7.0,10.000000000000009,365,10000,"0,3,7,11,19",20.76,75.24,4.0,0.0
9.0,10.000000000000009,30,10000,"0,3,7,11,19",12.09,86.58,1.25,0.08
9.0,10.000000000000009,60,10000,"0,3,7,11,19",12.02,86.7,1.28,0.0
9.0,10.000000000000009,180,10000,"0,3,7,11,19",12.29,86.46000000000001,1.25,0.0
9.0,10.000000000000009,365,10000,"0,3,7,11,19",12.78,85.92999999999999,1.29,0.0
