"ea","symbol","period","terminal","from_date","to_date","trades","profit_factor","net_profit","drawdown","report","summary"
"QM5_10094","GDAXI.DWX","M5","T6","2018.01.01","2025.12.31","90","0,51","-36849,32","43934,29","D:\QM\reports\ftmo_experiments\20260710\wave2_10094_full\QM5_10094\20260710_170431\raw\run_01\report.htm","D:\QM\reports\ftmo_experiments\20260710\wave2_10094_full\QM5_10094\20260710_170431\summary.json"
"QM5_10115","GDAXI.DWX","M15","T2","2018.01.01","2025.12.31","430","1,08","14052,28","26215,83","D:\QM\reports\ftmo_experiments\20260710\qm5_10115_full\QM5_10115\20260710_165103\raw\run_01\report.htm","D:\QM\reports\ftmo_experiments\20260710\qm5_10115_full\QM5_10115\20260710_165103\summary.json"
"QM5_10375","GDAXI.DWX","M5","T2","2018.01.01","2025.12.31","1684","1,06","27057,81","27081,94","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_ports\GDAXI_DWX\QM5_10375\20260710_172728\raw\run_03\report.htm","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_ports\GDAXI_DWX\QM5_10375\20260710_172728\summary.json"
"QM5_10375","NDX.DWX","M5","T1","2018.01.01","2025.12.31","1633","1,13","55972,52","15295,04","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_mae\QM5_10375\20260710_172659\raw\run_01\report.htm","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_mae\QM5_10375\20260710_172659\summary.json"
"QM5_10375","NDX.DWX","M5","T1","2018.01.01","2025.12.31","1615","1,18","72053,73","14438,29","D:\QM\reports\ftmo_experiments\20260710\wave2_10375_full\QM5_10375\20260710_170431\raw\run_03\report.htm","D:\QM\reports\ftmo_experiments\20260710\wave2_10375_full\QM5_10375\20260710_170431\summary.json"
"QM5_10375","SP500.DWX","M5","T6","2018.07.01","2025.12.31","1571","1,05","19878,94","18218,36","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_ports\SP500_DWX\QM5_10375\20260710_172728\raw\run_01\report.htm","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_ports\SP500_DWX\QM5_10375\20260710_172728\summary.json"
"QM5_10375","WS30.DWX","M5","T4","2018.01.01","2025.12.31","325","0,89","-68507,59","140308,77","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_ports\WS30_DWX\QM5_10375\20260710_172728\raw\run_01\report.htm","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_ports\WS30_DWX\QM5_10375\20260710_172728\summary.json"
"QM5_10375","XAUUSD.DWX","M5","T3","2017.01.01","2025.12.31","1945","0,93","-39385,89","59939,57","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_ports\XAUUSD_DWX\QM5_10375\20260710_172728\raw\run_01\report.htm","D:\QM\reports\ftmo_experiments\20260710\wave3_10375_ports\XAUUSD_DWX\QM5_10375\20260710_172728\summary.json"
"QM5_1045","SP500.DWX","M30","T4","2018.07.01","2025.12.31","946","0,96","-18056,5","55421,74","D:\QM\reports\ftmo_experiments\20260710\qm5_1045_full\QM5_1045\20260710_165103\raw\run_01\report.htm","D:\QM\reports\ftmo_experiments\20260710\qm5_1045_full\QM5_1045\20260710_165103\summary.json"
"QM5_10774","NDX.DWX","M15","T4","2018.01.01","2025.12.31","1574","0,97","-25889,9","46543,11","D:\QM\reports\ftmo_experiments\20260710\wave2_10774_full\QM5_10774\20260710_170431\raw\run_02\report.htm","D:\QM\reports\ftmo_experiments\20260710\wave2_10774_full\QM5_10774\20260710_170431\summary.json"
