"Name","Length","LastWrite"
"QUA-1075_BLOCKED_STATE_2026-05-09T120600+0200.json","979","2026-05-09T12:03:20+02:00"
"QUA-1075_BLOCKED_STATE_LATEST.json","135","2026-05-09T13:38:20+02:00"
"QUA-1075_CHILD_ISSUES_DRAFT_2026-05-09.json","1407","2026-05-09T12:05:13+02:00"
"QUA-1075_DEVOPS_CHILD_DRAFT_2026-05-09T1424.json","1258","2026-05-09T14:24:28+02:00"
"QUA-1075_HANDOFF_CHECKLIST_2026-05-09T1426.json","328","2026-05-09T14:26:47+02:00"
"QUA-1075_HANDOFF_EXEC_SUMMARY_2026-05-09T1430.txt","120","2026-05-09T14:30:20+02:00"
"QUA-1075_HANDOFF_HASHES_2026-05-09T1427.json","879","2026-05-09T14:27:49+02:00"
"QUA-1075_HANDOFF_MTIME_LEDGER_2026-05-09T1429.json","1153","2026-05-09T14:29:54+02:00"
"QUA-1075_HEARTBEAT_SIGNAL_2026-05-09T1428.txt","145","2026-05-09T14:29:25+02:00"
"QUA-1075_HEARTBEAT_UPDATE_2026-05-09.md","1654","2026-05-09T12:00:54+02:00"
"QUA-1075_P2_CLEAN_HANDOFF_2026-05-09T1423.json","266","2026-05-09T14:23:53+02:00"
"QUA-1075_P2_STATE_SNAPSHOT_2026-05-09T1421.json","962","2026-05-09T14:22:20+02:00"
"QUA-1075_RUNNER_MISSING_EVIDENCE_2026-05-09.md","643","2026-05-09T13:39:28+02:00"
"QUA-1075_STATUS_PACKET_2026-05-09.md","1579","2026-05-09T14:25:21+02:00"
"QUA-1075_STATUS_RECOMMENDATION_2026-05-09T121200+0200.json","497","2026-05-09T12:05:42+02:00"
"QUA-1075_UNBLOCK_DISCREPANCY_2026-05-09.md","864","2026-05-09T13:18:37+02:00"
"QUA-1075_UNBLOCK_PACKET_2026-05-09.md","2372","2026-05-09T12:04:23+02:00"
