seq,handler,tick_no,timer_no,sim_iso,sim_epoch,wall_ms,host_b0_open,host_b1_open,sec_b0_open,sec_b1_open,sec_close1,la_forming,la_closed
1,TIMER,0,1,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
2,TIMER,0,2,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
3,TIMER,0,3,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
4,TIMER,0,4,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
5,TIMER,0,5,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
6,TIMER,0,6,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7,TIMER,0,7,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
8,TIMER,0,8,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
9,TIMER,0,9,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
10,TIMER,0,10,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
11,TIMER,0,11,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
12,TIMER,0,12,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
13,TIMER,0,13,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
