ea_label,ea_id,registry_status,active_magic_row_count,symbols,timeframe,timeframe_source,mq5_sha256,work_item_count,bound_hash_count,decision
QM5_1009_lien-fade-double-zeros,QM5_1009,active,36,AUDCAD.DWX|AUDCHF.DWX|AUDJPY.DWX|AUDNZD.DWX|AUDUSD.DWX|CADCHF.DWX|CADJPY.DWX|CHFJPY.DWX|EURAUD.DWX|EURCAD.DWX|EURCHF.DWX|EURGBP.DWX|EURJPY.DWX|EURNZD.DWX|EURUSD.DWX|GBPAUD.DWX|GBPCAD.DWX|GBPCHF.DWX|GBPJPY.DWX|GBPNZD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDCAD.DWX|NZDCHF.DWX|NZDJPY.DWX|NZDUSD.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAGUSD.DWX|XAUUSD.DWX|XNGUSD.DWX|XTIUSD.DWX,M15,mq5_period_literal,61a44051923374687f5d99bd0c6bf938d4bb4c4d3f43fee12ac2fe953d3ccd82,0,0,ENQUEUE_COMPILE_EA
QM5_1345_chan-cot-spec-momo,QM5_1345,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,28e96316281f49a376e2e1edf3a21f9dc5cafdd39906423a4743fee5a7b4475c,0,0,ENQUEUE_COMPILE_EA
QM5_1404_as-raa-unemp-canary,QM5_1404,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,db2e06ca7aa202559707ce751b8185832343ef140d885ad52be4ece726537433,0,0,ENQUEUE_COMPILE_EA
QM5_1405_as-rpv-bestvalue,QM5_1405,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,01dfb70410b3c62f2e210baaabb6eedd5fc7bb4208019a9de3678f61f5a97f83,0,0,ENQUEUE_COMPILE_EA
QM5_1488_as-ddm-pods,QM5_1488,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,MN1,card_unique_timeframe,34691127445bc890e7f1dbd7bdde38a2bd4c7b58af9ac3e9609c65ea59286a94,0,0,ENQUEUE_COMPILE_EA
QM5_1489_as-permanent-tactical,QM5_1489,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,MN1,card_unique_timeframe,fd3705d27e5cb4eee92c4e5053dca71ead56b88c30f2e725dad63a178224e65b,0,0,ENQUEUE_COMPILE_EA
QM5_1538_aa-tsmom-1-3-12,QM5_1538,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,c9ec0b29192876241d12005812d2aced593a16af1ff44336f2b362575ad5bfc0,0,0,ENQUEUE_COMPILE_EA
QM5_1539_aa-canary-13612w,QM5_1539,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,e1152b2cc6df079a778d0bb310329c823bd130a068f331ea2bcb5b9ffe5fb854,0,0,ENQUEUE_COMPILE_EA
QM5_1572_aa-ls-mom-bear24,QM5_1572,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,0629ff6be2981d1a0b0ae2ba64211229830ad845824496c6a6b480448599a63f,0,0,ENQUEUE_COMPILE_EA
QM5_1583_aa-sma10-tr4-risk,QM5_1583,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,873688d8bcc404d0f8b980aa75ade67e9ba3a3d7d500c1f9e4e98cd3e3c7e185,0,0,ENQUEUE_COMPILE_EA
QM5_1606_aa-gvmt-robust,QM5_1606,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,ef729779e1d346ffbd9ef015184dc212c392048411806ba8edc5d1c2127060e3,0,0,ENQUEUE_COMPILE_EA
QM5_1607_aa-mom-tol-band,QM5_1607,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_unique_timeframe,3d8c8ac29b33b1e9f681e431d2f803e63a4d1bedfb08a4524874efbbe3374a80,0,0,ENQUEUE_COMPILE_EA
QM5_1611_aa-dsp-hpes024,QM5_1611,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_explicit_host_timeframe,cdc1195e93e5aea56901e1a858e17d914fdfee06b69a5b2011edee1b88445eaa,0,0,ENQUEUE_COMPILE_EA
QM5_1612_aa-dsp-hplwma10,QM5_1612,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_explicit_host_timeframe,be34c1f732107e83ff3151d085b8e62a2ae95eae0e0fce94c3e0f2699a73d0a3,0,0,ENQUEUE_COMPILE_EA
QM5_1613_aa-dsp-atsmom,QM5_1613,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,D1,card_explicit_host_timeframe,db5a1d8db8941d6acf45bed6949d0c5b02964875c1b9a466f6f4bb0eafcbb8c7,0,0,ENQUEUE_COMPILE_EA
QM5_1617_mql5-sar-sma-rapid,QM5_1617,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,M15,card_unique_timeframe,038e41d571cc8f0e7b8ce3ac1f34f0e7c3bc5d698b70cce9c5d7081e597cf6af,0,0,ENQUEUE_COMPILE_EA
QM5_1618_mql5-ma-support,QM5_1618,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,H1,card_unique_timeframe,8719a60286a06604ca67e5764773d673acddd3958a87b8008269a7257af2ba48,0,0,ENQUEUE_COMPILE_EA
QM5_1640_aa-indmom-12-0,QM5_1640,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,MN1,card_explicit_host_timeframe,bf204cf8422ed6a78cb46756adbeea71efcaa1bafb3e7c7567bb3147dd93636b,0,0,ENQUEUE_COMPILE_EA
QM5_1671_ehlers-ebsw-cycle-extract-composite-h4,QM5_1671,active,13,AUDUSD.DWX|EURUSD.DWX|GBPUSD.DWX|GDAXI.DWX|NDX.DWX|NZDUSD.DWX|SP500.DWX|UK100.DWX|USDCAD.DWX|USDCHF.DWX|USDJPY.DWX|WS30.DWX|XAUUSD.DWX,H4,ea_label,54e870f09ec2406f1b5e8c94c1182c94ae58bdc1346d3401811cce5cd37e865d,0,0,ENQUEUE_COMPILE_EA
