ea_id,symbol,classification,primary_cause,infra_row_count,total_q02_p2_rows,open_row_count,noninfra_terminal_count,latest_work_item_id,latest_updated_at,source_work_item_id,source_updated_at,source_status,source_attempt_count,source_verdict_reason,source_final_failure,source_evidence_path,source_evidence_exists,source_evidence_sha256,source_log_path,source_log_exists,source_report_root,source_aggregate_result,source_aggregate_reason_classes,source_aggregate_total_trades,valid_aggregate_work_item_id,valid_aggregate_path,valid_aggregate_sha256,valid_aggregate_type,valid_aggregate_total_trades,row_bound_summary_count,calendar_hard_summary_count,historical_lock_storm,latest_setfile_path,latest_setfile_exists,latest_setfile_sha256,setfile_findings,setfile_missing_headers,registry_status,registry_slug,canonical_ex5_paths,proposed_action,canary_selected,canary_group,canary_sequence,canary_execution_mode,classification_note
QM5_1014,EURGBP.DWX,INVALID_EVIDENCE_DEFECT,SETFILE_HEADER_INCOMPLETE,12,12,0,0,dd7101fd-3075-463a-af91-8d193791e5f2,2026-07-29T12:18:03+00:00,dd7101fd-3075-463a-af91-8d193791e5f2,2026-07-29T12:18:03+00:00,failed,1,ACTIVE_TIMEOUT,summary_missing_retries_exhausted,D:\QM\reports\work_items\dd7101fd-3075-463a-af91-8d193791e5f2\QM5_1014\20260728_031835\summary.json,True,d79932ec1370ee999e299183b4422adcb6c59d045ae619144957eb7c3fa9fe30,D:\QM\strategy_farm\logs\work_item_dd7101fd-3075-463a-af91-8d193791e5f2.log,False,D:\QM\reports\work_items\dd7101fd-3075-463a-af91-8d193791e5f2,FAIL,NO_HISTORY|INCOMPLETE_RUNS,0,,,,,,1,0,False,C:\QM\repo\framework\EAs\QM5_1014\sets\QM5_1014_EURGBP.DWX_D1_backtest.set,True,4e78a159e8e85a42c60929e932127f60be0f68b2a7185d88b5c5ce9771fcc034,SETFILE_HEADER_INCOMPLETE,author|build_hash|date|ea_id|ea_slug|ea_version|environment|magic_slot|portfolio_weight|risk_mode|set_version|symbol|timeframe,active,lien-channels,C:\QM\repo\framework\EAs\QM5_1014\QM5_1014.ex5,REPAIR_SETFILE_EVIDENCE_BEFORE_ANY_CANARY,False,,,,Current bound setfile fails the static header/duplicate audit.
QM5_1014,EURUSD.DWX,INVALID_EVIDENCE_DEFECT,SETFILE_HEADER_INCOMPLETE,12,12,0,0,8ede5ab7-6f1f-4971-885c-7b9d9a506d51,2026-07-29T12:18:03+00:00,8ede5ab7-6f1f-4971-885c-7b9d9a506d51,2026-07-29T12:18:03+00:00,failed,1,ACTIVE_TIMEOUT,summary_missing_retries_exhausted,D:\QM\reports\work_items\8ede5ab7-6f1f-4971-885c-7b9d9a506d51\QM5_1014\20260728_034151\summary.json,True,3f45ab708a0f32338aabd84f019a6ad2a3d78dd96bc86ffb63938cbfeaf3426c,D:\QM\strategy_farm\logs\work_item_8ede5ab7-6f1f-4971-885c-7b9d9a506d51.log,False,D:\QM\reports\work_items\8ede5ab7-6f1f-4971-885c-7b9d9a506d51,FAIL,NO_HISTORY|INCOMPLETE_RUNS,0,,,,,,1,0,False,C:\QM\repo\framework\EAs\QM5_1014\sets\QM5_1014_EURUSD.DWX_D1_backtest.set,True,d2dd8877fa57f41ee70da53f9da393786f7d3b770e5919beec77505ec67223a4,SETFILE_HEADER_INCOMPLETE,author|build_hash|date|ea_id|ea_slug|ea_version|environment|magic_slot|portfolio_weight|risk_mode|set_version|symbol|timeframe,active,lien-channels,C:\QM\repo\framework\EAs\QM5_1014\QM5_1014.ex5,REPAIR_SETFILE_EVIDENCE_BEFORE_ANY_CANARY,False,,,,Current bound setfile fails the static header/duplicate audit.
QM5_1017,NDX.DWX,INVALID_EVIDENCE_DEFECT,SETFILE_HEADER_INCOMPLETE,12,12,0,0,44835bef-4772-4972-80cf-3c99ed6d9c3f,2026-07-27T23:32:09+00:00,44835bef-4772-4972-80cf-3c99ed6d9c3f,2026-07-27T23:32:09+00:00,done,0,run_smoke_fail:ONINIT_FAILED;INCOMPLETE_RUNS,summary_missing_retries_exhausted,D:\QM\reports\work_items\44835bef-4772-4972-80cf-3c99ed6d9c3f\QM5_1017\20260727_232352\summary.json,True,bd11710f5528208b83373f0870172d18f4abf85e57bca35adbfcf77fd886b4ee,D:\QM\strategy_farm\logs\work_item_44835bef-4772-4972-80cf-3c99ed6d9c3f.log,False,D:\QM\reports\work_items\44835bef-4772-4972-80cf-3c99ed6d9c3f,FAIL,ONINIT_FAILED|INCOMPLETE_RUNS,0,,,,,,1,0,False,C:\QM\repo\framework\EAs\QM5_1017_chan_pairs_stat_arb\sets\QM5_1017_chan_pairs_stat_arb_NDX.DWX_H1_backtest.set,True,d9477edfc49df91e8f6a6a7fd9f53da53690dacc9aef4aef4f42502908c448b2,SETFILE_HEADER_INCOMPLETE,author|build_hash|date|ea_id|ea_slug|ea_version|environment|magic_slot|portfolio_weight|risk_mode|set_version|symbol|timeframe,active,chan-pairs-stat-arb,C:\QM\repo\framework\EAs\QM5_1017_chan_pairs_stat_arb\QM5_1017_chan_pairs_stat_arb.ex5,REPAIR_SETFILE_EVIDENCE_BEFORE_ANY_CANARY,False,,,,Current bound setfile fails the static header/duplicate audit.
QM5_1058,AUDUSD.DWX,INVALID_EVIDENCE_DEFECT,ACTIVE_TIMEOUT,12,12,0,0,88bfbc59-641b-4f14-bce2-cba5793d7229,2026-07-31T13:14:54+00:00,88bfbc59-641b-4f14-bce2-cba5793d7229,2026-07-31T13:14:54+00:00,failed,0,ACTIVE_TIMEOUT,summary_missing_retries_exhausted,,False,,D:\QM\strategy_farm\logs\work_item_88bfbc59-641b-4f14-bce2-cba5793d7229.log,False,D:\QM\reports\work_items\88bfbc59-641b-4f14-bce2-cba5793d7229,,,,,,,,,0,0,False,C:\QM\repo\framework\EAs\QM5_1058_gatev-fx-pairs-zscore\sets\QM5_1058_gatev-fx-pairs-zscore_AUDUSD.DWX_D1_backtest.set,True,0289a897bec57b7059f03fed79591c6569c3f0d0cf6afaaf5878905494ef1808,,,active,gatev-fx-pairs-zscore,C:\QM\repo\framework\EAs\QM5_1058_gatev-fx-pairs-zscore\QM5_1058_gatev-fx-pairs-zscore.ex5,REPAIR_OR_PREFLIGHT_THEN_GOVERNED_CANARY,False,,,,Most recent row carrying a specific failure signature supplies the primary cause.
QM5_1058,EURUSD.DWX,INVALID_EVIDENCE_DEFECT,ONINIT_FAILED,12,12,0,0,b8fa58d1-64a7-48f2-81be-ed98ae4017ef,2026-07-31T16:55:01+00:00,b8fa58d1-64a7-48f2-81be-ed98ae4017ef,2026-07-31T16:55:01+00:00,done,0,run_smoke_fail:ONINIT_FAILED;INCOMPLETE_RUNS,summary_missing_retries_exhausted,D:\QM\reports\work_items\b8fa58d1-64a7-48f2-81be-ed98ae4017ef\QM5_1058\20260731_165419\summary.json,True,dbb191ee2faed6be5f93ad26a2ea4909c69fa25247202f2f8bed026f9dbfcf4f,D:\QM\strategy_farm\logs\work_item_b8fa58d1-64a7-48f2-81be-ed98ae4017ef.log,False,D:\QM\reports\work_items\b8fa58d1-64a7-48f2-81be-ed98ae4017ef,FAIL,ONINIT_FAILED|INCOMPLETE_RUNS,0,,,,,,1,0,False,C:\QM\repo\framework\EAs\QM5_1058_gatev-fx-pairs-zscore\sets\QM5_1058_gatev-fx-pairs-zscore_EURUSD.DWX_D1_backtest.set,True,77ebec617e82cae0d03b823ff26ab0cb3ba7d7a71c4827559185a17b6bdfc268,,,active,gatev-fx-pairs-zscore,C:\QM\repo\framework\EAs\QM5_1058_gatev-fx-pairs-zscore\QM5_1058_gatev-fx-pairs-zscore.ex5,REPAIR_OR_PREFLIGHT_THEN_GOVERNED_CANARY,False,,,,Most recent row carrying a specific failure signature supplies the primary cause.
QM5_1058,GBPUSD.DWX,INVALID_EVIDENCE_DEFECT,ACTIVE_TIMEOUT,12,12,0,0,f5cae334-0c45-44f1-99ee-82523afb3a11,2026-07-31T15:46:49+00:00,f5cae334-0c45-44f1-99ee-82523afb3a11,2026-07-31T15:46:49+00:00,failed,0,ACTIVE_TIMEOUT,summary_missing_retries_exhausted,,False,,D:\QM\strategy_farm\logs\work_item_f5cae334-0c45-44f1-99ee-82523afb3a11.log,False,D:\QM\reports\work_items\f5cae334-0c45-44f1-99ee-82523afb3a11,,,,,,,,,0,0,False,C:\QM\repo\framework\EAs\QM5_1058_gatev-fx-pairs-zscore\sets\QM5_1058_gatev-fx-pairs-zscore_GBPUSD.DWX_D1_backtest.set,True,d43cd25d244b9f1ed186a109fbec99fd8d542099010227c4b239995dd64c9278,,,active,gatev-fx-pairs-zscore,C:\QM\repo\framework\EAs\QM5_1058_gatev-fx-pairs-zscore\QM5_1058_gatev-fx-pairs-zscore.ex5,REPAIR_OR_PREFLIGHT_THEN_GOVERNED_CANARY,False,,,,Most recent row carrying a specific failure signature supplies the primary cause.
QM5_1114,JPN225.DWX,UNCLEAR,SUMMARY_MISSING_NO_ROW_BOUND_AGGREGATE,12,12,0,0,14b6899d-b9a8-448f-98d7-024e3db3eb96,2026-06-23T20:55:52+00:00,14b6899d-b9a8-448f-98d7-024e3db3eb96,2026-06-23T20:55:52+00:00,failed,2,summary_missing_retries_exhausted,summary_missing_retries_exhausted,,False,,D:\QM\strategy_farm\logs\work_item_14b6899d-b9a8-448f-98d7-024e3db3eb96.log,False,D:\QM\reports\work_items\14b6899d-b9a8-448f-98d7-024e3db3eb96,,,,,,,,,0,0,False,C:\QM\repo\framework\EAs\QM5_1114_qp-crossasset-valmom\sets\QM5_1114_JPN225.DWX_D1_backtest.set,True,1864f2a2f361d9f7a216db4885d1d490bc9fbfc36bc38da3af4cf5cc5ec26d35,,,active,qp-crossasset-valmom,C:\QM\repo\framework\EAs\QM5_1114_qp-crossasset-valmom\QM5_1114_qp-crossasset-valmom.ex5,FORENSIC_REVIEW_NO_REQUEUE,False,,,,Only generic summary-missing history remains; no readable row-bound aggregate or specific failure signature.
QM5_1114,SP500.DWX,INVALID_EVIDENCE_DEFECT,ONINIT_FAILED,12,12,0,0,727fe789-dcac-4177-bec8-c294fcca8120,2026-07-28T19:14:36+00:00,727fe789-dcac-4177-bec8-c294fcca8120,2026-07-28T19:14:36+00:00,done,0,run_smoke_fail:ONINIT_FAILED;INCOMPLETE_RUNS,summary_missing_retries_exhausted,D:\QM\reports\work_items\727fe789-dcac-4177-bec8-c294fcca8120\QM5_1114\20260728_191213\summary.json,True,7390174c2e6847e1f713401c5e3aa13acb94f11a663203a10f7975f1265c4b10,D:\QM\strategy_farm\logs\work_item_727fe789-dcac-4177-bec8-c294fcca8120.log,False,D:\QM\reports\work_items\727fe789-dcac-4177-bec8-c294fcca8120,FAIL,ONINIT_FAILED|INCOMPLETE_RUNS,0,,,,,,1,0,False,C:\QM\repo\framework\EAs\QM5_1114_qp-crossasset-valmom\sets\QM5_1114_SP500.DWX_D1_backtest.set,True,bb5d1a39d3ac254bbcc8b5f12a58d44c1b85e2f82796711b95dac46713aa7ff8,,,active,qp-crossasset-valmom,C:\QM\repo\framework\EAs\QM5_1114_qp-crossasset-valmom\QM5_1114_qp-crossasset-valmom.ex5,REPAIR_OR_PREFLIGHT_THEN_GOVERNED_CANARY,False,,,,Most recent row carrying a specific failure signature supplies the primary cause.
QM5_1114,XAGUSD.DWX,INVALID_EVIDENCE_DEFECT,LOG_BOMB,12,12,0,0,41cab174-9a7f-42f7-8e7e-cd17098f00a2,2026-07-28T17:57:44+00:00,41cab174-9a7f-42f7-8e7e-cd17098f00a2,2026-07-28T17:57:44+00:00,done,0,run_smoke_fail:LOG_BOMB;INCOMPLETE_RUNS,summary_missing_retries_exhausted,D:\QM\reports\work_items\41cab174-9a7f-42f7-8e7e-cd17098f00a2\QM5_1114\20260728_175715\summary.json,True,c8805d4dd9fd36a2fff2d0dab322121eab099907b083066b992103127e2571fd,D:\QM\strategy_farm\logs\work_item_41cab174-9a7f-42f7-8e7e-cd17098f00a2.log,False,D:\QM\reports\work_items\41cab174-9a7f-42f7-8e7e-cd17098f00a2,FAIL,LOG_BOMB|INCOMPLETE_RUNS,0,,,,,,1,0,False,C:\QM\repo\framework\EAs\QM5_1114_qp-crossasset-valmom\sets\QM5_1114_XAGUSD.DWX_D1_backtest.set,True,b72d1f28b0cc6804493a068af9075bbe4b96b41d21ba79ddfaab29ecaa09d2fb,,,active,qp-crossasset-valmom,C:\QM\repo\framework\EAs\QM5_1114_qp-crossasset-valmom\QM5_1114_qp-crossasset-valmom.ex5,REPAIR_OR_PREFLIGHT_THEN_GOVERNED_CANARY,False,,,,Most recent row carrying a specific failure signature supplies the primary cause.
QM5_1114,XAUUSD.DWX,INVALID_EVIDENCE_DEFECT,ACTIVE_TIMEOUT,12,12,0,0,fedcb1f4-a3c9-4e1a-a490-3cdc62ea6a55,2026-08-02T17:08:56+00:00,fedcb1f4-a3c9-4e1a-a490-3cdc62ea6a55,2026-08-02T17:08:56+00:00,failed,0,ACTIVE_TIMEOUT,summary_missing_retries_exhausted,,False,,D:\QM\strategy_farm\logs\work_item_fedcb1f4-a3c9-4e1a-a490-3cdc62ea6a55.log,False,D:\QM\reports\work_items\fedcb1f4-a3c9-4e1a-a490-3cdc62ea6a55,,,,,,,,,0,0,False,C:\QM\repo\framework\EAs\QM5_1114_qp-crossasset-valmom\sets\QM5_1114_XAUUSD.DWX_D1_backtest.set,True,a6b9c11aa6567748def93b625f028827220265eef052589caa53fecd8d8f302f,,,active,qp-crossasset-valmom,C:\QM\repo\framework\EAs\QM5_1114_qp-crossasset-valmom\QM5_1114_qp-crossasset-valmom.ex5,REPAIR_OR_PREFLIGHT_THEN_GOVERNED_CANARY,False,,,,Most recent row carrying a specific failure signature supplies the primary cause.
