snapshot_utc,ea_id,symbol,timeframe,magic,last_log_event_utc,entry_accepted_count,manifest_member,preset_loaded_24,magic_registry_status,portfolio_candidate_rows,portfolio_candidate_states,portfolio_candidate_work_items,classification,root_cause
2026-08-22T06:00:01Z,QM5_1556,XAUUSD.DWX,D1,15560004,2026-08-21T17:59:57.140Z,5,yes,yes,active,1,Q12_REVIEW_READY,e241bacd-5681-4172-a785-a475fd25140b,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_1567,EURUSD.DWX,H4,15670007,2026-08-21T17:59:57.093Z,0,yes,yes,active,1,Q12_REVIEW_READY,89acf6eb-581b-411b-9aaf-2f19c12c68c5,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_10403,XAUUSD.DWX,D1,104030002,2026-08-21T17:59:57.296Z,8,yes,yes,active,1,Q12_REVIEW_READY,e12845b9-04fe-4d97-af43-93d37268f2f4,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_10440,NDX.DWX,H1,104400003,2026-08-21T17:59:57.781Z,5,yes,yes,active,1,EVIDENCE_STALE,9799d0aa-4a75-4925-b58c-fdaa62f823ca,LIVE_MANIFEST_Q12_EVIDENCE_STALE,Live manifest/preset agree; portfolio_candidates exists but its Q09 portfolio evidence was downgraded stale on 2026-07-18.
2026-08-22T06:00:01Z,QM5_10476,USDCAD.DWX,H1,104760004,2026-07-19T13:28:22.062Z,0,no,no,active,1,Q12_REVIEW_READY,6e9bc500-5280-490f-9704-afd15259ce90,FORMER_LIVE_GHOST_LOG,Former-live ghost: removed from the weekend book when 13117/13301 were admitted; historical log remains (last event 2026-07-19).
2026-08-22T06:00:01Z,QM5_10513,XAUUSD.DWX,D1,105130003,2026-08-21T17:59:57.140Z,2,yes,yes,active,1,Q12_REVIEW_READY,dd06ad11-3e9e-4d2b-b850-308253539768,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_10692,NDX.DWX,H1,106920005,2026-07-19T13:28:56.421Z,2,no,no,active,1,EVIDENCE_STALE,607f7b0c-ecd8-4f72-a3e7-ca84bbd0b0ca,FORMER_LIVE_GHOST_LOG,Former-live ghost named by the signed manifest; historical log remains (last event 2026-07-19).
2026-08-22T06:00:01Z,QM5_10706,GBPUSD.DWX,H1,107060001,2026-08-21T17:59:59.937Z,3,yes,yes,active,1,Q12_REVIEW_READY,22fca5c5-4480-4c49-95ef-0194086e5de3,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_10715,USDJPY.DWX,M15,107150004,2026-07-19T13:28:31.406Z,0,no,no,active,2,EVIDENCE_STALE|EVIDENCE_STALE,58d8956f-b849-42aa-8734-407d8a48de65|df72b85a-c537-43a7-90fe-7b342ce03361,FORMER_LIVE_GHOST_LOG,Former-live ghost named by the signed manifest; historical log remains (last event 2026-07-19).
2026-08-22T06:00:01Z,QM5_10911,GDAXI.DWX,H1,109110003,2026-08-21T17:59:59.937Z,7,yes,yes,active,1,Q12_REVIEW_READY,545758f3-e272-447c-985b-6976fe06c6ac,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_10919,XTIUSD.DWX,H4,109190001,2026-08-21T17:59:57.875Z,0,yes,yes,active,1,Q12_REVIEW_READY,c59d8929-2b8a-41d3-be00-753ffb69e33c,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_10939,GBPUSD.DWX,H4,109390001,2026-08-21T17:59:59.093Z,1,yes,yes,active,1,Q12_REVIEW_READY,dfeb6afb-61e6-4deb-9e61-d8873271eb70,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_10940,XAUUSD.DWX,H4,109400003,2026-07-05T14:13:09.015Z,1,no,no,retired,1,Q12_REVIEW_READY,e25da444-2e84-402c-9ff1-a4f7493731a6,FORMER_LIVE_RETIRED_LOG,Former-live EA retired and replaced by 12989 in D2-d S3; historical log remains (last event 2026-07-05).
2026-08-22T06:00:01Z,QM5_11132,SP500.DWX,D1,111320000,2026-08-21T17:59:57.359Z,4,yes,yes,active,3,DUPLICATE_SUPERSEDED|DUPLICATE_SUPERSEDED|Q12_REVIEW_READY,1ea996fd-ef55-48ce-93d8-2b0a13c4f19a|b258fc3b-e8c3-4988-be44-ba56d072befa|cfea221d-581c-4647-93eb-b58ff31bd663,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_11165,AUDCAD.DWX,H1,111650002,2026-08-21T17:59:58.968Z,4,yes,yes,active,1,Q12_REVIEW_READY,7a8c7433-07d2-451d-a96d-4570d7fc5c17,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_11165,EURUSD.DWX,H1,111650000,2026-08-21T17:59:57.093Z,2,yes,yes,active,1,Q12_REVIEW_READY,80bcdc1b-74ae-40f4-82be-b0b87771d4ea,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_11421,AUDUSD.DWX,D1,114210003,2026-08-21T17:59:59.031Z,8,yes,yes,active,1,Q12_REVIEW_READY,2e1111b9-0cb9-4fd2-8e89-3ac2960b58fd,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_11421,EURUSD.DWX,D1,114210000,2026-08-21T17:59:57.078Z,7,yes,yes,active,1,Q12_REVIEW_READY,6c25bcc5-2050-44a4-ab52-bbbb4bffb5d6,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_11708,EURUSD.DWX,D1,117080000,2026-08-21T17:59:57.078Z,7,yes,yes,active,1,Q12_REVIEW_READY,790edb77-fe2d-4ba8-8127-0c8e5cfb5d33,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_12567,XAUUSD.DWX,D1,125670003,2026-08-21T17:59:57.140Z,0,yes,yes,active,1,Q12_REVIEW_READY,d0dae336-db27-4b85-b6ea-c91f6717b5ef,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_12567,XNGUSD.DWX,D1,125670002,2026-08-21T18:00:01.031Z,0,yes,yes,active,1,Q12_REVIEW_READY,q09-rescue-12567-xng-619205deb800,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_12778,AUDUSD.DWX,D1,127780000,2026-08-14T16:57:30.218Z,0,yes,yes,active,1,Q12_REVIEW_READY,0b1fddba-6c4e-47ec-b9b3-6b54273e5832,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_12969,USDJPY.DWX,M30,129690000,2026-08-21T17:59:57.828Z,0,yes,yes,active,1,Q12_REVIEW_READY,de65a075-6bd9-49c9-a775-624a32fc4214,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_12989,XAUUSD.DWX,H4,129890003,2026-08-21T17:59:57.171Z,0,yes,yes,active,0,,,LIVE_MANIFEST_Q12_REGISTER_MISSING,Signed 24-sleeve manifest and loaded preset agree; portfolio_candidates has no row (Q12 register intake gap).
2026-08-22T06:00:01Z,QM5_13117,EURGBP.DWX,D1,131170000,2026-08-14T16:57:30.203Z,0,yes,yes,active,1,Q12_REVIEW_READY,1d32c07e-126f-4763-9a7f-de73c5328e36,LIVE_MANIFEST_REGISTERED,No manifest/register membership discrepancy.
2026-08-22T06:00:01Z,QM5_13128,NDX.DWX,H1,131280000,2026-08-21T17:59:56.625Z,0,yes,yes,active,1,EVIDENCE_STALE,q09-adhoc-13128-ndx-preFOMC,LIVE_MANIFEST_Q12_EVIDENCE_STALE,Live manifest/preset agree; portfolio_candidates exists but its Q09 portfolio evidence was downgraded stale on 2026-07-18.
2026-08-22T06:00:01Z,QM5_13213,USDJPY.DWX,H1,132130000,2026-08-21T17:59:57.828Z,7,yes,yes,active,0,,,LIVE_MANIFEST_Q12_REGISTER_MISSING,Signed 24-sleeve manifest and loaded preset agree; portfolio_candidates has no row (Q12 register intake gap).
2026-08-22T06:00:01Z,QM5_13301,GDAXI.DWX,M5,133010010,2026-08-21T17:59:59.937Z,6,yes,yes,active,0,,,LIVE_MANIFEST_Q12_REGISTER_MISSING,Signed 24-sleeve manifest and loaded preset agree; portfolio_candidates has no row (Q12 register intake gap).
