ea_id,symbol,magic_number,deployed_ex5_sha256,current_dl089_stage,current_work_item_id,current_reason,current_q11_closed
QM5_1556,XAUUSD.DWX,15560004,9371a8a03008e2fd8a3fc9dbec75586f7ade71ea857e9ff8f9c3fd0fd95cb3cb,COMPILE_FAIL,48d3638f-1ad0-4da5-9815-0046a8e61404,COMPILE_ERRORS;BUILD_CHECK_COMPILE_FAILED;EA_INDICATOR_BUFFER_UNBOUNDED,false
QM5_1567,EURUSD.DWX,15670007,71c2f84b3e694210176e928fcaf688eff3f59c7efacdb275511e474c35a9e45c,COMPILE_FAIL,2bb466d0-bbbe-4486-9368-645a127d25af,EA_FRAMEWORK_RAW_SERIES_CALL;EA_Q08_MAE_HOOK_MISSING,false
QM5_10403,XAUUSD.DWX,104030002,b6c194d928b678cb31646dc81216c6d9f3215727354aeecdbb61bbcca99ef2b6,Q02_PASS,d02bec84-87fe-43a9-94d4-2795ec46cea7,CURRENT_BINARY_Q02_PASS_ONLY,false
QM5_10440,NDX.DWX,104400003,b71d302997ecdb661f1627e12b9e5e766e9679c780461b82fa018db7f2078a6a,Q02_PASS,f3f7816e-6671-4724-b174-4838d783f36b,CURRENT_BINARY_Q02_PASS_ONLY,false
QM5_10513,XAUUSD.DWX,105130003,04b62af28c6466e01741aacaa915d9a68714cd7c23288ae277615ae068d63898,Q02_PASS,fa0d8000-c013-4bec-a3d7-1d5b2ce6421e,CURRENT_BINARY_Q02_PASS_ONLY,false
QM5_10706,GBPUSD.DWX,107060001,01e34b2059de6ed505d445ce9fcbac7da0eb10d51e5cbcbbd18d38a968916078,Q02_PASS,bb234ab2-499b-4cfe-8de1-d2ef52be6a27,CURRENT_BINARY_Q02_PASS_ONLY,false
QM5_10911,GDAXI.DWX,109110003,a815c73da991736d25a02c027bbcfb23f68615adb66b7325cc2efcdc52344158,Q02_PASS,096636c3-ba56-4643-a5cd-85d16c41eb6f,CURRENT_BINARY_Q02_PASS_ONLY,false
QM5_10919,XTIUSD.DWX,109190001,57e0db8401616a5fb10c68557c24e8b7a7e98254cb8ddf57245fc178aa3a4691,COMPILE_OK,a5df0835-3751-42d0-ade6-e4097b9fccf6,AWAITING_CURRENT_BINARY_Q02,false
QM5_10939,GBPUSD.DWX,109390001,308604a3546c44fc8bfb40ecff36801e5479bf33887847b8b6e5650943312aac,COMPILE_FAIL,e550ef25-3c7e-4739-a6f3-50913b31d945,COMPILE_ERRORS;BUILD_CHECK_COMPILE_FAILED,false
QM5_11132,SP500.DWX,111320000,25b68c44d9724d9915298ad6b632e9c4db77133526e8c441fa82adc2a0474152,COMPILE_OK,d3f97c86-3c41-4607-9114-be1e629c1b00,AWAITING_CURRENT_BINARY_Q02,false
QM5_11165,EURUSD.DWX,111650000,8f6d33a3dfb05f7f9167c96d7a7069cb11d8c05f7137be008530d9e12df941e4,COMPILE_OK,6b5a1e03-6094-461e-9989-0d02ae97e829,AWAITING_CURRENT_BINARY_Q02,false
QM5_11165,AUDCAD.DWX,111650002,8f6d33a3dfb05f7f9167c96d7a7069cb11d8c05f7137be008530d9e12df941e4,COMPILE_OK,6b5a1e03-6094-461e-9989-0d02ae97e829,AWAITING_CURRENT_BINARY_Q02,false
QM5_11421,EURUSD.DWX,114210000,0f7c8ff9ad91c43f275aacbfb366f06f17aeda0f1d567c83936af7d8dca69ca7,COMPILE_FAIL,de80a7e5-a0ff-44f0-81d7-c55a2005726c,COMPILE_ERRORS;BUILD_CHECK_COMPILE_FAILED,false
