snapshot_utc,ea_symbol,magic,q12_state,accepted_entries,last_log_event_utc,review_lane,evidence_note,owner_decision,owner_initials,owner_signed_utc
2026-08-22T06:00:01Z,QM5_13301/GDAXI.DWX,133010010,REGISTER_MISSING,6,2026-08-21T17:59:59.937Z,CONTINUE_CANDIDATE,"Loaded and active; Q12 intake gap must be repaired before scoring.",,,
2026-08-22T06:00:01Z,QM5_13213/USDJPY.DWX,132130000,REGISTER_MISSING,7,2026-08-21T17:59:57.828Z,CONTINUE_CANDIDATE,"Loaded and active; Q12 intake gap must be repaired before scoring.",,,
2026-08-22T06:00:01Z,QM5_1567/EURUSD.DWX,15670007,Q12_REVIEW_READY,0,2026-08-21T17:59:57.093Z,REDUCE_OR_REMOVE_REVIEW,"No accepted entry in retained live evidence.",,,
2026-08-22T06:00:01Z,QM5_10919/XTIUSD.DWX,109190001,Q12_REVIEW_READY,0,2026-08-21T17:59:57.875Z,REDUCE_OR_REMOVE_REVIEW,"SP-E4 sparse sleeve; no accepted entry in retained live evidence.",,,
2026-08-22T06:00:01Z,QM5_11165/AUDCAD.DWX,111650002,Q12_REVIEW_READY,4,2026-08-21T17:59:58.968Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_12778/AUDUSD.DWX,127780000,Q12_REVIEW_READY,0,2026-08-14T16:57:30.218Z,REDUCE_OR_REMOVE_REVIEW,"No accepted entry and older last event than the current pulse cohort.",,,
2026-08-22T06:00:01Z,QM5_11421/AUDUSD.DWX,114210003,Q12_REVIEW_READY,8,2026-08-21T17:59:59.031Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_11165/EURUSD.DWX,111650000,Q12_REVIEW_READY,2,2026-08-21T17:59:57.093Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_11421/EURUSD.DWX,114210000,Q12_REVIEW_READY,7,2026-08-21T17:59:57.078Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_11708/EURUSD.DWX,117080000,Q12_REVIEW_READY,7,2026-08-21T17:59:57.078Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_10706/GBPUSD.DWX,107060001,Q12_REVIEW_READY,3,2026-08-21T17:59:59.937Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_10939/GBPUSD.DWX,109390001,Q12_REVIEW_READY,1,2026-08-21T17:59:59.093Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entry observed.",,,
2026-08-22T06:00:01Z,QM5_10911/GDAXI.DWX,109110003,Q12_REVIEW_READY,7,2026-08-21T17:59:59.937Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_13128/NDX.DWX,131280000,EVIDENCE_STALE,0,2026-08-21T17:59:56.625Z,REMOVE_OR_REQUALIFY,"Stale Q12 evidence; fixed-table live binary missed 2026-07-29 FOMC and is REQUAL_REQUIRED.",,,
2026-08-22T06:00:01Z,QM5_10440/NDX.DWX,104400003,EVIDENCE_STALE,5,2026-08-21T17:59:57.781Z,REMOVE_CANDIDATE,"No kill-switch baseline; current Q10 FAIL; ROT-1 dependency remains controlling.",,,
2026-08-22T06:00:01Z,QM5_11132/SP500.DWX,111320000,Q12_REVIEW_READY,4,2026-08-21T17:59:57.359Z,CONTINUE_CANDIDATE,"One effective ready row; two historical rows are superseded.",,,
2026-08-22T06:00:01Z,QM5_12969/USDJPY.DWX,129690000,Q12_REVIEW_READY,0,2026-08-21T17:59:57.828Z,REDUCE_OR_REMOVE_REVIEW,"SP-E4 sparse sleeve; no accepted entry in retained live evidence.",,,
2026-08-22T06:00:01Z,QM5_10403/XAUUSD.DWX,104030002,Q12_REVIEW_READY,8,2026-08-21T17:59:57.296Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_10513/XAUUSD.DWX,105130003,Q12_REVIEW_READY,2,2026-08-21T17:59:57.140Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_12567/XAUUSD.DWX,125670003,Q12_REVIEW_READY,0,2026-08-21T17:59:57.140Z,REDUCE_OR_REMOVE_REVIEW,"No accepted entry in retained live evidence.",,,
2026-08-22T06:00:01Z,QM5_12989/XAUUSD.DWX,129890003,REGISTER_MISSING,0,2026-08-21T17:59:57.171Z,REDUCE_OR_REMOVE_REVIEW,"SP-E4 sparse sleeve; no accepted entry and Q12 intake missing.",,,
2026-08-22T06:00:01Z,QM5_1556/XAUUSD.DWX,15560004,Q12_REVIEW_READY,5,2026-08-21T17:59:57.140Z,CONTINUE_CANDIDATE,"Loaded, registered, and accepted entries observed.",,,
2026-08-22T06:00:01Z,QM5_12567/XNGUSD.DWX,125670002,Q12_REVIEW_READY,0,2026-08-21T18:00:01.031Z,REDUCE_OR_REMOVE_REVIEW,"No accepted entry in retained live evidence.",,,
2026-08-22T06:00:01Z,QM5_13117/EURGBP.DWX,131170000,Q12_REVIEW_READY,0,2026-08-14T16:57:30.203Z,REDUCE_OR_REMOVE_REVIEW,"No accepted entry and older last event than the current pulse cohort.",,,
