event,reason,count,pct_of_warn_total,distinct_ea_ids,ea_ids,first_seen_utc,last_seen_utc,relevance,example_line
BROKER_OTHER,retcode=10016,36098,49.9,1,10706,2026-07-29T12:59:58.859Z,2026-07-29T17:30:18.140Z,FLAG (retry-storm risk: no backoff on repeated invalid-stops modify reject),"{""ts_utc"":""2026-07-29T12:59:58.859Z"",""ts_broker"":""2026-07-29T16:00:00"",""level"":""WARN"",""ea_id"":10706,""slug"":""ea-10706"",""symbol"":""GBPUSD"",""tf"":""H1"",""magic"":107060001,""event"":""BROKER_OTHER"",""payload"":{""retcode"":10016,""retcode_class"":""BROKER_OTHER"",""retcode_comment"":""Invalid stops"",""symbol"":""GBPUSD"",""type"":0,""volume"":0.00000000,""price"":0.00000000,""sl"":1.33010000,""tp"":1.33888000,""magic"":0}}"
TM_MODIFY,reason=MON_SWEEP_BE_LOCK,36098,49.9,1,10706,2026-07-29T12:59:58.890Z,2026-07-29T17:30:18.140Z,FLAG (same incident as BROKER_OTHER/10016 - breakeven-lock retry storm),"{""ts_utc"":""2026-07-29T12:59:58.890Z"",""ts_broker"":""2026-07-29T16:00:00"",""level"":""WARN"",""ea_id"":10706,""slug"":""ea-10706"",""symbol"":""GBPUSD"",""tf"":""H1"",""magic"":107060001,""event"":""TM_MODIFY"",""payload"":{""ticket"":3169417771,""symbol"":""GBPUSD"",""new_sl"":1.33010000,""new_tp"":1.33888000,""reason"":""MON_SWEEP_BE_LOCK"",""ok"":false,""retcode"":10016,""retcode_class"":""BROKER_OTHER""}}"
EXECUTION_CONTRACT,declaration=DXZ_LEGACY_BOOK_POLICY_REQUAL_REQUIRED,45,0.062,7,10911;10919;10939;11132;11421;12567;12989,2026-08-02T08:28:14.109Z,2026-08-14T17:02:16.031Z,WORTH_A_LOOK (self-declared DXZ legacy-book requal-required flag),"{""sv"":1,""ts_utc"":""2026-08-02T08:28:26.453Z"",""ts_broker"":""2026-07-31T23:54:59"",""level"":""WARN"",""ea_id"":10911,""slug"":""ea-10911"",""symbol"":""GDAXI"",""tf"":""H1"",""magic"":109110003,""event"":""EXECUTION_CONTRACT"",""payload"":{""chart_tf"":16385,""friday_mode"":3,""friday_enabled"":true,""friday_hour"":21,""declaration"":""DXZ_LEGACY_BOOK_POLICY_REQUAL_REQUIRED""}}"
NEWS_CALENDAR_COVERAGE_GAP,,36,0.05,7,10911;10919;10939;11132;11421;12567;12989,2026-08-02T08:28:14.015Z,2026-08-14T17:02:16.015Z,"TRACKED (known news-backfill initiative, already active)","{""sv"":1,""ts_utc"":""2026-08-02T08:28:26.453Z"",""ts_broker"":""2026-07-31T23:54:59"",""level"":""WARN"",""ea_id"":10911,""slug"":""ea-10911"",""symbol"":""GDAXI"",""tf"":""H1"",""magic"":109110003,""event"":""NEWS_CALENDAR_COVERAGE_GAP"",""payload"":{""newest_utc"":""2026.07.31 14:00:00"",""required_utc"":""2026.08.04 08:28:26"",""rows"":96309}}"
TM_OPEN,,14,0.019,6,1556;10403;10440;10513;11132;11421,2026-07-13T06:27:15.031Z,2026-07-31T13:09:48.656Z,"IGNORABLE (normal broker entry rejection, expected live friction)","{""ts_utc"":""2026-07-13T06:34:59.484Z"",""ts_broker"":""2026-07-13T09:34:59"",""level"":""WARN"",""ea_id"":10403,""slug"":""ea-10403"",""symbol"":""XAUUSD"",""tf"":""D1"",""magic"":104030002,""event"":""TM_OPEN"",""payload"":{""symbol"":""XAUUSD"",""type"":""QM_BUY_STOP"",""ok"":false,""ticket"":0,""entry_result"":""QM_ENTRY_REJECTED_BROKER""}}"
BROKER_OTHER,retcode=10027,10,0.014,5,1556;10403;10440;10513;11421,2026-07-13T06:27:15.031Z,2026-07-20T10:36:45.828Z,"IGNORABLE (AutoTrading/client-side reject, transient)","{""ts_utc"":""2026-07-13T06:34:59.484Z"",""ts_broker"":""2026-07-13T09:34:59"",""level"":""WARN"",""ea_id"":10403,""slug"":""ea-10403"",""symbol"":""XAUUSD"",""tf"":""D1"",""magic"":104030002,""event"":""BROKER_OTHER"",""payload"":{""retcode"":10027,""retcode_class"":""BROKER_OTHER"",""retcode_comment"":""AutoTrading disabled by client"",""symbol"":""XAUUSD"",""type"":4,""volume"":0.01000000,""price"":4382.06000000,""sl"":4171.83000000,""tp"":0.00000000,"
BROKER_OTHER,retcode=10036,6,0.008,3,1556;13213;13301,2026-07-27T11:59:03.453Z,2026-08-17T11:18:46.015Z,IGNORABLE (position already closed - duplicate-close artifact),"{""ts_utc"":""2026-07-27T11:59:03.453Z"",""ts_broker"":""2026-07-27T14:59:03"",""level"":""WARN"",""ea_id"":13213,""slug"":""ea-13213"",""symbol"":""USDJPY"",""tf"":""H1"",""magic"":132130000,""event"":""BROKER_OTHER"",""payload"":{""retcode"":10036,""retcode_class"":""BROKER_OTHER"",""retcode_comment"":""Position doesn't exist"",""symbol"":""USDJPY"",""type"":0,""volume"":0.35000000,""price"":163.65500000,""sl"":0.00000000,""tp"":0.00000000,""magic"":1321"
EQUITY_STREAM_STATE_STALE_IGNORED,,5,0.007,5,10911;10919;11132;12567;12989,2026-08-13T04:46:30.781Z,2026-08-13T04:47:02.968Z,IGNORABLE (benign by design - day-key rollover housekeeping),"{""sv"":1,""ts_utc"":""2026-08-13T04:47:02.890Z"",""ts_broker"":""2026-08-13T07:47:05"",""level"":""WARN"",""ea_id"":10911,""slug"":""ea-10911"",""symbol"":""GDAXI"",""tf"":""H1"",""magic"":109110003,""event"":""EQUITY_STREAM_STATE_STALE_IGNORED"",""payload"":{""period"":""day"",""saved_key"":20260812,""current_key"":20260813,""has_key"":true,""has_equity"":true,""saved_equity_valid"":true,""saved_equity"":99134.40}}"
TM_CLOSE,reason=QM_EXIT_STRATEGY,5,0.007,2,13213;13301,2026-07-27T11:59:03.453Z,2026-08-17T11:18:46.015Z,IGNORABLE (expected strategy-logic exit),"{""ts_utc"":""2026-07-27T11:59:03.453Z"",""ts_broker"":""2026-07-27T14:59:03"",""level"":""WARN"",""ea_id"":13213,""slug"":""ea-13213"",""symbol"":""USDJPY"",""tf"":""H1"",""magic"":132130000,""event"":""TM_CLOSE"",""payload"":{""ticket"":3169082455,""symbol"":""USDJPY"",""lots"":0.35000000,""reason"":""QM_EXIT_STRATEGY"",""partial"":false,""ok"":false,""retcode"":10036,""retcode_class"":""BROKER_OTHER""}}"
ENTRY_REJECTED,reason=ICHIMOKU_TK_CROSS_CLOUD_SHORT,3,0.004,1,10513,2026-07-15T22:01:00.156Z,2026-07-31T13:09:48.656Z,IGNORABLE (expected strategy-side entry filter reject),"{""ts_utc"":""2026-07-15T22:01:00.156Z"",""ts_broker"":""2026-07-16T01:01:02"",""level"":""WARN"",""ea_id"":10513,""slug"":""ea-10513"",""symbol"":""XAUUSD"",""tf"":""D1"",""magic"":105130003,""event"":""ENTRY_REJECTED"",""payload"":{""result"":""QM_ENTRY_REJECTED_BROKER"",""symbol"":""XAUUSD"",""type"":""QM_SELL"",""reason"":""ICHIMOKU_TK_CROSS_CLOUD_SHORT"",""detail"":""BROKER_OTHER"",""symbol_slot"":3}}"
