sleeve_a,sleeve_b,daily_pnl_pearson_correlation_full_union_calendar
Gold_10145,USDJPY_12969,-0.02862
Gold_10145,EURGBP_13117,0.00198
Gold_10145,Oil_10919,-0.04908
Gold_10145,Tech_13128,-0.00002
USDJPY_12969,EURGBP_13117,0.03956
USDJPY_12969,Oil_10919,-0.01160
USDJPY_12969,Tech_13128,-0.02161
EURGBP_13117,Oil_10919,-0.00626
EURGBP_13117,Tech_13128,0.00584
Oil_10919,Tech_13128,-0.00784
Gold_10145,OilTech_combined,-0.03844
USDJPY_12969,OilTech_combined,-0.02266
EURGBP_13117,OilTech_combined,-0.00123
