old_ea_id,old_basename,new_ea_id,new_basename,source_id,target_symbol,allocator_dry_run_reason,allocator_dry_run_exit_code
PENDING_04E5F6D9,PENDING_04E5F6D9_nzdjpy-carry-unwind-crisis-momentum.md,QM5_41140,QM5_41140_nzdjpy-carry-unwind-crisis-momentum.md,BRUNNERMEIER-NAGEL-PEDERSEN-CARRY-CRASH-2008,NZDJPY.DWX,eligible,0
PENDING_0CD18DF4,PENDING_0CD18DF4_gbpusd-quarter-end-benchmark-fix-hedge-flow.md,QM5_41141,QM5_41141_gbpusd-quarter-end-benchmark-fix-hedge-flow.md,MELVIN-PRINS-LONDON-FIX-2015,GBPUSD.DWX,eligible,0
PENDING_11F7C177,PENDING_11F7C177_eurusd-month-end-benchmark-fix-hedge-flow.md,QM5_41142,QM5_41142_eurusd-month-end-benchmark-fix-hedge-flow.md,MELVIN-PRINS-LONDON-FIX-2015,EURUSD.DWX,eligible,0
PENDING_2EF79507,PENDING_2EF79507_gbpusd-month-end-benchmark-fix-hedge-flow.md,QM5_41143,QM5_41143_gbpusd-month-end-benchmark-fix-hedge-flow.md,MELVIN-PRINS-LONDON-FIX-2015,GBPUSD.DWX,eligible,0
PENDING_F0F2A56F,PENDING_F0F2A56F_eurusd-quarter-end-benchmark-fix-hedge-flow.md,QM5_41144,QM5_41144_eurusd-quarter-end-benchmark-fix-hedge-flow.md,MELVIN-PRINS-LONDON-FIX-2015,EURUSD.DWX,eligible,0
PENDING_0E30F570,PENDING_0E30F570_sp500-highvol-liquidity-reversal.md,QM5_41145,QM5_41145_sp500-highvol-liquidity-reversal.md,NAGEL-EVAPORATING-LIQUIDITY-2012,SP500.DWX,eligible,0
PENDING_8C049562,PENDING_8C049562_uk100-highvol-liquidity-reversal.md,QM5_41146,QM5_41146_uk100-highvol-liquidity-reversal.md,NAGEL-EVAPORATING-LIQUIDITY-2012,UK100.DWX,eligible,0
PENDING_C992226C,PENDING_C992226C_gdaxi-highvol-liquidity-reversal.md,QM5_41147,QM5_41147_gdaxi-highvol-liquidity-reversal.md,NAGEL-EVAPORATING-LIQUIDITY-2012,GDAXI.DWX,eligible,0
PENDING_FD6BDE09,PENDING_FD6BDE09_ws30-highvol-liquidity-reversal.md,QM5_41148,QM5_41148_ws30-highvol-liquidity-reversal.md,NAGEL-EVAPORATING-LIQUIDITY-2012,WS30.DWX,eligible,0
PENDING_1C937FC6,PENDING_1C937FC6_audusd-local-session-inventory-drift.md,QM5_41149,QM5_41149_audusd-local-session-inventory-drift.md,BREEDON-RANALDO-FX-INTRADAY-2013,AUDUSD.DWX,eligible,0
PENDING_6008900C,PENDING_6008900C_gbpusd-local-session-inventory-drift.md,QM5_41150,QM5_41150_gbpusd-local-session-inventory-drift.md,BREEDON-RANALDO-FX-INTRADAY-2013,GBPUSD.DWX,eligible,0
PENDING_CB600D2E,PENDING_CB600D2E_usdjpy-local-session-inventory-drift.md,QM5_41151,QM5_41151_usdjpy-local-session-inventory-drift.md,BREEDON-RANALDO-FX-INTRADAY-2013,USDJPY.DWX,eligible,0
PENDING_CCE37C90,PENDING_CCE37C90_eurusd-local-session-inventory-drift.md,QM5_41152,QM5_41152_eurusd-local-session-inventory-drift.md,BREEDON-RANALDO-FX-INTRADAY-2013,EURUSD.DWX,eligible,0
PENDING_37F8C8E4,PENDING_37F8C8E4_audjpy-carry-unwind-crisis-momentum.md,QM5_41153,QM5_41153_audjpy-carry-unwind-crisis-momentum.md,BRUNNERMEIER-NAGEL-PEDERSEN-CARRY-CRASH-2008,AUDJPY.DWX,eligible,0
PENDING_A3A88F5E,PENDING_A3A88F5E_eurjpy-carry-unwind-crisis-momentum.md,QM5_41154,QM5_41154_eurjpy-carry-unwind-crisis-momentum.md,BRUNNERMEIER-NAGEL-PEDERSEN-CARRY-CRASH-2008,EURJPY.DWX,eligible,0
PENDING_AFB377B5,PENDING_AFB377B5_gbpjpy-carry-unwind-crisis-momentum.md,QM5_41155,QM5_41155_gbpjpy-carry-unwind-crisis-momentum.md,BRUNNERMEIER-NAGEL-PEDERSEN-CARRY-CRASH-2008,GBPJPY.DWX,eligible,0
PENDING_E23718DE,PENDING_E23718DE_gdaxi-scheduled-announcement-risk-day.md,QM5_41156,QM5_41156_gdaxi-scheduled-announcement-risk-day.md,SAVOR-WILSON-ANNOUNCEMENT-RISK-2013,GDAXI.DWX,eligible,0
