scope,ea_id,symbol,phase,pair_class,disposition,reason,file_count,bytes,projected_free_bytes,compression_candidate_bytes
C_RELOCATED,20022,XTIUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,1,363,0,363
C_RELOCATED,QM5_10000,EURUSD.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,3,29958,0,29958
C_RELOCATED,QM5_10000,GBPUSD.DWX,Q03,OTHER,DELETE_NONRETAINED,non-path pair; phase is not Q02/Q04,210,4814477,4814477,0
C_RELOCATED,QM5_10000,UNRESOLVED,UNRESOLVED,AMBIGUOUS,KEEP_AMBIGUOUS,unresolved pair identity; ambiguity=KEEP,7,79279,0,0
C_RELOCATED,QM5_10001,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,2,2337,0,2337
C_RELOCATED,QM5_10001,GBPJPY.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,2,2336,0,2336
C_RELOCATED,QM5_10001,GBPUSD.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,2,2337,0,2337
C_RELOCATED,QM5_10001,USDJPY.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,2,2337,0,2337
C_RELOCATED,QM5_10005,EURUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,106,13561880,0,13561880
C_RELOCATED,QM5_10005,GBPJPY.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,65,11878069,0,11878069
C_RELOCATED,QM5_10005,GBPUSD.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,65,12775234,0,12775234
C_RELOCATED,QM5_10008,EURUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,9,81219,0,81219
C_RELOCATED,QM5_10008,USDJPY.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,13,82478,0,82478
C_RELOCATED,QM5_10009,AUDUSD.DWX,Q03,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,8,271442,0,271442
C_RELOCATED,QM5_10009,AUDUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,18,163575,0,163575
C_RELOCATED,QM5_10010,AUDUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,38838,0,38838
C_RELOCATED,QM5_10016,AUDJPY.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,1,464,0,464
C_RELOCATED,QM5_10016,EURUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,11,410577,0,410577
C_RELOCATED,QM5_10016,GBPUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,1,464,0,464
C_RELOCATED,QM5_10016,XAUUSD.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,1,464,0,464
C_RELOCATED,QM5_10020,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,6,35687,0,35687
C_RELOCATED,QM5_10022,UNRESOLVED,Q07,AMBIGUOUS,KEEP_AMBIGUOUS,unresolved pair identity; ambiguity=KEEP,1,4558,0,0
C_RELOCATED,QM5_10022,UNRESOLVED,UNRESOLVED,AMBIGUOUS,KEEP_AMBIGUOUS,unresolved pair identity; ambiguity=KEEP,29,1141841,0,0
C_RELOCATED,QM5_10022,WS30.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,14,6188,0,6188
C_RELOCATED,QM5_10022,WS30.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,17,306479,0,306479
C_RELOCATED,QM5_10022,XAUUSD.DWX,Q07,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,24,261567,0,261567
C_RELOCATED,QM5_10025,XAGUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,1,460,0,460
C_RELOCATED,QM5_10028,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,20,131412,0,131412
C_RELOCATED,QM5_10030,EURJPY.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,7,79219,0,79219
C_RELOCATED,QM5_10037,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,29731,0,29731
C_RELOCATED,QM5_10037,SP500.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,11,103560,0,103560
C_RELOCATED,QM5_10037,WS30.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,9,80731,0,80731
C_RELOCATED,QM5_10039,EURJPY.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,29,230757,0,230757
C_RELOCATED,QM5_10039,EURUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,25,224298,0,224298
C_RELOCATED,QM5_10039,UNRESOLVED,UNRESOLVED,AMBIGUOUS,KEEP_AMBIGUOUS,unresolved pair identity; ambiguity=KEEP,9,6941015,0,0
C_RELOCATED,QM5_10041,EURJPY.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,25,224223,0,224223
C_RELOCATED,QM5_10041,EURUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,25,224223,0,224223
C_RELOCATED,QM5_10045,GBPUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,13,137936,0,137936
C_RELOCATED,QM5_10046,GBPUSD.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,16,373493,0,373493
C_RELOCATED,QM5_10046,USDJPY.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,16,293880,0,293880
C_RELOCATED,QM5_10050,GDAXI.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,21,237525,0,237525
C_RELOCATED,QM5_10050,XAGUSD.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,22,238104,0,238104
C_RELOCATED,QM5_1006,EURUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,13,594244,0,594244
C_RELOCATED,QM5_10062,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,29806,0,29806
C_RELOCATED,QM5_10074,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79094,0,79094
C_RELOCATED,QM5_10076,EURUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,96,4372685,0,4372685
C_RELOCATED,QM5_10076,GDAXI.DWX,Q04,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,45,1976999,0,1976999
C_RELOCATED,QM5_10076,GDAXI.DWX,Q05,OTHER,DELETE_NONRETAINED,non-path pair; phase is not Q02/Q04,10,2928996,2928996,0
C_RELOCATED,QM5_10078,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,1,454,0,454
C_RELOCATED,QM5_10082,GDAXI.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,1,451,0,451
C_RELOCATED,QM5_10083,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79123,0,79123
C_RELOCATED,QM5_10088,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,1,456,0,456
C_RELOCATED,QM5_10089,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79124,0,79124
C_RELOCATED,QM5_10093,XAUUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,13,692781,0,692781
C_RELOCATED,QM5_10094,GDAXI.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,V4_PASS_LINEAGE,3,1329,0,1329
C_RELOCATED,QM5_10094,GDAXI.DWX,Q05,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,V4_PASS_LINEAGE,60,557068,0,557068
C_RELOCATED,QM5_10094,GDAXI.DWX,Q08,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,V4_PASS_LINEAGE,12,20630,0,20630
C_RELOCATED,QM5_10094,GDAXI.DWX,Q09_PORTFOLIO,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,V4_PASS_LINEAGE,1,60360,0,60360
C_RELOCATED,QM5_10094,UNRESOLVED,UNRESOLVED,AMBIGUOUS,KEEP_AMBIGUOUS,unresolved pair identity; ambiguity=KEEP,39,4370590,0,0
C_RELOCATED,QM5_10095,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79124,0,79124
C_RELOCATED,QM5_10096,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79123,0,79123
