class,ea_id,symbol,formation_eras,disposition_date,standing_gate,standing_verdict,pf,trades,dd_pct,net_profit,evidence_path,evidence_present,canonical_setfile_path,canonical_setfile_present,open_successor_phase,open_successor_status,open_successor_updated_at,later_activity_at_or_below_gate,blocker,disposition,owner_disposition
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_10919,XTIUSD.DWX,PRE_JUNE,2026-09-02,Q10,PASS,4.84,30,1.8511800000000003,,D:\QM\reports\pipeline\QM5_10919\Q10\XTIUSD_DWX\aggregate.json,True,,False,,,,Q09_NEWS pending 2026-09-02 10:10:35,"no row at any gate after Q10 exists for this pair (next gate would be Q11); but the pair is being reworked at Q09_NEWS (pending, 2026-09-02 10:10:35)",LEAVE (OWNER disposition on the pair),OWNER-DEC-LEGACY-COHORT-DISPO-20260830
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_13128,NDX.DWX,UNATTRIBUTED,2026-09-02,Q10,PASS,2.29,57,1.24854,,D:\QM\reports\pipeline\QM5_13128\Q10\NDX_DWX\aggregate.json,True,,False,,,,Q10_NEWS pending 2026-08-30 19:23:27,"no row at any gate after Q10 exists for this pair (next gate would be Q11); but the pair is being reworked at Q10_NEWS (pending, 2026-08-30 19:23:27)",REQUALIFY (seed Q11),
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_1556,XAUUSD.DWX,PRE_JUNE+JUNE,2026-09-03,Q10,PASS,1.93,53,2.68323,,D:\QM\reports\pipeline\QM5_1556\Q10\XAUUSD_DWX\aggregate.json,True,,False,,,,Q09_NEWS pending 2026-09-02 10:10:35,"no row at any gate after Q10 exists for this pair (next gate would be Q11); but the pair is being reworked at Q09_NEWS (pending, 2026-09-02 10:10:35)",REQUALIFY (seed Q11),
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_12989,XAUUSD.DWX,UNATTRIBUTED,2026-09-02,Q10,PASS,1.72,51,6.479450000000001,,D:\QM\reports\pipeline\QM5_12989\Q10\XAUUSD_DWX\aggregate.json,True,,False,,,,Q10_NEWS pending 2026-08-31 01:25:07,"no row at any gate after Q10 exists for this pair (next gate would be Q11); but the pair is being reworked at Q10_NEWS (pending, 2026-08-31 01:25:07)",REQUALIFY (seed Q11),
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_10939,GBPUSD.DWX,PRE_JUNE,2026-09-02,Q10,PASS,1.58,92,6.190060000000001,,D:\QM\reports\pipeline\QM5_10939\Q10\GBPUSD_DWX\aggregate.json,True,,False,,,,Q10_NEWS pending 2026-09-01 12:35:26,"no row at any gate after Q10 exists for this pair (next gate would be Q11); but the pair is being reworked at Q10_NEWS (pending, 2026-09-01 12:35:26)",REQUALIFY (seed Q11),
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_10815,EURUSD.DWX,PRE_JUNE,2026-08-29,Q09,PASS,1.57,125,6.499640000000001,10041.01,D:\QM\reports\work_items\f75972f6-8f62-4679-978b-fbb86d17ea46\QM5_10815\Q09\EURUSD_DWX\aggregate.json,True,,False,,,,,no row at any gate after Q09 exists for this pair (next gate would be Q10),REQUALIFY (seed Q10),
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_12969,USDJPY.DWX,JULY,2026-09-02,Q10,PASS,1.54,331,2.0163900000000003,,D:\QM\reports\pipeline\QM5_12969\Q10\USDJPY_DWX\aggregate.json,True,,False,,,,Q09_NEWS pending 2026-09-02 10:10:35,"no row at any gate after Q10 exists for this pair (next gate would be Q11); but the pair is being reworked at Q09_NEWS (pending, 2026-09-02 10:10:35)",REQUALIFY (seed Q11),
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_10940,XAUUSD.DWX,PRE_JUNE,2026-08-27,Q09,PASS,1.53,51,7.436439999999999,9080.11,D:\QM\reports\work_items\82ffb4fe-fe1b-4d99-b98e-0d68b1fb0a58\QM5_10940\Q09\XAUUSD_DWX\aggregate.json,True,,False,,,,Q09 FAIL 2026-08-27 09:27:59,no row at any gate after Q09 exists for this pair (next gate would be Q10),REQUALIFY (seed Q10),
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_1567,EURUSD.DWX,PRE_JUNE,2026-09-02,Q10,PASS,1.5,73,8.832889999999999,,D:\QM\reports\pipeline\QM5_1567\Q10\EURUSD_DWX\aggregate.json,True,,False,,,,Q10_NEWS pending 2026-09-01 01:25:04,"no row at any gate after Q10 exists for this pair (next gate would be Q11); but the pair is being reworked at Q10_NEWS (pending, 2026-09-01 01:25:04)",REQUALIFY (seed Q11),
T1_STANDING_DEEP_PASS_NO_SUCCESSOR,QM5_11132,SP500.DWX,PRE_JUNE,2026-09-02,Q10,PASS,1.49,73,3.01384,,D:\QM\reports\pipeline\QM5_11132\Q10\SP500_DWX\aggregate.json,True,,False,,,,Q09_NEWS pending 2026-09-02 10:10:35,"no row at any gate after Q10 exists for this pair (next gate would be Q11); but the pair is being reworked at Q09_NEWS (pending, 2026-09-02 10:10:35)",REQUALIFY (seed Q11),
