arm,2019,2020,2021,total
buy_003,1,1,2,4
buy_004,0,0,0,0
buy_005,0,0,0,0
buy_006,0,0,0,0
buy_007,1,0,0,1
buy_008,0,0,0,0
buy_009,1,0,0,1
buy_010,0,0,0,0
buy_011,2,0,2,4
buy_012,0,1,2,3
buy_013,4,5,5,14
buy_014,0,0,0,0
buy_015,0,0,0,0
buy_016,1,0,1,2
buy_017,1,0,0,1
buy_018,0,0,0,0
buy_019,1,0,0,1
buy_020,1,0,1,2
buy_021,1,0,0,1
buy_022,2,0,2,4
buy_023,0,0,0,0
buy_024,0,0,0,0
buy_025,2,0,0,2
buy_026,3,1,0,4
buy_027,1,0,0,1
buy_028,4,0,2,6
buy_029,0,1,0,1
buy_030,1,1,0,2
buy_031,0,0,0,0
buy_032,2,0,0,2
buy_033,0,0,0,0
buy_034,1,0,0,1
buy_035,0,0,0,0
buy_036,0,0,0,0
buy_037,0,0,0,0
buy_038,0,0,0,0
buy_039,7,0,3,10
buy_040,1,0,0,1
buy_041,0,1,1,2
buy_042,5,0,5,10
buy_043,4,0,3,7
buy_044,1,2,0,3
buy_045,0,2,0,2
buy_046,1,1,0,2
buy_047,0,1,0,1
buy_048,1,1,0,2
buy_049,0,0,0,0
buy_050,0,0,0,0
buy_051,6,5,5,16
buy_052,8,6,5,19
buy_053,2,2,0,4
buy_054,4,3,2,9
buy_055,1,3,2,6
buy_056,7,4,4,15
buy_057,6,2,3,11
buy_058,2,2,0,4
buy_059,3,2,2,7
buy_060,2,1,3,6
buy_077,4,4,2,10
buy_078,10,6,8,24
buy_079,10,4,8,22
buy_080,9,2,8,19
buy_081,4,1,2,7
buy_082,1,0,0,1
buy_083,0,1,0,1
buy_084,1,2,1,4
buy_087,5,3,0,8
buy_088,0,0,0,0
buy_089,1,1,1,3
buy_090,2,3,0,5
buy_091,3,1,4,8
buy_092,0,0,0,0
buy_093,2,2,1,5
buy_094,11,7,8,26
buy_098,0,0,0,0
buy_099,0,0,0,0
buy_100,1,0,0,1
sell_003,2,3,3,8
sell_004,0,0,0,0
sell_005,1,0,0,1
sell_006,0,0,0,0
sell_007,0,0,0,0
sell_008,0,0,0,0
sell_009,0,0,0,0
sell_010,1,1,2,4
sell_011,1,2,0,3
sell_012,4,3,6,13
sell_013,2,4,4,10
sell_014,0,0,0,0
sell_015,0,0,0,0
sell_016,1,2,1,4
sell_017,0,0,0,0
sell_018,1,1,1,3
sell_019,0,3,2,5
sell_020,0,0,1,1
sell_021,1,1,0,2
sell_022,3,2,0,5
sell_023,0,0,0,0
sell_024,0,0,0,0
sell_025,0,3,0,3
sell_026,1,1,1,3
sell_027,2,2,1,5
sell_028,0,0,0,0
sell_029,2,2,1,5
sell_030,0,0,0,0
sell_031,0,0,0,0
sell_032,0,1,1,2
sell_033,0,2,2,4
sell_034,0,0,0,0
sell_035,0,0,0,0
sell_036,0,0,0,0
sell_037,0,0,0,0
sell_038,0,0,0,0
sell_039,4,4,2,10
sell_040,0,0,0,0
sell_041,1,1,0,2
sell_042,6,7,11,24
sell_043,2,3,8,13
sell_044,1,2,1,4
sell_045,0,0,0,0
sell_046,0,2,0,2
sell_047,0,0,0,0
sell_048,0,0,0,0
sell_049,0,0,0,0
sell_050,0,1,0,1
sell_051,8,10,11,29
sell_052,3,5,6,14
sell_053,2,2,3,7
sell_054,0,1,0,1
sell_055,4,9,8,21
sell_056,2,1,2,5
sell_057,6,7,10,23
sell_058,2,2,2,6
sell_059,4,3,6,13
sell_060,2,1,0,3
sell_077,4,4,2,10
sell_078,8,13,12,33
sell_079,9,11,10,30
sell_080,10,7,11,28
sell_081,0,1,0,1
sell_082,0,0,0,0
sell_083,1,0,0,1
sell_084,3,3,4,10
sell_087,2,1,2,5
sell_088,0,0,0,0
sell_089,0,0,0,0
sell_090,0,0,1,1
sell_091,3,1,9,13
sell_092,0,1,1,2
sell_093,0,1,1,2
sell_094,9,9,9,27
sell_098,0,0,0,0
sell_099,0,0,0,0
sell_100,1,2,0,3
