arm,2019,2020,2021,2022,2023,2024,2025,total
buy_003,0,1,2,2,2,0,0,7
buy_004,0,0,0,0,0,0,0,0
buy_005,0,0,0,0,0,0,0,0
buy_006,0,0,0,0,0,0,0,0
buy_007,0,0,0,0,0,0,0,0
buy_008,0,0,0,0,0,0,0,0
buy_009,0,0,0,0,0,0,0,0
buy_010,0,0,0,0,1,1,0,2
buy_011,0,0,0,0,0,0,0,0
buy_012,0,2,2,1,1,1,0,7
buy_013,0,0,2,2,2,0,3,9
buy_014,0,0,0,0,0,0,0,0
buy_015,0,0,0,0,0,0,0,0
buy_016,0,0,0,0,0,0,0,0
buy_017,0,0,0,0,0,0,0,0
buy_018,0,1,0,0,1,0,0,2
buy_019,0,0,0,0,0,0,0,0
buy_020,0,0,0,0,0,0,0,0
buy_021,0,0,0,0,0,0,0,0
buy_022,0,0,0,0,0,0,0,0
buy_023,0,0,0,0,0,0,0,0
buy_024,0,0,0,0,0,0,0,0
buy_025,0,1,0,0,0,0,1,2
buy_026,0,0,0,0,0,0,0,0
buy_027,0,0,0,0,0,0,0,0
buy_028,1,0,1,1,1,0,1,5
buy_029,0,0,0,0,0,0,0,0
buy_030,0,0,0,1,0,0,2,3
buy_031,0,0,0,0,0,0,0,0
buy_032,1,0,0,1,0,0,0,2
buy_033,0,0,0,0,0,0,0,0
buy_034,0,0,0,0,0,0,0,0
buy_035,0,0,0,0,0,0,0,0
buy_036,0,0,0,0,0,0,0,0
buy_037,0,0,0,0,0,0,0,0
buy_038,0,0,0,0,0,0,0,0
buy_039,0,0,0,0,0,0,0,0
buy_040,0,0,0,0,0,0,0,0
buy_041,0,0,1,0,0,0,0,1
buy_042,0,4,3,4,2,1,4,18
buy_043,0,4,1,0,2,1,2,10
buy_044,0,0,0,0,0,0,1,1
buy_045,0,0,0,0,0,0,0,0
buy_046,0,0,0,0,0,0,1,1
buy_047,0,0,0,0,0,0,0,0
buy_048,0,0,0,0,0,0,0,0
buy_049,0,0,0,0,0,0,0,0
buy_050,0,0,0,0,0,0,0,0
buy_051,0,0,0,0,0,0,0,0
buy_052,1,4,9,6,5,5,9,39
buy_053,0,0,0,0,0,0,0,0
buy_054,0,3,6,3,3,3,6,24
buy_055,0,0,0,0,0,0,0,0
buy_056,1,1,5,3,3,4,6,23
buy_057,0,4,4,2,2,1,3,16
buy_058,1,0,1,0,0,0,1,3
buy_059,0,3,1,0,1,2,2,9
buy_060,0,0,0,0,0,2,0,2
buy_077,0,0,0,0,0,0,2,2
buy_078,0,3,1,2,3,1,1,11
buy_079,1,1,2,0,1,0,5,10
buy_080,1,3,4,3,2,3,3,19
buy_081,0,1,5,3,1,2,3,15
buy_082,0,0,0,0,0,0,0,0
buy_083,0,0,0,0,0,0,1,1
buy_084,0,1,0,0,2,0,2,5
buy_087,0,0,4,2,2,1,1,10
buy_088,0,0,0,0,0,0,0,0
buy_089,0,0,1,0,0,1,0,2
buy_090,0,0,0,0,0,0,0,0
buy_091,0,1,3,0,0,0,2,6
buy_092,0,0,0,0,0,0,0,0
buy_093,0,0,1,1,0,0,1,3
buy_094,1,3,2,3,1,1,3,14
buy_098,0,0,0,0,0,0,0,0
buy_099,0,0,0,1,0,1,0,2
buy_100,0,0,0,0,0,0,0,0
sell_003,0,0,0,0,0,0,0,0
sell_004,0,0,0,0,0,0,0,0
sell_005,0,0,0,0,0,0,0,0
sell_006,0,0,0,0,0,0,0,0
sell_007,0,1,0,0,1,1,0,3
sell_008,0,0,0,0,0,0,0,0
sell_009,0,1,0,0,1,1,0,3
sell_010,0,0,0,0,0,0,0,0
sell_011,0,1,1,0,1,1,0,4
sell_012,0,0,0,0,0,0,0,0
sell_013,1,2,1,3,2,2,1,12
sell_014,0,0,0,0,0,0,0,0
sell_015,0,0,0,0,0,0,0,0
sell_016,0,0,0,1,1,0,0,2
sell_017,0,0,0,0,0,0,0,0
sell_018,0,0,3,1,0,0,0,4
sell_019,0,0,0,0,0,0,0,0
sell_020,0,0,0,0,0,0,0,0
sell_021,0,0,0,0,0,0,0,0
sell_022,0,0,0,0,0,0,0,0
sell_023,0,0,0,0,0,0,0,0
sell_024,0,0,0,0,0,0,0,0
