ea_id,symbol,build_hash,setfile_hash,gate,phase,n,pass,econ_fail,infra,invalid,stale,other,valid
QM5_10000,EURUSD.DWX,334bef9ee9cd7f872437eb617d8572f05d5e34789b7d2d3992f4fbb464c46a8d,c4aa4ec001fb52c2b3d5868bd7a9700731801830fa760bab1a1b5906a294ffba,Q02,Q02,1,0,0,0,0,0,1,0
QM5_10000,EURUSD.DWX,6046003fff14bad6b312be2606aaa555210a87ec8fd49dd04c5159e656e3bf12,0bf95a78759fb6bf5b98f1995536249c2596d8e490f2a7b9c7d5c5c5d05667a2,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10000,GBPUSD.DWX,6046003fff14bad6b312be2606aaa555210a87ec8fd49dd04c5159e656e3bf12,7fb12e3a9d7dfb953a0d716723834937d6be89bd7ed348891342cdb6af421409,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10000,GBPUSD.DWX,6046003fff14bad6b312be2606aaa555210a87ec8fd49dd04c5159e656e3bf12,7fb12e3a9d7dfb953a0d716723834937d6be89bd7ed348891342cdb6af421409,Q03,Q03,7,1,0,6,0,0,0,1
QM5_10000,USDJPY.DWX,334bef9ee9cd7f872437eb617d8572f05d5e34789b7d2d3992f4fbb464c46a8d,8d408c63f89a4637b85e97f1a170f05dd4967548d8b18c5ccd77d1a697aea2f2,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10000,USDJPY.DWX,334bef9ee9cd7f872437eb617d8572f05d5e34789b7d2d3992f4fbb464c46a8d,8d408c63f89a4637b85e97f1a170f05dd4967548d8b18c5ccd77d1a697aea2f2,Q03,Q03,1,0,0,0,0,0,1,0
QM5_10000,XAUUSD.DWX,6046003fff14bad6b312be2606aaa555210a87ec8fd49dd04c5159e656e3bf12,d5ee61826575396ab5ed80bddfdcef61edd113d94a0102159029324cd69ef6ff,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10001,EURUSD.DWX,a4949a2683cdb642e54e03b929836ce2f9b156ee9ce3b1d414c05603cf217ade,4ea9c9860734dc91c2f3895d1c0f0024ff6b3f78587c87fc30ef3447efbfd723,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10001,GBPJPY.DWX,a4949a2683cdb642e54e03b929836ce2f9b156ee9ce3b1d414c05603cf217ade,3a2f605737306ed2e58e4745487fcf5ecaa6f18024aa484c1d6d52dc7d8193fa,Q02,Q02,1,0,0,0,0,0,1,0
QM5_10001,GBPUSD.DWX,a4949a2683cdb642e54e03b929836ce2f9b156ee9ce3b1d414c05603cf217ade,a1faf49f982ed8522631345a01dd8fb6ba1220b78571019b0176beeb89d2d33d,Q02,Q02,1,0,0,0,1,0,0,0
QM5_10001,USDJPY.DWX,a4949a2683cdb642e54e03b929836ce2f9b156ee9ce3b1d414c05603cf217ade,d2ed7ea1870aab3b8721f38832c53e4bb30312a32a3340ea20bce86ac8f4441b,Q02,Q02,1,0,0,0,1,0,0,0
QM5_10002,GBPUSD.DWX,2f5a5c3776144b828b0955c7603c9da1ac29f148993566bfd577581efcf0a316,c4d18d4d12f20e95d24d4690e22010cf9d017c605ae8ae1a0ae370f893a10939,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10007,GBPUSD.DWX,932a2345113d8b8c777865d5def0997e9a61b2ab2dbb61c0c5016ac1933d2f97,48e7d0c4685a7f6ea477854a348fbdf4b9029ac082c2eab7ddebc2b1f75b4aff,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10008,EURUSD.DWX,97c182de67f9733d382296c94b06aa2de6e9ae0087c5bfceed84ad91f2a5ea28,a17a0f6814aa8cf1ba235d0aa14dbaa9f0d765bfe6ed52ba3848e8989fa350e3,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10008,USDJPY.DWX,97c182de67f9733d382296c94b06aa2de6e9ae0087c5bfceed84ad91f2a5ea28,0f5019409861e7f370efad5ca950e3f512cfaa845491f8e96d1370d334aec6fc,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10008,USDJPY.DWX,97c182de67f9733d382296c94b06aa2de6e9ae0087c5bfceed84ad91f2a5ea28,0f5019409861e7f370efad5ca950e3f512cfaa845491f8e96d1370d334aec6fc,Q03,Q03,1,1,0,0,0,0,0,1
QM5_10009,AUDUSD.DWX,f02fae6dbc09d3b3f4997ab7419952c176db25f889db085c2f8c42d3130ffbdf,2ae999b96701d19fd75f174f21bc0acb16e0d585c07b22926c2637c60f0e32a2,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10009,AUDUSD.DWX,f02fae6dbc09d3b3f4997ab7419952c176db25f889db085c2f8c42d3130ffbdf,2ae999b96701d19fd75f174f21bc0acb16e0d585c07b22926c2637c60f0e32a2,Q03,Q03,2,0,1,1,0,0,0,0
QM5_10009,NZDUSD.DWX,f02fae6dbc09d3b3f4997ab7419952c176db25f889db085c2f8c42d3130ffbdf,0845e03d5945978e5dc0310548c75315b41ca37e8bd2f78cae8cae47dfa927a4,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10009,NZDUSD.DWX,f02fae6dbc09d3b3f4997ab7419952c176db25f889db085c2f8c42d3130ffbdf,0845e03d5945978e5dc0310548c75315b41ca37e8bd2f78cae8cae47dfa927a4,Q03,Q03,1,1,0,0,0,0,0,1
QM5_10010,AUDUSD.DWX,7d6d27cf04408319e6e6f1233b7bc7a01cf32117b071958a6b33bb766cb6d353,8e8e91f638f0a201804ce55ab5c1c343a95ac741a2a96a22a01b5124b0600d09,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10012,EURUSD.DWX,7235ca08884367a70f0740c83e0eeb7c6d7db6324aaa402f6b7680eef9aa091b,a4fe3429279d29316e3ab306d0acecc7a53babb7f461f3c9049dfcc5a860cea9,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10012,USDJPY.DWX,7235ca08884367a70f0740c83e0eeb7c6d7db6324aaa402f6b7680eef9aa091b,39e9abba7cdfaf6791d24caaa243ba33b7bd83861fd62752ecc00a074a7c4dee,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10015,EURUSD.DWX,440e0c4568aa5594857ab4d2282358bdc0e1b50085de58983166cb1d2a97820e,6a462eedc8a879adc03bfc97e9dd0c2abc9c303e53061ad260c7d65dc13c8d71,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10015,USDJPY.DWX,440e0c4568aa5594857ab4d2282358bdc0e1b50085de58983166cb1d2a97820e,ec3da47d11546654dc9c9dd7617f37516a59ca2a4d76f1d477210df620503d42,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10016,AUDJPY.DWX,fc579442286424d361a84f1391755889370ca0861b156fe36b5ac2456be6cfca,6e2175dd63bf26eb66d762ef4547a1f132e24223a070f0fe9d63906bba977396,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10016,EURUSD.DWX,fc579442286424d361a84f1391755889370ca0861b156fe36b5ac2456be6cfca,87bc2f6bb43d9ed5c728a2dca307b6a0f6adc23cd3c12d41707e9d9e1d780614,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10016,GBPUSD.DWX,fc579442286424d361a84f1391755889370ca0861b156fe36b5ac2456be6cfca,a8cb5e54f6416450a5da85bc91cac54a02bc45c0b1e448d0702da01f60260491,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10016,XAUUSD.DWX,fc579442286424d361a84f1391755889370ca0861b156fe36b5ac2456be6cfca,8f7259c70d559d12fd19c4a74fd25e936a7ede77fa94fc86a2995cf3302b9ef6,Q02,Q02,2,0,0,1,0,0,1,0
QM5_10017,EURUSD.DWX,8314fbeabdb58a6d76b13335bd34c8f3ecf5b89ca8d05764ad3f7009c2b72c7c,c47727bd1a37cbd92f0ab01ea9fc7af60b52fd2f7934fab0a7745544a80b7ed4,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10021,GBPUSD.DWX,6a1d669698f30ce4a7b80237fef27cca44ac9e8f1ce22d2480d21c33ad24225f,9381501befd3db138c7a480c5b8e74ea19043d0f302feab2fa099cbbd44065ce,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10025,AUDCHF.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,544ad672c2b670a90fc3029691e9f5d82a5069750150795048549c38abce7843,Q02,Q02,1,0,0,1,0,0,0,0
