symbol,session_declared_UTC,matched_minutes,FTMO_minus_DXZ_price_p50,FTMO_minus_DXZ_price_p90
GBPUSD,00-06_declared_UTC,25200,-2e-05,1e-05
GBPUSD,06-12_declared_UTC,25203,-2e-05,1e-05
GBPUSD,12-18_declared_UTC,25557,-1e-05,2e-05
GBPUSD,18-24_declared_UTC,23947,-2e-05,0.0001
EURUSD,00-06_declared_UTC,25200,-2e-05,0.0
EURUSD,06-12_declared_UTC,25388,-1e-05,0.0
EURUSD,12-18_declared_UTC,25560,-1e-05,0.0
EURUSD,18-24_declared_UTC,23796,-1e-05,7e-05
USDCAD,00-06_declared_UTC,25199,-2e-05,1e-05
USDCAD,06-12_declared_UTC,25499,-2e-05,0.0
USDCAD,12-18_declared_UTC,25560,-1e-05,2e-05
USDCAD,18-24_declared_UTC,23582,-1e-05,6e-05
NZDUSD,00-06_declared_UTC,25200,-1e-05,2e-05
NZDUSD,06-12_declared_UTC,25469,-2e-05,1e-05
NZDUSD,12-18_declared_UTC,25555,-1e-05,2e-05
NZDUSD,18-24_declared_UTC,23639,-1e-05,9e-05
XTIUSD,00-06_declared_UTC,26541,0.028,0.038
XTIUSD,06-12_declared_UTC,26640,0.038,0.06
XTIUSD,12-18_declared_UTC,26515,0.048,0.068
XTIUSD,18-24_declared_UTC,19986,0.038,0.051
XAGUSD,00-06_declared_UTC,26280,0.037,0.056
XAGUSD,06-12_declared_UTC,26568,0.034,0.05
XAGUSD,12-18_declared_UTC,26516,0.036,0.053
XAGUSD,18-24_declared_UTC,20626,0.034,0.051
