deal_id,position_id,time_utc,entry,deal_magic,logical_magic,symbol,profit,swap,commission,fee,net_actual,risk_percent_in_force,net_per_1pct_risk,magic,type,volume,price,order,time_broker,comment
137154311,0,2026-04-24T09:44:12Z,IN,0,,,100000.00,0.00,0.00,0.00,100000.00,,,0,BALANCE,0.00,0.00000,0,2026-04-24 12:44:12,First deposit
145900211,3162533174,2026-06-28T22:00:02Z,IN,111320000,,SP500,0.00,0.00,-0.09,0.00,-0.09,,,111320000,BUY,0.34,7360.70000,3162533174,2026-06-29 01:00:02,TM_CUM_RSI2_LONG
146031307,3162733509,2026-06-29T17:00:00Z,IN,109400003,,XAUUSD,0.00,0.00,-1.11,0.00,-1.11,,,109400003,SELL,0.11,4023.65000,3162733509,2026-06-29 20:00:00,GRIMES_NESTED_PB_SHORT
146054123,3162533174,2026-06-29T22:00:02Z,OUT,111320000,,SP500,300.56,-3.60,-0.09,0.00,296.87,,,111320000,SELL,0.34,7449.10000,3162770806,2026-06-30 01:00:02,qm_tm_close
146055583,0,2026-06-29T22:14:31Z,IN,0,,,2.66,0.00,0.00,0.00,2.66,,,0,DIVIDEND,0.00,0.00000,0,2026-06-30 01:14:31,SP500 div. 7.82 USD / lot
146117483,3162733509,2026-06-30T06:32:27Z,OUT,109400003,,XAUUSD,12.87,4.09,-1.11,0.00,15.85,,,109400003,BUY,0.11,4022.48000,3162854866,2026-06-30 09:32:27,[sl 4023.65]
146226519,3163007903,2026-06-30T19:00:01Z,IN,109110003,,GDAXI,0.00,0.00,-1.19,0.00,-1.19,,,109110003,BUY,0.38,25052.20000,3163007903,2026-06-30 22:00:01,GRIMES_COMPLEX_PB_LONG
146432826,3163007903,2026-07-02T01:00:01Z,OUT,109110003,,GDAXI,-18.16,-22.13,-1.19,0.00,-41.48,,,109110003,SELL,0.38,25048.00000,3163302274,2026-07-02 04:00:01,qm_tm_close
146452250,3163364773,2026-07-02T06:00:04Z,IN,104400003,,NDX,0.00,0.00,-1.87,0.00,-1.87,,,104400003,SELL,0.68,29832.50000,3163364773,2026-07-02 09:00:04,QM5_10440_SHORT_MTF_STRUCTURE
146468727,3163364773,2026-07-02T07:17:46Z,OUT,104400003,,NDX,1494.64,0.00,-1.87,0.00,1492.77,,,104400003,BUY,0.68,29612.70000,3163393769,2026-07-02 10:17:46,[tp 29613.3]
146521762,3163278282,2026-07-02T12:30:44Z,IN,114210000,,EURUSD,0.00,0.00,-2.69,0.00,-2.69,,,114210000,BUY,0.94,1.14391,3163278282,2026-07-02 15:30:44,squeeze_long_buystop
146757442,3163278282,2026-07-03T18:00:00Z,OUT,0,,EURUSD,10.34,-7.71,-2.69,0.00,-0.06,,,0,SELL,0.94,1.14402,3163977817,2026-07-03 21:00:00,
147095745,3164740863,2026-07-07T22:00:01Z,IN,111650002,,AUDCAD,0.00,0.00,-2.53,0.00,-2.53,,,111650002,BUY,1.46,0.98360,3164740863,2026-07-08 01:00:01,WEISS_RSI_MA_LONG
147141952,3164865831,2026-07-08T07:00:00Z,IN,109110003,,GDAXI,0.00,0.00,-0.35,0.00,-0.35,,,109110003,SELL,0.11,25326.70000,3164865831,2026-07-08 10:00:00,GRIMES_COMPLEX_PB_SHORT
147155802,3164673364,2026-07-08T08:17:00Z,IN,114210003,,AUDUSD,0.00,0.00,-1.90,0.00,-1.90,,,114210003,SELL,1.10,0.69183,3164673364,2026-07-08 11:17:00,squeeze_short_sellstop
147168896,3164865831,2026-07-08T08:35:23Z,OUT,109110003,,GDAXI,450.42,0.00,-0.35,0.00,450.07,,,109110003,BUY,0.11,24967.90000,3164907721,2026-07-08 11:35:23,[tp 24967.9]
147177517,3164920773,2026-07-08T09:00:02Z,IN,109110003,,GDAXI,0.00,0.00,-0.13,0.00,-0.13,,,109110003,SELL,0.04,24922.30000,3164920773,2026-07-08 12:00:02,GRIMES_COMPLEX_PB_SHORT
147322622,3164920773,2026-07-09T06:00:01Z,OUT,109110003,,GDAXI,-93.41,0.15,-0.13,0.00,-93.39,,,109110003,BUY,0.04,25126.60000,3165214031,2026-07-09 09:00:01,qm_tm_close
147340607,3164740863,2026-07-09T08:00:00Z,OUT,111650002,,AUDCAD,-9.27,7.73,-2.53,0.00,-4.07,,,111650002,SELL,1.46,0.98351,3165250558,2026-07-09 11:00:00,qm_tm_close
147348125,3165268800,2026-07-09T09:00:01Z,IN,109110003,,GDAXI,0.00,0.00,-0.38,0.00,-0.38,,,109110003,SELL,0.12,24950.20000,3165268800,2026-07-09 12:00:01,GRIMES_COMPLEX_PB_SHORT
147401861,3165268800,2026-07-09T15:00:00Z,OUT,109110003,,GDAXI,-212.38,0.00,-0.38,0.00,-212.76,,,109110003,BUY,0.12,25105.00000,3165373187,2026-07-09 18:00:00,qm_tm_close
