broker_epoch,utc,tick_volume,official_band,raw_native_band
1763634600,2025-11-20T08:30:00+00:00,459,False,False
1763634900,2025-11-20T08:35:00+00:00,321,False,False
1763635200,2025-11-20T08:40:00+00:00,361,False,False
1763635500,2025-11-20T08:45:00+00:00,361,False,False
1763635800,2025-11-20T08:50:00+00:00,349,False,False
1763636100,2025-11-20T08:55:00+00:00,377,False,False
1763636400,2025-11-20T09:00:00+00:00,453,False,False
1763636700,2025-11-20T09:05:00+00:00,326,False,False
1763637000,2025-11-20T09:10:00+00:00,272,False,False
1763637300,2025-11-20T09:15:00+00:00,318,False,False
1763637600,2025-11-20T09:20:00+00:00,319,False,False
1763637900,2025-11-20T09:25:00+00:00,318,False,False
1763638200,2025-11-20T09:30:00+00:00,325,False,False
1763638500,2025-11-20T09:35:00+00:00,298,False,False
1763638800,2025-11-20T09:40:00+00:00,279,False,False
1763639100,2025-11-20T09:45:00+00:00,310,False,False
1763639400,2025-11-20T09:50:00+00:00,218,False,False
1763639700,2025-11-20T09:55:00+00:00,260,False,False
1763640000,2025-11-20T10:00:00+00:00,427,False,False
1763640300,2025-11-20T10:05:00+00:00,377,False,False
1763640600,2025-11-20T10:10:00+00:00,312,False,False
1763640900,2025-11-20T10:15:00+00:00,323,False,False
1763641200,2025-11-20T10:20:00+00:00,262,False,False
1763641500,2025-11-20T10:25:00+00:00,195,False,False
1763641800,2025-11-20T10:30:00+00:00,248,False,False
1763642100,2025-11-20T10:35:00+00:00,235,False,False
1763642400,2025-11-20T10:40:00+00:00,232,False,False
1763642700,2025-11-20T10:45:00+00:00,206,False,False
1763643000,2025-11-20T10:50:00+00:00,310,False,False
1763643300,2025-11-20T10:55:00+00:00,344,False,False
1763643600,2025-11-20T11:00:00+00:00,314,False,False
1763643900,2025-11-20T11:05:00+00:00,337,False,False
1763644200,2025-11-20T11:10:00+00:00,231,False,False
1763644500,2025-11-20T11:15:00+00:00,271,False,False
1763644800,2025-11-20T11:20:00+00:00,247,False,False
1763645100,2025-11-20T11:25:00+00:00,235,False,False
1763645400,2025-11-20T11:30:00+00:00,209,False,False
1763645700,2025-11-20T11:35:00+00:00,218,False,False
1763646000,2025-11-20T11:40:00+00:00,289,False,False
1763646300,2025-11-20T11:45:00+00:00,172,False,False
1763646600,2025-11-20T11:50:00+00:00,247,False,False
1763646900,2025-11-20T11:55:00+00:00,359,False,False
1763647200,2025-11-20T12:00:00+00:00,283,False,False
1763647500,2025-11-20T12:05:00+00:00,255,False,False
1763647800,2025-11-20T12:10:00+00:00,293,False,False
1763648100,2025-11-20T12:15:00+00:00,242,False,False
1763648400,2025-11-20T12:20:00+00:00,216,False,False
1763648700,2025-11-20T12:25:00+00:00,252,False,False
1763649000,2025-11-20T12:30:00+00:00,304,False,False
1763649300,2025-11-20T12:35:00+00:00,214,False,False
1763649600,2025-11-20T12:40:00+00:00,236,False,False
1763649900,2025-11-20T12:45:00+00:00,229,False,False
1763650200,2025-11-20T12:50:00+00:00,251,False,False
1763650500,2025-11-20T12:55:00+00:00,448,False,False
1763650800,2025-11-20T13:00:00+00:00,441,False,False
1763651100,2025-11-20T13:05:00+00:00,295,False,False
1763651400,2025-11-20T13:10:00+00:00,287,False,False
1763651700,2025-11-20T13:15:00+00:00,323,True,True
1763652000,2025-11-20T13:20:00+00:00,400,True,True
1763652300,2025-11-20T13:25:00+00:00,492,True,True
1763652600,2025-11-20T13:30:00+00:00,2047,True,True
1763652900,2025-11-20T13:35:00+00:00,1591,True,True
1763653200,2025-11-20T13:40:00+00:00,1476,True,True
1763653500,2025-11-20T13:45:00+00:00,1375,True,True
1763653800,2025-11-20T13:50:00+00:00,1211,False,False
1763654100,2025-11-20T13:55:00+00:00,960,False,False
