currency,month,native_high_rows,candidate_primary_high_rows,usd_40_50_band,count_basis
ALL,2015-05,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2015-06,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2015-08,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2015-09,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2015-12,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2016-02,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2016-04,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2016-05,0,4,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2016-06,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2016-07,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2016-11,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2017-03,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2017-04,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2017-05,0,5,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2017-07,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2017-11,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2018-03,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2018-06,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2018-11,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2018-12,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2019-01,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2019-06,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2019-07,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2019-08,0,4,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2019-12,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-03,0,4,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-04,0,5,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-05,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-06,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-07,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-08,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-09,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-10,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-11,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2020-12,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-01,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-02,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-03,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-04,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-06,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-07,0,3,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-08,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-09,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-10,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-11,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2021-12,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2022-01,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2022-02,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
