currency,year,native_high_rows,rate_rows,rate_fraction,confirmed_rows,unconfirmed_rows
EUR,2018,104,8,0.07692307692307693,0,104
EUR,2019,104,8,0.07692307692307693,0,104
EUR,2020,140,8,0.05714285714285714,0,140
EUR,2021,140,8,0.05714285714285714,0,140
EUR,2022,138,8,0.057971014492753624,0,138
EUR,2023,147,8,0.05442176870748299,0,147
EUR,2024,131,8,0.061068702290076333,0,131
EUR,2025,150,8,0.05333333333333334,0,150
GBP,2018,80,8,0.1,8,72
GBP,2019,84,8,0.09523809523809523,8,76
GBP,2020,71,10,0.14084507042253522,10,61
GBP,2021,75,8,0.10666666666666667,8,67
GBP,2022,68,8,0.11764705882352941,8,60
GBP,2023,75,8,0.10666666666666667,8,67
GBP,2024,71,8,0.11267605633802817,8,63
GBP,2025,79,8,0.10126582278481013,8,71
JPY,2018,66,8,0.12121212121212122,0,66
JPY,2019,80,8,0.1,0,80
JPY,2020,70,9,0.12857142857142856,0,70
JPY,2021,72,8,0.1111111111111111,0,72
JPY,2022,67,8,0.11940298507462686,0,67
JPY,2023,61,8,0.13114754098360656,0,61
JPY,2024,61,8,0.13114754098360656,0,61
JPY,2025,60,8,0.13333333333333333,0,60
AUD,2018,26,11,0.4230769230769231,0,26
AUD,2019,28,11,0.39285714285714285,0,28
AUD,2020,28,12,0.42857142857142855,0,28
AUD,2021,25,11,0.44,0,25
AUD,2022,28,11,0.39285714285714285,0,28
AUD,2023,15,11,0.7333333333333333,0,15
AUD,2024,8,8,1.0,0,8
AUD,2025,9,9,1.0,0,9
CAD,2018,26,8,0.3076923076923077,0,26
CAD,2019,22,8,0.36363636363636365,0,22
CAD,2020,31,10,0.3225806451612903,0,31
CAD,2021,23,8,0.34782608695652173,0,23
CAD,2022,25,8,0.32,0,25
CAD,2023,27,8,0.2962962962962963,0,27
CAD,2024,23,8,0.34782608695652173,0,23
CAD,2025,14,8,0.5714285714285714,0,14
