file,currency,event,year,n,top_times
ff_clean,EUR,CPI Flash Estimate y/y,2015,12,19:30x5; 10:00x3; 20:30x3; 09:00x1
ff_clean,EUR,CPI Flash Estimate y/y,2016,12,19:30x6; 20:30x5; 10:00x1
ff_clean,EUR,CPI Flash Estimate y/y,2017,12,19:30x6; 20:30x5; 10:00x1
ff_clean,EUR,CPI Flash Estimate y/y,2018,12,19:30x6; 20:30x4; 10:00x2
ff_clean,EUR,CPI Flash Estimate y/y,2019,12,19:30x5; 20:30x3; 09:00x2; 10:00x2
ff_clean,EUR,CPI Flash Estimate y/y,2020,3,10:00x3
ff_clean,EUR,CPI Flash Estimate y/y,2021,1,09:00x1
ff_clean,EUR,CPI Flash Estimate y/y,2022,9,20:30x4; 09:00x3; 19:30x2
ff_clean,EUR,CPI Flash Estimate y/y,2023,12,20:30x6; 19:30x5; 08:00x1
ff_clean,EUR,CPI Flash Estimate y/y,2024,12,20:30x6; 19:30x5; 08:00x1
ff_clean,EUR,CPI Flash Estimate y/y,2025,4,20:30x3; 19:30x1
ff_clean,EUR,CPI Flash Estimate y/y,2026,2,09:00x2
ff_clean,EUR,Core CPI Flash Estimate y/y,2015,12,09:00x6; 20:30x3; 10:00x2; 19:30x1
ff_clean,EUR,Core CPI Flash Estimate y/y,2016,12,09:00x7; 10:00x4; 20:30x1
ff_clean,EUR,Core CPI Flash Estimate y/y,2017,12,09:00x7; 10:00x4; 20:30x1
ff_clean,EUR,Core CPI Flash Estimate y/y,2018,12,09:00x7; 10:00x3; 20:30x2
ff_clean,EUR,Core CPI Flash Estimate y/y,2019,8,09:00x5; 10:00x3
ff_clean,EUR,Core CPI Flash Estimate y/y,2022,7,10:00x3; 09:00x3; 19:30x1
ff_clean,EUR,Core CPI Flash Estimate y/y,2023,12,10:00x5; 08:00x5; 19:30x1; 09:00x1
ff_clean,EUR,Core CPI Flash Estimate y/y,2024,12,10:00x5; 08:00x5; 19:30x1; 09:00x1
ff_clean,EUR,Core CPI Flash Estimate y/y,2025,4,10:00x3; 08:00x1
ff_clean,EUR,Core CPI Flash Estimate y/y,2026,2,09:00x2
ff_clean,EUR,Dutch Parliamentary Election,2017,1,20:29x1
ff_clean,EUR,Dutch Parliamentary Election,2021,1,20:29x1
ff_clean,EUR,Dutch Parliamentary Election,2023,1,20:29x1
ff_clean,EUR,EBA Bank Stress Test Results,2016,1,20:00x1
ff_clean,EUR,ECB Economic Bulletin,2015,1,09:00x1
ff_clean,EUR,ECB Financial Stability Review,2020,2,13:00x1; 09:30x1
ff_clean,EUR,ECB Financial Stability Review,2021,2,08:00x1; 09:00x1
ff_clean,EUR,ECB Financial Stability Review,2022,2,19:30x1; 09:00x1
ff_clean,EUR,ECB Financial Stability Review,2023,2,19:30x1; 09:00x1
ff_clean,EUR,ECB Financial Stability Review,2024,2,07:00x1; 09:00x1
ff_clean,EUR,ECB Monetary Policy Meeting Accounts,2015,7,11:30x5; 12:30x2
ff_clean,EUR,ECB Monetary Policy Meeting Accounts,2016,8,11:30x5; 12:30x3
ff_clean,EUR,ECB Monetary Policy Meeting Accounts,2017,8,11:30x5; 12:30x3
ff_clean,EUR,ECB Monetary Policy Meeting Accounts,2018,7,11:30x5; 12:30x2
ff_clean,EUR,ECB Monetary Policy Meeting Accounts,2019,8,11:30x5; 12:30x3
ff_clean,EUR,ECB Monetary Policy Meeting Accounts,2020,5,11:30x3; 12:30x2
ff_clean,EUR,ECB Monetary Policy Meeting Accounts,2022,3,11:30x3
ff_clean,EUR,ECB President Draghi Speaks,2015,25,08:00x4; 14:00x2; 20:30x2; 16:30x1
ff_clean,EUR,ECB President Draghi Speaks,2016,25,14:00x5; 16:00x2; 07:00x2; 15:00x2
ff_clean,EUR,ECB President Draghi Speaks,2017,32,13:30x3; 08:00x2; 14:00x2; 17:00x2
ff_clean,EUR,ECB President Draghi Speaks,2018,22,13:00x3; 08:00x2; 08:30x2; 16:00x1
ff_clean,EUR,ECB President Draghi Speaks,2019,13,15:00x2; 20:30x2; 08:00x2; 15:30x1
ff_clean,EUR,ECB President Lagarde Speaks,2019,5,08:50x1; 19:30x1; 08:27x1; 14:00x1
ff_clean,EUR,ECB President Lagarde Speaks,2020,36,08:00x3; 13:00x3; 09:30x2; 07:30x2
ff_clean,EUR,ECB President Lagarde Speaks,2021,38,10:00x4; 11:00x3; 16:15x2; 15:45x2
ff_clean,EUR,ECB President Lagarde Speaks,2022,41,13:00x4; 09:30x3; 15:00x3; 20:30x3
ff_clean,EUR,ECB President Lagarde Speaks,2023,44,14:00x6; 13:00x4; 12:00x3; 12:30x3
