ea_id,symbol,classification,classification_reason,source_phase,source_work_item_id
QM5_10145,XAUUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,24475032-82b8-4fa1-a0fc-c541f29ed0e8
QM5_10403,XAUUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,478451a5-1f51-43b1-99f6-abe07bb45aa8
QM5_10513,XAUUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,73f065d2-1a2a-462f-a8c9-48e1f46b2a67
QM5_10700,XAUUSD.DWX,EXPOSED,active_news_filter_on_H1_intraday_entry_grid,Q09,3030129c-fdc2-4c3d-a2fd-55629948e644
QM5_10706,GBPUSD.DWX,EXPOSED,active_news_filter_on_H1_intraday_entry_grid,Q09,a56206f0-f83c-42d5-87cf-5c86a20265f2
QM5_10911,GDAXI.DWX,INERT,symbol_has_no_USD_leg_or_USD_index_mapping,Q09,6b4532f2-9de5-4b99-b824-c05ce2848cac
QM5_11294,XAUUSD.DWX,EXPOSED,active_news_filter_on_H4_intraday_entry_grid,Q09,2a4117a1-74e6-4b96-985e-dc9615591d46
QM5_11421,EURUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q14,ff733cf6-52a1-5aad-9bff-4f8c31ef4dc6
QM5_11422,USDCAD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,0f23b026-2cc0-485f-8a05-e05f224134e0
QM5_11660,NDX.DWX,EXPOSED,active_news_filter_on_H4_intraday_entry_grid,Q09,c35489ec-72d3-4213-a6e2-03c1d88eae94
QM5_11708,EURUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,74fad2fb-d815-42dd-bb02-1c21926cdf67
QM5_11881,GBPUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,8e6a49e5-4e80-43b6-9037-550c48bb4603
QM5_11910,NZDUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q14,e21567f4-e6f9-51e4-8c9a-c3b4ccef3272
QM5_12710,XTIUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,e1f7a095-f2d2-4ac9-be97-f1d12503b78f
QM5_12849,XTIUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,c2d9d7e2-301d-404e-bc01-f4bfcede20fe
QM5_12855,XTIUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,9f8d8558-41e0-4043-8e9b-8b1110d8f323
QM5_13013,NDX.DWX,EXPOSED,active_news_filter_on_M15_intraday_entry_grid,Q09,878c5d16-b9e8-404e-9532-ef8f71bbea51
QM5_13054,XTIUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q14,4aaa524d-c11a-5725-8de7-f1d00d51eca9
QM5_13213,USDJPY.DWX,EXPOSED,active_news_filter_on_H1_intraday_entry_grid,Q09,e5a8f194-2369-4d59-b6b0-f6f5a6872478
QM5_1537,XAGUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q14,18859f02-5371-5094-a7a5-b63619482545
QM5_20048,XTIUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q14,aefddcb5-3ff1-5b19-a0ef-e188555edf37
QM5_20086,EURUSD.DWX,UNKNOWN,no_completed_Q09_Q10_Q14_row_to_resolve,,
QM5_20086,NDX.DWX,UNKNOWN,no_completed_Q09_Q10_Q14_row_to_resolve,,
QM5_20266,XTIUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,a95c30a6-9216-45cf-b373-485d0bb6cbb7
QM5_21501,USDJPY.DWX,EXPOSED,active_news_filter_on_H1_intraday_entry_grid,Q09,2f530f46-5fd0-4e00-b38f-b33ed606ec7b
QM5_21502,XAUUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,d529d072-c781-483c-999b-cbdadf29fe5e
QM5_21505,XAGUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q14,aecfbf06-63ef-520b-8943-48b5b1d3769e
QM5_21507,XAUUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,b11b8340-1666-454a-861d-a7917b48b60e
QM5_41219,XAUUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,7bd13f68-3ea2-4431-8ec6-07e471328fc9
QM5_41221,EURUSD.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,62619138-ac96-431d-b1f1-a754bf9d3d0c
QM5_9641,WS30.DWX,INERT,D1_bar_entry_grid_does_not_intersect_target_30m_windows,Q09,97552886-b9b3-4741-be2b-4af26e2bf912
