expected_classification,agreement,ea_id,symbol,phase,work_item_id,report_path,entries,true_window_entries,wrong_thursday_window_entries,sample_true_utc,sample_wrong_utc
EXPOSED,True,QM5_10114,SP500.DWX,Q09,c2ec7365-9a2c-4394-9707-9df420b5ff5c,D:\QM\reports\work_items\c2ec7365-9a2c-4394-9707-9df420b5ff5c\QM5_10114\20260828_113300\raw\run_01\report.htm,35,5,0,"['2019-09-05T13:00:00+00:00', '2019-10-21T13:00:00+00:00', '2020-04-09T13:00:00+00:00', '2020-07-09T13:00:00+00:00', '2023-11-09T14:00:00+00:00']",[]
EXPOSED,True,QM5_10440,NDX.DWX,Q09,dae1c1e5-e682-4206-bb9f-553ef45ec3f1,D:\QM\reports\work_items\dae1c1e5-e682-4206-bb9f-553ef45ec3f1\QM5_10440\20260827_014054\raw\run_01\report.htm,490,47,15,"['2018-10-23T14:00:00+00:00', '2018-11-16T13:00:02+00:00', '2018-11-19T13:00:02+00:00', '2019-05-24T12:03:10+00:00', '2019-10-15T12:00:20+00:00']","['2019-07-11T20:09:27+00:00', '2019-08-08T19:00:31+00:00', '2020-05-14T19:00:33+00:00', '2020-11-12T20:00:07+00:00', '2021-04-15T20:00:00+00:00']"
EXPOSED,True,QM5_10476,USDCAD.DWX,Q09,6a008d84-a114-48ef-b033-87a435a0d9df,D:\QM\reports\work_items\6a008d84-a114-48ef-b033-87a435a0d9df\QM5_10476\20260903_083747\raw\run_01\report.htm,299,42,6,"['2018-07-26T14:00:00+00:00', '2018-08-17T14:00:00+00:00', '2018-09-21T12:00:00+00:00', '2018-10-16T14:00:00+00:00', '2019-03-07T13:00:00+00:00']","['2017-12-14T20:00:00+00:00', '2018-08-23T19:00:00+00:00', '2018-09-06T20:00:00+00:00', '2019-09-12T20:00:00+00:00', '2024-03-14T20:00:00+00:00']"
EXPOSED,True,QM5_10494,XAUUSD.DWX,Q09,c4f2a779-ca32-44ab-9e9f-6bb8f1b6445d,D:\QM\reports\work_items\c4f2a779-ca32-44ab-9e9f-6bb8f1b6445d\QM5_10494\20260828_005304\raw\run_01\report.htm,708,336,0,"['2017-11-22T14:00:00+00:00', '2017-11-24T14:00:00+00:00', '2017-11-29T14:00:00+00:00', '2017-12-01T14:00:00+00:00', '2017-12-06T14:00:00+00:00']",[]
EXPOSED,True,QM5_10553,XAUUSD.DWX,Q09,d21b6e2b-87e2-4112-9763-3b1aa8d6b0a7,D:\QM\reports\work_items\d21b6e2b-87e2-4112-9763-3b1aa8d6b0a7\QM5_10553\20260828_013906\raw\run_01\report.htm,2617,569,0,"['2017-10-31T13:00:00+00:00', '2017-11-02T13:00:00+00:00', '2017-11-06T14:00:00+00:00', '2017-11-20T14:00:00+00:00', '2017-11-28T14:00:00+00:00']",[]
INERT,True,QM5_10123,XAUUSD.DWX,Q09,5291212f-ec73-4bf3-977b-b042ce940dfd,D:\QM\reports\work_items\5291212f-ec73-4bf3-977b-b042ce940dfd\QM5_10123\20260830_040757\raw\run_01\report.htm,95,0,0,[],[]
INERT,True,QM5_10128,XAUUSD.DWX,Q09,545e966d-a89e-4246-a08b-d43e2730dce3,D:\QM\reports\work_items\545e966d-a89e-4246-a08b-d43e2730dce3\QM5_10128\20260830_041223\raw\run_01\report.htm,433,0,0,[],[]
INERT,True,QM5_10142,SP500.DWX,Q09,9d1b89cd-ec54-44fb-97a0-f33cba0d6488,D:\QM\reports\work_items\9d1b89cd-ec54-44fb-97a0-f33cba0d6488\QM5_10142\20260828_104309\raw\run_01\report.htm,67,0,0,[],[]
INERT,True,QM5_10145,SP500.DWX,Q09,22a01da9-5f1f-4d68-951c-337f5086bf96,D:\QM\reports\work_items\22a01da9-5f1f-4d68-951c-337f5086bf96\QM5_10145\20260827_081640\raw\run_01\report.htm,315,0,0,[],[]
INERT,True,QM5_10145,XAUUSD.DWX,Q09,24475032-82b8-4fa1-a0fc-c541f29ed0e8,D:\QM\reports\work_items\24475032-82b8-4fa1-a0fc-c541f29ed0e8\QM5_10145\20260830_051142\raw\run_01\report.htm,317,0,0,[],[]
