cell,clock,outside_rule,buffer_pct,status,trades,net_gross,net_dxz,pf,maxdd,per_year_pf,winter_pf,summer_pf,reason
1,GMT3_FIXED,AS_IS,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
2,GMT3_FIXED,AS_IS,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
3,GMT3_FIXED,AS_IS,10,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
4,GMT3_FIXED,SKIP_DAY,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
5,GMT3_FIXED,SKIP_DAY,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
6,GMT3_FIXED,SKIP_DAY,10,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
7,GMT3_FIXED,MARKET_ENTRY_IN_BREAKOUT_DIRECTION,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
8,GMT3_FIXED,MARKET_ENTRY_IN_BREAKOUT_DIRECTION,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
9,GMT3_FIXED,MARKET_ENTRY_IN_BREAKOUT_DIRECTION,10,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
10,GMT3_FIXED,OPPOSITE_STOP_ONLY,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
11,GMT3_FIXED,OPPOSITE_STOP_ONLY,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
12,GMT3_FIXED,OPPOSITE_STOP_ONLY,10,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
13,BROKER_DST,AS_IS,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
14,BROKER_DST,AS_IS,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
15,BROKER_DST,AS_IS,10,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
16,BROKER_DST,SKIP_DAY,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
17,BROKER_DST,SKIP_DAY,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
18,BROKER_DST,SKIP_DAY,10,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
19,BROKER_DST,MARKET_ENTRY_IN_BREAKOUT_DIRECTION,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
20,BROKER_DST,MARKET_ENTRY_IN_BREAKOUT_DIRECTION,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
21,BROKER_DST,MARKET_ENTRY_IN_BREAKOUT_DIRECTION,10,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
22,BROKER_DST,OPPOSITE_STOP_ONLY,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
23,BROKER_DST,OPPOSITE_STOP_ONLY,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
24,BROKER_DST,OPPOSITE_STOP_ONLY,10,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
25,CET_LOCAL,AS_IS,0,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
26,CET_LOCAL,AS_IS,5,NOT_RUN_DEPENDENCY,,,,,,,,,magic precondition 2e7d5619; later WINSWEEP plan sequences comparison after window selection
