direction,season,broker_hour,utc_hour,deals
in,summer_US_DST,6,3,202
in,summer_US_DST,7,4,90
in,summer_US_DST,8,5,60
in,summer_US_DST,9,6,94
in,summer_US_DST,10,7,56
in,summer_US_DST,11,8,27
in,summer_US_DST,12,9,11
in,summer_US_DST,13,10,5
in,summer_US_DST,14,11,8
in,summer_US_DST,15,12,9
in,summer_US_DST,16,13,4
in,summer_US_DST,17,14,2
in,winter_US_standard,5,3,112
in,winter_US_standard,6,4,50
in,winter_US_standard,7,5,41
in,winter_US_standard,8,6,27
in,winter_US_standard,9,7,39
in,winter_US_standard,10,8,27
in,winter_US_standard,11,9,9
in,winter_US_standard,12,10,3
in,winter_US_standard,13,11,3
in,winter_US_standard,14,12,1
in,winter_US_standard,15,13,5
in,winter_US_standard,16,14,3
out,summer_US_DST,6,3,3
out,summer_US_DST,7,4,3
out,summer_US_DST,8,5,4
out,summer_US_DST,9,6,17
out,summer_US_DST,10,7,51
out,summer_US_DST,11,8,27
out,summer_US_DST,12,9,31
out,summer_US_DST,13,10,37
out,summer_US_DST,14,11,43
out,summer_US_DST,15,12,60
out,summer_US_DST,16,13,40
out,summer_US_DST,17,14,32
out,summer_US_DST,18,15,195
out,summer_US_DST,19,16,20
out,summer_US_DST,20,17,4
out,summer_US_DST,21,18,1
out,winter_US_standard,7,5,4
out,winter_US_standard,8,6,7
out,winter_US_standard,9,7,18
out,winter_US_standard,10,8,26
out,winter_US_standard,11,9,23
out,winter_US_standard,12,10,11
out,winter_US_standard,13,11,18
out,winter_US_standard,14,12,21
out,winter_US_standard,15,13,35
out,winter_US_standard,16,14,26
out,winter_US_standard,17,15,103
out,winter_US_standard,18,16,24
out,winter_US_standard,19,17,4
