time,deal,symbol,type,direction,volume,price,order,commission,swap,profit,balance,comment,broker_time,utc_time,season,broker_hour,utc_hour,strategy_hour,native_table_row,source
2018.07.11 19:00:00,13,USDJPY.DWX,sell,out,2.93,111.525,19,-7.33,0.00,998.34,101 474.72,qm_tm_close,2018-07-11T19:00:00,2018-07-11T16:00:00Z,summer_US_DST,19,16,19,14,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2018.07.25 19:00:00,31,USDJPY.DWX,buy,out,4.78,111.028,46,-11.95,0.00,520.93,101 352.06,qm_tm_close,2018-07-25T19:00:00,2018-07-25T16:00:00Z,summer_US_DST,19,16,19,32,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2018.08.15 19:00:00,61,USDJPY.DWX,buy,out,6.29,110.636,91,-15.73,0.00,3 502.15,99 587.09,qm_tm_close,2018-08-15T19:00:00,2018-08-15T16:00:00Z,summer_US_DST,19,16,19,62,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2018.08.22 19:00:00,69,USDJPY.DWX,sell,out,3.09,110.543,103,-7.73,0.00,444.45,101 510.92,qm_tm_close,2018-08-22T19:00:00,2018-08-22T16:00:00Z,summer_US_DST,19,16,19,70,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2018.09.06 19:00:00,83,USDJPY.DWX,buy,out,3.91,110.878,124,-9.78,0.00,997.97,97 848.69,qm_tm_close,2018-09-06T19:00:00,2018-09-06T16:00:00Z,summer_US_DST,19,16,19,84,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2018.10.01 19:00:00,105,USDJPY.DWX,sell,out,4.81,113.966,158,-12.03,0.00,16.88,96 052.97,qm_tm_close,2018-10-01T19:00:00,2018-10-01T16:00:00Z,summer_US_DST,19,16,19,106,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2018.11.14 18:00:00,159,USDJPY.DWX,sell,out,4.92,113.908,240,-12.30,0.00,-358.50,100 754.73,qm_tm_close,2018-11-14T18:00:00,2018-11-14T16:00:00Z,winter_US_standard,18,16,19,160,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2018.11.15 19:05:14,161,USDJPY.DWX,buy,out,5.62,113.500,243,-14.05,0.00,-227.77,100 498.86,sl 113.500,2018-11-15T19:05:14,2018-11-15T17:05:14Z,winter_US_standard,19,17,20,162,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2018.12.03 19:00:00,183,USDJPY.DWX,buy,out,4.9,113.553,276,-12.25,0.00,-38.84,102 684.20,qm_tm_close,2018-12-03T19:00:00,2018-12-03T17:00:00Z,winter_US_standard,19,17,20,184,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.01.04 18:00:00,217,USDJPY.DWX,sell,out,1.57,108.109,327,-3.93,0.00,-121.99,100 654.34,qm_tm_close,2019-01-04T18:00:00,2019-01-04T16:00:00Z,winter_US_standard,18,16,19,218,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.02.01 18:00:00,249,USDJPY.DWX,sell,out,4.49,109.361,377,-11.23,0.00,1 617.63,102 458.52,qm_tm_close,2019-02-01T18:00:00,2019-02-01T16:00:00Z,winter_US_standard,18,16,19,250,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.02.22 19:01:12,269,USDJPY.DWX,sell,out,7.9,110.626,408,-19.75,0.00,-1 021.19,99 442.62,sl 110.626,2019-02-22T19:01:12,2019-02-22T17:01:12Z,winter_US_standard,19,17,20,270,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.05.21 20:00:00,353,USDJPY.DWX,sell,out,6.47,110.653,537,-16.18,0.00,2 578.57,104 730.33,qm_tm_close,2019-05-21T20:00:00,2019-05-21T17:00:00Z,summer_US_DST,20,17,20,354,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.07.05 19:00:00,399,USDJPY.DWX,sell,out,13.64,108.551,608,-34.10,0.00,8 406.33,107 810.61,qm_tm_close,2019-07-05T19:00:00,2019-07-05T16:00:00Z,summer_US_DST,19,16,19,400,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.07.19 19:00:00,411,USDJPY.DWX,sell,out,4.05,107.777,626,-10.13,0.00,683.91,109 037.50,qm_tm_close,2019-07-19T19:00:00,2019-07-19T16:00:00Z,summer_US_DST,19,16,19,412,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.08.28 19:00:00,451,USDJPY.DWX,sell,out,4.43,105.869,686,-11.08,0.00,-83.69,102 711.15,qm_tm_close,2019-08-28T19:00:00,2019-08-28T16:00:00Z,summer_US_DST,19,16,19,452,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.09.18 19:00:01,477,USDJPY.DWX,sell,out,6.35,108.176,725,-15.88,0.00,-522.44,106 779.31,qm_tm_close,2019-09-18T19:00:01,2019-09-18T16:00:01Z,summer_US_DST,19,16,19,478,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.09.20 19:00:00,479,USDJPY.DWX,buy,out,5.74,107.956,728,-14.35,0.00,-313.70,106 436.91,qm_tm_close,2019-09-20T19:00:00,2019-09-20T16:00:00Z,summer_US_DST,19,16,19,480,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.09.25 19:00:00,485,USDJPY.DWX,sell,out,2.5,107.784,737,-6.25,0.00,830.36,105 179.05,qm_tm_close,2019-09-25T19:00:00,2019-09-25T16:00:00Z,summer_US_DST,19,16,19,486,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.10.09 19:00:00,505,USDJPY.DWX,sell,out,4.06,107.435,767,-10.15,0.00,869.18,99 850.90,qm_tm_close,2019-10-09T19:00:00,2019-10-09T16:00:00Z,summer_US_DST,19,16,19,506,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.11.06 18:00:00,539,USDJPY.DWX,buy,out,6.16,109.020,818,-15.40,0.00,-84.76,94 670.07,qm_tm_close,2019-11-06T18:00:00,2019-11-06T16:00:00Z,winter_US_standard,18,16,19,540,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.11.14 18:00:00,549,USDJPY.DWX,buy,out,6.76,108.579,833,-16.90,0.00,765.78,92 298.21,qm_tm_close,2019-11-14T18:00:00,2019-11-14T16:00:00Z,winter_US_standard,18,16,19,550,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.11.27 18:00:00,565,USDJPY.DWX,sell,out,12.83,109.388,857,-32.08,0.00,2 779.75,94 527.44,qm_tm_close,2019-11-27T18:00:00,2019-11-27T16:00:00Z,winter_US_standard,18,16,19,566,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
2019.12.02 18:00:00,569,USDJPY.DWX,buy,out,5.51,109.109,863,-13.78,0.00,2 115.95,96 845.30,qm_tm_close,2019-12-02T18:00:00,2019-12-02T16:00:00Z,winter_US_standard,18,16,19,570,D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\report.htm
