line,date,side,accepted,price,sl,range_high,range_low,bid,ask,outside_high,outside_low,invalid_price,broker_time,utc_time,season,broker_hour,utc_hour,strategy_hour,log,source
62470,2018-07-02,buy,True,111.061,110.704,111.061,110.704,111.016,111.020,False,False,False,2018-07-02T06:00:00,2018-07-02T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:11.071	Trade	2018.07.02 06:00:00   buy stop 3.1 USDJPY.DWX at 111.061 sl: 110.704 (111.016 / 111.020),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62471,2018-07-02,sell,True,110.704,111.061,111.061,110.704,111.016,111.020,False,False,False,2018-07-02T06:00:00,2018-07-02T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:11.071	Trade	2018.07.02 06:00:00   sell stop 3.11 USDJPY.DWX at 110.704 sl: 111.061 (111.016 / 111.020),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62481,2018-07-04,buy,True,110.449,110.278,110.449,110.278,110.411,110.416,False,False,False,2018-07-04T06:00:00,2018-07-04T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:11.418	Trade	2018.07.04 06:00:00   buy stop 6.44 USDJPY.DWX at 110.449 sl: 110.278 (110.411 / 110.416),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62482,2018-07-04,sell,True,110.278,110.449,110.449,110.278,110.411,110.416,False,False,False,2018-07-04T06:00:00,2018-07-04T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:11.418	Trade	2018.07.04 06:00:00   sell stop 6.45 USDJPY.DWX at 110.278 sl: 110.449 (110.411 / 110.416),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62492,2018-07-06,buy,True,110.756,110.526,110.756,110.526,110.683,110.686,False,False,False,2018-07-06T06:00:00,2018-07-06T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:11.704	Trade	2018.07.06 06:00:00   buy stop 4.8 USDJPY.DWX at 110.756 sl: 110.526 (110.683 / 110.686),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62493,2018-07-06,sell,True,110.526,110.756,110.756,110.526,110.683,110.686,False,False,False,2018-07-06T06:00:00,2018-07-06T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:11.705	Trade	2018.07.06 06:00:00   sell stop 4.81 USDJPY.DWX at 110.526 sl: 110.756 (110.683 / 110.686),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62503,2018-07-09,buy,True,110.529,110.350,110.529,110.350,110.453,110.457,False,False,False,2018-07-09T06:00:00,2018-07-09T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:11.845	Trade	2018.07.09 06:00:00   buy stop 6.16 USDJPY.DWX at 110.529 sl: 110.350 (110.453 / 110.457),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62504,2018-07-09,sell,True,110.350,110.529,110.529,110.350,110.453,110.457,False,False,False,2018-07-09T06:00:00,2018-07-09T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:11.845	Trade	2018.07.09 06:00:00   sell stop 6.17 USDJPY.DWX at 110.350 sl: 110.529 (110.453 / 110.457),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62516,2018-07-10,buy,True,111.052,110.922,111.052,110.922,111.028,111.032,False,False,False,2018-07-10T06:00:01,2018-07-10T03:00:01Z,summer_US_DST,6,3,6,CS	0	15:59:11.987	Trade	2018.07.10 06:00:01   buy stop 8.53 USDJPY.DWX at 111.052 sl: 110.922 (111.028 / 111.032),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62517,2018-07-10,sell,True,110.922,111.052,111.052,110.922,111.028,111.032,False,False,False,2018-07-10T06:00:01,2018-07-10T03:00:01Z,summer_US_DST,6,3,6,CS	0	15:59:11.988	Trade	2018.07.10 06:00:01   sell stop 8.54 USDJPY.DWX at 110.922 sl: 111.052 (111.028 / 111.032),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62529,2018-07-11,buy,True,111.143,110.765,111.143,110.765,111.076,111.081,False,False,False,2018-07-11T06:00:00,2018-07-11T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:12.144	Trade	2018.07.11 06:00:00   buy stop 2.93 USDJPY.DWX at 111.143 sl: 110.765 (111.076 / 111.081),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62530,2018-07-11,sell,True,110.765,111.143,111.143,110.765,111.076,111.081,False,False,False,2018-07-11T06:00:00,2018-07-11T03:00:00Z,summer_US_DST,6,3,6,CS	0	15:59:12.144	Trade	2018.07.11 06:00:00   sell stop 2.94 USDJPY.DWX at 110.765 sl: 111.143 (111.076 / 111.081),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
62541,2018-07-12,buy,True,112.340,111.963,112.340,111.963,112.258,112.261,False,False,False,2018-07-12T06:00:05,2018-07-12T03:00:05Z,summer_US_DST,6,3,6,CS	0	15:59:12.313	Trade	2018.07.12 06:00:05   buy stop 2.96 USDJPY.DWX at 112.340 sl: 111.963 (112.258 / 112.261),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
