date,accepted_buy,accepted_sell,failed_attempts,invalid_price,quote_observed,outside_at_placement,single_pending_side,confirmed_fade_only,trades,net_native,net_dxz_5rt,log_lines
2018-07-02,1,1,0,0,True,False,False,False,1,-122.28,-122.27,"62470,62471"
2018-07-04,1,1,0,0,True,False,False,False,1,527.06,527.06,"62481,62482"
2018-07-06,1,1,0,0,True,False,False,False,1,-1066.31,-1066.31,"62492,62493"
2018-07-09,1,1,0,0,True,False,False,False,1,1026.28,1026.28,"62503,62504"
2018-07-10,1,1,0,0,True,False,False,False,1,126.29,126.30,"62516,62517"
2018-07-11,1,1,0,0,True,False,False,False,1,983.68,983.69,"62529,62530"
2018-07-12,1,1,0,0,True,False,False,False,1,156.36,156.36,"62541,62542"
2018-07-13,1,1,0,0,True,False,False,False,1,-1039.06,-1039.06,"62552,62553"
2018-07-16,1,1,0,0,True,False,False,False,1,14.36,14.36,"62563,62564"
2018-07-17,1,1,0,0,True,False,False,False,1,-1024.74,-1024.73,"62574,62575"
2018-07-18,1,1,0,0,True,False,False,False,1,-1052.68,-1052.68,"62585,62586"
2018-07-19,1,1,0,0,True,False,False,False,1,559.53,559.53,"62596,62597"
2018-07-20,1,1,0,0,True,False,False,False,1,1248.86,1248.87,"62612,62613"
2018-07-23,1,1,0,0,True,False,False,False,1,517.68,517.68,"62626,62627"
2018-07-25,1,1,0,0,True,False,False,False,1,497.03,497.03,"62637,62638"
2018-07-26,1,1,0,0,True,False,False,False,1,-1031.45,-1031.45,"62648,62649"
2018-07-27,1,1,0,0,True,False,False,False,1,-1021.58,-1021.57,"62659,62660"
2018-07-30,1,1,0,0,True,False,False,False,1,-673.22,-673.21,"62670,62671"
2018-07-31,1,1,0,0,True,False,False,False,1,-1121.62,-1121.61,"62681,62682"
2018-08-01,1,1,0,0,True,False,False,False,1,-34.70,-34.70,"62692,62693"
2018-08-02,1,1,0,0,True,False,False,False,1,-1073.83,-1073.82,"62704,62705"
2018-08-03,1,1,0,0,True,False,False,False,1,-1089.50,-1089.50,"62715,62716"
2018-08-06,1,1,0,0,True,False,False,False,1,439.18,439.19,"62726,62727"
2018-08-07,1,1,0,0,True,False,False,False,1,-1049.70,-1049.69,"62737,62738"
2018-08-08,1,1,0,0,True,False,False,False,1,2202.13,2202.14,"62748,62749"
2018-08-09,1,1,0,0,True,False,False,False,1,893.30,893.30,"62764,62765"
2018-08-10,1,1,0,0,True,False,False,False,1,-1083.39,-1083.39,"62779,62780"
2018-08-13,1,1,0,0,True,False,False,False,1,-1006.77,-1006.77,"62790,62791"
2018-08-14,1,1,0,0,True,False,False,False,1,415.49,415.49,"62801,62802"
2018-08-15,1,1,0,0,True,False,False,False,1,3470.69,3470.70,"62815,62816"
2018-08-17,1,1,0,0,True,False,False,False,1,1050.91,1050.91,"62828,62829"
2018-08-20,1,1,0,0,True,False,False,False,1,-1044.44,-1044.43,"62843,62844"
2018-08-21,1,1,0,0,True,False,False,False,1,1488.37,1488.37,"62854,62855"
2018-08-22,1,1,0,0,True,False,False,False,1,428.99,429.00,"62867,62868"
2018-08-24,1,1,0,0,True,False,False,False,1,-1071.91,-1071.90,"62878,62879"
2018-08-29,1,1,0,0,True,False,False,False,1,-1046.31,-1046.31,"62889,62890"
2018-08-30,1,1,0,0,True,False,False,False,1,599.82,599.83,"62900,62901"
2018-08-31,1,1,0,0,True,False,False,False,1,-1061.76,-1061.75,"62911,62912"
2018-09-03,1,1,0,0,True,False,False,False,1,-1033.82,-1033.82,"62922,62923"
2018-09-05,1,1,0,0,True,False,False,False,1,-1026.66,-1026.66,"62933,62934"
2018-09-06,1,1,0,0,True,False,False,False,1,978.41,978.42,"62944,62945"
2018-09-07,1,1,0,0,True,False,False,False,1,1889.39,1889.40,"62955,62956"
2018-09-10,1,1,0,0,True,False,False,False,1,246.31,246.31,"62970,62971"
2018-09-12,1,1,0,0,True,False,False,False,1,1010.28,1010.29,"62981,62982"
2018-09-14,1,1,0,0,True,False,False,False,1,-1020.52,-1020.51,"62994,62995"
2018-09-17,1,1,0,0,True,False,False,False,1,-37.31,-37.30,"63005,63006"
