ea_id,symbol,evidence_class,news_reason,prospective_roster_selected,cost_eligible,spread_delta,fill_slippage,realized_ftmo_commission,reason,native_cost_receipt,native_cost_receipt_sha256,stream_path,stream_sha256,trades,first_entry,last_exit,active_trade_span_years,trades_per_active_span_year,mean_holding_hours,native_source_net,provisional_net_before_spread,old_projection_net,native_rollover_correction,target_lots_rt,expectancy_usd_per_trade,expectancy_usd_per_target_lot,closed_daily_drawdown_usd,return_to_closed_daily_drawdown,provisional_swap_usd,provisional_commission_usd,break_even_additional_usd_per_rt_lot,mt5_triple_day,python_triple_weekday
QM5_10700,XAUUSD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_SCOPE_NOT_FTMO,False,False,,,,NO_EXPOSED_COST_STREAM_IN_FROZEN_INTAKE,,,,,,,,,,,,,,,,,,,,,,,,
QM5_10706,GBPUSD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_EVIDENCE_MISSING,False,False,,"{'observations': [{'deal': 514944708, 'fill_price': 1.35446, 'order': 537282503, 'requested_price': None, 'status': 'MISSING_REQUEST_PRICE_MARKET_EXECUTION'}, {'adverse_price_delta': 1e-05, 'deal': 515968269, 'fill_price': 1.35471, 'fill_time_msc': 1788969240780, 'order': 538352378, 'request_time_msc': 1788969240616, 'requested_price': 1.35472, 'status': 'REQUEST_PRICE_VS_FILL_ONLY_NO_EXECUTABLE_QUOTE'}], 'reason': 'No request-time executable quote is captured; request-price/fill deltas are evidence but not a complete slippage estimator.', 'status': 'INCOMPLETE_NO_EXECUTABLE_QUOTE', 'value_for_cost_model': None}","{'deal_commission_plus_fee': -5.86, 'entry_lots': 1.17, 'round_trip_usd_per_entry_lot': 5.00854701, 'status': 'OBSERVED_NATIVE_DEALS'}",CURRENT_IDENTITY_NATIVE_UNITS_AND_MATCHED_COSTS_INCOMPLETE,C:\QM\repo\docs\ops\evidence\2026-09-12_ftmo_native_cost_receipts\GBPUSD_native_cost_receipt.json,9ec3ae430405d05988d4c2879072d7430917e30be0a4ca09b837f81472ef6db9,D:\QM\reports\portfolio\sleeve_streams\QM\q08_trades\10706_GBPUSD_DWX.jsonl,71fb35b8f8539356f511609a4d1dfb06571f85b19b60de6647e907ec891e34f7,360,2017-10-10T16:00:00+00:00,2025-12-30T12:35:03+00:00,8.221376245341851,43.78828912056815,13.945641203703703,69101.93000000001,65196.75134592722,65196.75,0.0013459272231557406,1625.7685609409343,181.10208707202005,40.10211103368475,22185.11091084028,2.93876156887141,-6317.505849368124,-8128.8428047046655,40.10211103368475,3,2
QM5_11421,EURUSD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_EVIDENCE_MISSING,False,False,,"{'observations': [{'adverse_price_delta': 9e-05, 'deal': 516959813, 'fill_price': 1.15975, 'fill_time_msc': 1789054497105, 'order': 538819928, 'request_time_msc': 1788998948874, 'requested_price': 1.15984, 'status': 'REQUEST_PRICE_VS_FILL_ONLY_NO_EXECUTABLE_QUOTE'}, {'deal': 518245566, 'fill_price': 1.16002, 'order': 540748547, 'requested_price': None, 'status': 'MISSING_REQUEST_PRICE_MARKET_EXECUTION'}], 'reason': 'No request-time executable quote is captured; request-price/fill deltas are evidence but not a complete slippage estimator.', 'status': 'INCOMPLETE_NO_EXECUTABLE_QUOTE', 'value_for_cost_model': None}","{'deal_commission_plus_fee': -1.96, 'entry_lots': 0.39, 'round_trip_usd_per_entry_lot': 5.02564103, 'status': 'OBSERVED_NATIVE_DEALS'}",CURRENT_IDENTITY_NATIVE_UNITS_AND_MATCHED_COSTS_INCOMPLETE,C:\QM\repo\docs\ops\evidence\2026-09-12_ftmo_native_cost_receipts\EURUSD_native_cost_receipt.json,60d031733e9ad523ba076fc82960b2ae6a2a60e4a45eee78216c7ee22459a587,D:\QM\reports\portfolio\sleeve_streams\QM\q08_trades\11421_EURUSD_DWX.jsonl,e9d0a9ef831f156f0f67e5bf1140d7e57702c3923a4ff47b5548847957d7c0c1,91,2018-05-10T15:39:36+00:00,2025-12-11T13:04:35+00:00,7.589027651025427,11.990995972679597,30.81457264957265,4162.830000000001,3605.9125604652745,3605.91,0.0025604652746551437,113.63893522287863,39.625412752365655,31.731312453720577,5962.887591872028,0.6047258991399519,-1408.3927634203317,-568.1946761143926,31.731312453720577,3,2
QM5_11422,USDCAD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_SCOPE_NOT_FTMO,False,False,,"{'observations': [], 'reason': 'No native fill exists for this symbol in the collector window.', 'status': 'MISSING_NO_FILL', 'value_for_cost_model': None}","{'deal_commission_plus_fee': None, 'entry_lots': 0, 'round_trip_usd_per_entry_lot': None, 'status': 'MISSING_NO_FILL'}",CURRENT_IDENTITY_NATIVE_UNITS_AND_MATCHED_COSTS_INCOMPLETE,C:\QM\repo\docs\ops\evidence\2026-09-12_ftmo_native_cost_receipts\USDCAD_native_cost_receipt.json,055df14a6fc6969072563fa36729b62057b155ac9ecf8dff7e099c668844a5c1,D:\QM\reports\portfolio\sleeve_streams\QM\q08_trades\11422_USDCAD_DWX.jsonl,7ce6cc3ec2f1279c18e8601119e3319375d5d3fa1ce4cf95cf33e05eefc33198,195,2018-02-27T17:43:19+00:00,2025-12-26T21:00:00+00:00,7.827889351534971,24.91092952939638,48.832514245014245,18310.479999999992,15074.149682619938,15074.15,-0.0003173800614604261,258.3871549339492,77.30333170574328,58.339392631469245,13627.095429946552,1.1061894855079224,-3713.8945427103185,-1291.9357746697451,58.339392631469245,3,2
QM5_11881,GBPUSD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_SCOPE_NOT_FTMO,False,False,,"{'observations': [{'deal': 514944708, 'fill_price': 1.35446, 'order': 537282503, 'requested_price': None, 'status': 'MISSING_REQUEST_PRICE_MARKET_EXECUTION'}, {'adverse_price_delta': 1e-05, 'deal': 515968269, 'fill_price': 1.35471, 'fill_time_msc': 1788969240780, 'order': 538352378, 'request_time_msc': 1788969240616, 'requested_price': 1.35472, 'status': 'REQUEST_PRICE_VS_FILL_ONLY_NO_EXECUTABLE_QUOTE'}], 'reason': 'No request-time executable quote is captured; request-price/fill deltas are evidence but not a complete slippage estimator.', 'status': 'INCOMPLETE_NO_EXECUTABLE_QUOTE', 'value_for_cost_model': None}","{'deal_commission_plus_fee': -5.86, 'entry_lots': 1.17, 'round_trip_usd_per_entry_lot': 5.00854701, 'status': 'OBSERVED_NATIVE_DEALS'}",NO_EXPOSED_COST_STREAM_IN_FROZEN_INTAKE,C:\QM\repo\docs\ops\evidence\2026-09-12_ftmo_native_cost_receipts\GBPUSD_native_cost_receipt.json,9ec3ae430405d05988d4c2879072d7430917e30be0a4ca09b837f81472ef6db9,,,,,,,,,,,,,,,,,,,,,,
QM5_12849,XTIUSD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_SCOPE_NOT_FTMO,False,False,,"{'observations': [], 'reason': 'No native fill exists for this symbol in the collector window.', 'status': 'MISSING_NO_FILL', 'value_for_cost_model': None}","{'deal_commission_plus_fee': None, 'entry_lots': 0, 'round_trip_usd_per_entry_lot': None, 'status': 'MISSING_NO_FILL'}",NO_EXPOSED_COST_STREAM_IN_FROZEN_INTAKE,C:\QM\repo\docs\ops\evidence\2026-09-12_ftmo_native_cost_receipts\USOIL_cash_native_cost_receipt.json,b5d42013221747871d11a6fe44cdb97afb7490172d565d661b669667f2a48c09,,,,,,,,,,,,,,,,,,,,,,
QM5_12855,XTIUSD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_SCOPE_NOT_FTMO,False,False,,"{'observations': [], 'reason': 'No native fill exists for this symbol in the collector window.', 'status': 'MISSING_NO_FILL', 'value_for_cost_model': None}","{'deal_commission_plus_fee': None, 'entry_lots': 0, 'round_trip_usd_per_entry_lot': None, 'status': 'MISSING_NO_FILL'}",NO_EXPOSED_COST_STREAM_IN_FROZEN_INTAKE,C:\QM\repo\docs\ops\evidence\2026-09-12_ftmo_native_cost_receipts\USOIL_cash_native_cost_receipt.json,b5d42013221747871d11a6fe44cdb97afb7490172d565d661b669667f2a48c09,,,,,,,,,,,,,,,,,,,,,,
QM5_13054,XTIUSD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_SCOPE_NOT_FTMO,False,False,,"{'observations': [], 'reason': 'No native fill exists for this symbol in the collector window.', 'status': 'MISSING_NO_FILL', 'value_for_cost_model': None}","{'deal_commission_plus_fee': None, 'entry_lots': 0, 'round_trip_usd_per_entry_lot': None, 'status': 'MISSING_NO_FILL'}",CURRENT_IDENTITY_NATIVE_UNITS_AND_MATCHED_COSTS_INCOMPLETE,C:\QM\repo\docs\ops\evidence\2026-09-12_ftmo_native_cost_receipts\USOIL_cash_native_cost_receipt.json,b5d42013221747871d11a6fe44cdb97afb7490172d565d661b669667f2a48c09,D:\QM\reports\portfolio\sleeve_streams\QM\q08_trades\13054_XTIUSD_DWX.jsonl,67d4fe2cef067e041f01d10e5e6c98312a32b43683eee2da3d0bfa9af296955b,82,2018-02-27T01:00:00+00:00,2025-12-30T23:59:42+00:00,7.841090006844627,10.457729719773749,67.79395663956639,4831.279999999997,4475.447801876675,4250.82,224.62780187667522,161.7182780746634,54.578631730203355,27.674347359860054,2159.2423870599077,2.072693565436433,-356.7521981233233,-0.0,27.674347359860054,5,4
QM5_13213,USDJPY.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_EVIDENCE_MISSING,False,False,,,,NO_EXPOSED_COST_STREAM_IN_FROZEN_INTAKE,,,,,,,,,,,,,,,,,,,,,,,,
QM5_1537,XAGUSD.DWX,EXPOSED_HISTORICAL_EXPLORATORY_NOT_CURRENT_BINARY,FTMO_Q09_SCOPE_NOT_FTMO,False,False,,,,NEGATIVE_BEFORE_SPREAD,,,D:\QM\reports\portfolio\sleeve_streams\QM\q08_trades\1537_XAGUSD_DWX.jsonl,1885c21e4c895827c79ff3d55849308ab4ee5c0db96a7d576cd652dc3eff8658,96,2018-11-02T01:00:15+00:00,2024-12-06T21:00:00+00:00,6.09673691915735,15.746128014536088,56.24748842592592,3647.6099999999997,-1876.786527816,-1876.79,0.0034721839999747317,16.510229846580355,-19.54985966475,-113.67416112651668,4829.797954128154,-0.3885848943664117,-5477.403198910181,-47.1333289058186,-113.67416112651668,3,2
