cell_key,work_item_id,start,length,exit,year,status,verdict,error,window_admissible
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s0_l2_x18,07aa1b04-392d-5dd0-8134-cfa83b02a237,0,2,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s0_l2_x18,bcce699e-c9f7-5c34-b17f-c916d34c9375,0,2,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s0_l2_x18,0f9b6d03-487d-5663-8e29-77192e66bf43,0,2,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s0_l2_x18,8f9a465b-ff54-591c-8cc9-9484d8c31652,0,2,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s0_l2_x18,8681066a-ec06-5163-9b1a-ea55c7a9dda6,0,2,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s0_l2_x18,0478876e-95b4-5eb6-96ff-eddf31fd2035,0,2,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s0_l2_x18,8350e0bf-4c92-5a48-bbe6-45d6e12aa3ee,0,2,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s0_l3_x18,db46b203-c5cb-5c7b-9a3e-61115a2012fa,0,3,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s0_l3_x18,14f86b5e-8f8b-5f3f-b2c8-00bb598e2c0d,0,3,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s0_l3_x18,f19e3f3f-ee16-5983-971c-ddab1b3a9247,0,3,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s0_l3_x18,bbf25e7b-51e0-5102-af9d-861c233a2315,0,3,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s0_l3_x18,42d1576c-0256-5d92-848c-1f3608c9e3ba,0,3,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s0_l3_x18,af85231b-8ad1-5b1d-914a-660cc06b1e21,0,3,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s0_l3_x18,9c6de9c6-8d26-5f8c-b045-543749a19c89,0,3,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s0_l4_x18,d469ea12-a7ac-5fe8-931f-3ee4b30d7043,0,4,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s0_l4_x18,13be5bd0-0f12-511b-9ae1-0df403032546,0,4,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s0_l4_x18,a13095b5-1aef-5315-98a6-2eb3a4636e84,0,4,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s0_l4_x18,f42342a5-d4fe-591f-974e-af1b6b1befa8,0,4,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s0_l4_x18,f6321d8d-31c6-5422-b303-ae3549fe1dff,0,4,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s0_l4_x18,5c637808-330b-593a-a57f-d361d5a2b71b,0,4,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s0_l4_x18,bf9ce887-eb49-57a5-a2c9-03046570adc7,0,4,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s0_l5_x18,6f59dc43-66b3-5d5c-8a93-c7f17fc5684a,0,5,18,2019,NOT_ENQUEUED,,,UNDETERMINED
