mode,cell_key,year,start,length,net_cheap,pf_cheap,trades_cheap,maxdd_cheap,tester_seconds_cheap,net_real,pf_real,trades_real,maxdd_real,score_real,score_cheap,run_dir,receipt_status
ohlc-m1,s0_l8,2021,0,8,18817.0,1.63,78.0,6020.4,41.2,18529.72,,79,6827.21,2.357049219227181,3.125539831240449,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_124428_7fea7a09,COMPLETED
ohlc-m1,s1_l4,2021,1,4,40375.41,1.45,220.0,7469.35,43.734,38939.09,,218,8349.68,3.843691015703595,5.405478388347045,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_124606_6ea3842c,COMPLETED
ohlc-m1,s2_l4,2021,2,4,8879.1,1.1,193.0,9944.59,42.957,6870.11,,193,11611.19,0.06222101266106246,0.8928573224235489,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_124744_919815d8,COMPLETED
ohlc-m1,s3_l4,2021,3,4,13373.71,1.17,173.0,10004.2,40.429,12076.27,,174,10803.07,0.5833499181251255,1.3368095399932027,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_124922_377365d7,COMPLETED
ohlc-m1,s3_l3,2021,3,3,4963.35,1.05,208.0,14269.75,39.426,2941.71,,208,16492.48,-0.24524753099594482,0.3478231924175266,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_125109_5f293af1,COMPLETED
ohlc-m1,s1_l8,2021,1,8,10968.34,1.45,54.0,5427.47,47.889,10680.66,,54,6123.43,1.461821234177577,2.0208937129085927,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_125307_11fcc45e,COMPLETED
ohlc-m1,s5_l3,2021,5,3,4477.3,1.04,227.0,14816.29,40.979,2448.26,,226,17570.89,-0.4927974621661167,0.30218765966378897,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_125435_af6fbf8e,COMPLETED
ohlc-m1,s2_l6,2021,2,6,13821.35,1.3,103.0,6785.5,45.052,12677.74,,103,7856.43,1.1897566706506641,2.036894849311031,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_125614_be01ef9b,COMPLETED
ohlc-m1,s0_l4,2021,0,4,35265.87,1.35,217.0,10721.47,40.946,39984.24,,217,10795.49,2.9782937133932776,3.2892756310468623,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_125743_a144bc88,COMPLETED
ohlc-m1,s4_l6,2021,4,6,22011.4,1.46,114.0,7179.05,42.678,17449.66,,114,11727.06,1.1326760500926916,3.0660602725987425,D:\QM\reports\research\T11_PRESCREEN_PILOT_ORCH\20260911_125910_9e3d51c1,COMPLETED
