symbol,splice_timestamp_utc,point_size,price_scale,tick_rows,tick_sha256,m1_rows,m1_sha256,reconciliation_rows,reconciliation_sha256,first_tick_utc,last_tick_utc,sidecar_sha256
AUDCHF.DWX,2026-04-24T20:53:00.334Z,1e-05,100000,4207672,c8b03eb121698225a943a2f1e58215a19d58352dee691e3c7557fdc4cdd9bcae,142960,82662ef95247cbceb0a57b003990726f02c77aac8690bfae652309c8152057bb,352620,dd1df0019461ae532917048de979aa56bb6bccfe58da754687a864fe5feda970,2026-04-24T20:53:00.352Z,2026-09-11T20:59:56.609Z,c1f3e1351bdae89d293b18e0637110e609a5822704fb796a5ab4b7617b662eb4
AUDJPY.DWX,2026-04-24T20:54:53.250Z,0.001,1000,11127767,9891c9a76803a5a76d3ddb6f18e582605d325cd520e789dd62c791941c36f6e8,143400,d25510bf2dd2683f9f55217004b60747c015d9b3527b5bc97e08ec58a96dde2b,353148,08fa4734d296f58ccffc68897027cbc94f5c7d7806b6009ef18808d1cc853700,2026-04-24T20:54:54.018Z,2026-09-11T20:59:51.789Z,c488fc94426b09bb1063602611aa32a3c6228859e4c546c07d4ba5e13465fdad
AUDNZD.DWX,2026-04-24T20:54:09.057Z,1e-05,100000,10207573,36c99b603f94ffb86de518162f30c13f23ccbfd53c2cd11ee17bc3649893d325,143327,154decf2c4efb6548084fce6781d192d59ca89692ff0579c1a9ca1b2ecf35637,352679,11fb39502b6e13ea1f48f4643ada60604c490191389f335f2c6506c2cfb6cce6,2026-04-24T20:54:09.346Z,2026-09-11T20:59:58.062Z,fa6bfd05f286d90b9473dc962ca33833e93a8a054e3a204364a35011f4b78a84
AUDUSD.DWX,2026-04-05T23:59:57.867Z,1e-05,100000,7677889,6db30bb77b250c0bdcdac272d9884eaad9dab1985ff847e7b25afe587bdab7c5,164388,7d2dcc6aae92f06586bc8fa8994f515337e2ff7e31b0f63d36389551dc3c6949,352501,d6c2f31cac0c857da3cab0277a98c4c3a09fb0cecf72c5e1e3eb83944e31a232,2026-04-06T00:00:01.271Z,2026-09-11T20:59:59.029Z,87228db73e3e3d400bcb20316eb950d786032a748f29636bf6e623215a43dec8
CADCHF.DWX,2026-04-05T23:59:56.767Z,1e-05,100000,3367253,260b60cc5c166b6f358e96f512a04ab49a918a4779d6fe55697cbafaa26280c6,162994,dd9464fb64fe21d56880c3d54f1b89691f67e35c95c70c26624d25d371ea7128,350660,16a8cab62795b6bfeb5b3ef3174724974eecafb5bd66808537fc23c04d922298,2026-04-06T00:00:00.180Z,2026-09-11T20:59:56.624Z,f21aa33af0c797539f2bbf698aeb9b83347abe08a43665c65c9f2539df6cb02f
CADJPY.DWX,2026-04-24T20:54:57.052Z,0.001,1000,9111040,85af8c77961d7db90859a0c8bf7f149fd46c62fac4c87bd2e12e8ac3b3644a7a,143460,bb4c3a275361a95b0c120d94ae7784b87f66083157a652167eec52f8cf3127a2,353007,cb04dd1bdacb93163ee8ec7107373da768d5cc17d25f3fcb4fb3ebd231057a1c,2026-04-24T20:54:57.745Z,2026-09-11T20:59:55.388Z,d6f95dde1101ab40fca2f320ba15e86f01293213852785326f5f8532cf5d4ea6
CHFJPY.DWX,2026-04-24T20:53:00.734Z,0.001,1000,13303230,fed683b78ad052f015651bb66c40b54a29858bdd39eb871c57d58744d7f7878e,142467,6ce85cdbc8ffb893e7949325c92c9b9f6ae4450ab92443e59f1b90c35cda85e9,351411,d9c2b5d77f25a3392deab638b6e39890a9a55eb9b2e90358ec0d1fdf93ce5577,2026-04-24T20:53:00.795Z,2026-09-11T20:59:44.624Z,1ff3d61979b14f4423dfb5379c561018bbed438a0b9a4cb5579d8aff95911155
EURAUD.DWX,2026-04-24T20:54:59.954Z,1e-05,100000,15484688,ffc4e653af4c032fd9ce39dd5d33b3003912388912ec7bbf47d9ce92951b9ea8,143568,599157ef636778aa4dd725c95abdd6d7de333c593aa9b308b6dd701fd79fa061,353398,521201e8ca51051d9ddcf624b0e625fdc9d9e64ae34b30872edab9e6744fef18,2026-04-24T20:55:00.155Z,2026-09-11T20:59:45.589Z,b0d6882ba5a4a651999075fddc9e2b9e8cfa7ca863448c07ff3375c03e3009ad
EURCAD.DWX,2026-04-24T20:53:52.952Z,1e-05,100000,11307852,dbbf783f17e387da6f5c4f953bb63928f2cb1cfc84bf8ad794754a3b0118df2d,143139,b3c2a8d2435a11d11f53b8a79416cb8197ed6e54c4f3d2c711599b46140c8735,352271,1df4e3565b941d9d8f8770d525f27e944cd1e38d41fbec07f2e491181d5629b8,2026-04-24T20:53:53.624Z,2026-09-11T20:59:30.538Z,a35fe31e67201145974140a86159631133484a09e4f5a616eb49384c8f7e6af6
EURCHF.DWX,2026-04-24T20:53:05.635Z,1e-05,100000,6017205,5839d97193be62e5af7c31dfde52c68fdb5b92c8356f604e69a9178861fdd424,143036,cf867ed5c8d03cf4362ce2667424e2fc99ff44387ebb23a40c480c83846a390c,352285,901803145005cd3b4868b5e2f34f4e5afb43d52143872a72cac5d81b4c0c1313,2026-04-24T20:53:05.667Z,2026-09-11T20:59:59.086Z,41932db6b66dab94819649d148db84dbda86fcb4102ff0ab4d09c248e7ea88a2
EURGBP.DWX,2026-04-05T23:59:51.467Z,1e-05,100000,6267171,1b9109327ff7cbdccae707df941a0e686cdf2f43b62a8520a219a2d389d496c5,164292,8f66096bb0f57e91ffb9a7d6aefd07678549a95906263f2c32dce550978ed134,352227,0eb428d6fef6058f1e07fdd14d1e020fada780a29cea6367e57b4c235eb8c541,2026-04-05T23:59:54.857Z,2026-09-11T20:59:59.182Z,14a60f61d160400440cf2c85c794c6cc1aadec72577aa4ff560cfecd4bab6e3f
EURJPY.DWX,2026-04-24T20:53:32.047Z,0.001,1000,16154570,01e924e19f45da50b68dd0748df6af75e07bc8b560b67cc2837d7cf1baad47e2,143533,ac3ef18ae7cf779f27f63b3a718968d335c2d0c24d5ef45d8a023315216450b2,353375,50128a9cc8d394a9f9f874d7217f5dfe673eb3dc280b99339d17ea9b20f8e20b,2026-04-24T20:53:32.107Z,2026-09-11T20:59:59.015Z,34826020d622e2cd6026143c45a6108af50121f780121a555a56f98493e7665e
EURNZD.DWX,2026-04-24T20:53:41.948Z,1e-05,100000,12215834,b0ca6caae88552c340f52998ebdafddfea2bfb7686d92c1c2bef7e8a7b94cc59,142430,89b5ad6875329dc465863fd4f11888a82a142bf2e0bd761dfbfd0d35d9ce97b8,351080,1e6812df71c2bb3b8eb5ccf8a5f45facb7e014f2aee3552384882612debf3433,2026-04-24T20:53:41.988Z,2026-09-11T20:59:47.413Z,d06bfe08eb0dcfc4854e64d3152b6a9c1f15483a394985eafb1cf9c890674f94
EURUSD.DWX,2026-04-05T23:59:59.967Z,1e-05,100000,7487861,6689b10d7c36e3c6b6d34fe21494e9b48f7b1738000dca69dddfc5ea209c04aa,164584,a20de04788c12881d5920367157bc8af2e79596b5bda07fc368e98cfe09afcd5,352776,591d6ac1e2672b3d1e1725e1edefbe35c22875e1f4c5a12e8a57f53b82a3d9a3,2026-04-06T00:00:00.334Z,2026-09-11T20:59:59.107Z,776630508c9813c6b13541728378d4a7cbb0b7885f001b42c68d7cfca8e0015e
GBPAUD.DWX,2026-04-24T20:53:58.754Z,1e-05,100000,15055521,84417141d3d4c6a86d4b1ccc0dacb24f2b61191c40622ffc8bf1e39afe7a497e,143129,088c7d183bc409e07f1b65a347f7816e2efad4dc1c9df5aa99df8bb95b6a240b,352031,084f9ce0e3c8777bb050b0b584811de43984a01aaf5cc8625605f2cc81d08735,2026-04-24T20:53:58.829Z,2026-09-11T20:59:56.409Z,d82612786b914ac389932a92c8bb3227064c335423f857fa7f66e36939ecbc7e
GBPCAD.DWX,2026-04-24T20:53:52.752Z,1e-05,100000,13726209,e295e748f6545aabb4660f199b043516234435e273f17d999163ccb64082a582,142834,5c07eedaeb357839626feac679811094562810e58c8adc63e55f065dcfc8e014,351772,f5dbd5f1d9fae9fdaa7d8356862694e14a5eb9a5ce8d48bc17563e8cffee1edf,2026-04-24T20:53:53.670Z,2026-09-11T20:59:58.201Z,657822d857b69705e0a0ec6db854b923a747c5208028910cfaf3a29d696c1101
GBPCHF.DWX,2026-04-24T20:51:48.001Z,1e-05,100000,12166430,876247a3971c39461fa9a5eb1566bf62af5b89155ea6e4442121f9ec31de8113,143389,7f3af2e62c3ff8fd224ec84c63053f6a02259bdd58127ffee645f45f91435723,352940,9c6183282160658d925004f5abf2fb663e49e550a860200e58d6afded829f07e,2026-04-24T20:51:48.047Z,2026-09-11T20:59:59.056Z,7fc6e21e83e42e2400bc09e17f7162c629062a849735f6ca128235246b3c6675
GBPJPY.DWX,2026-04-24T20:53:29.146Z,0.001,1000,16014034,268e717190e6ff733e3a01282d96390b0dad356edcb95d0ef33d306d57c2c2c3,143345,0ba8abd76bc1608c3efafde583e3dab90b64162f4752bb5ef78fbe7258657263,353033,80871df6fd1922c0618ced1eef2b4852009e235ac7d4ecb1bd74b110a36095db,2026-04-24T20:53:29.854Z,2026-09-11T20:59:56.010Z,271fff437439fcf85967e3f6f151b2d556f0eab79f11e9d04bb17d3e42cef5b6
GBPNZD.DWX,2026-04-24T20:53:59.154Z,1e-05,100000,10151064,e8f59ff27153d6cdd949fd0642d61c4cba242e8e141f3c1e96486f7af82ecd41,142201,90a82d842a78ea3d26bff8c9b46faf08e1ee083a8d90efb2db473d6a609f09cc,350807,f32930b7b756fc32d5118a4ed49a7ebbb1af19cc336ace747cddda80a854b803,2026-04-24T20:53:59.259Z,2026-09-11T20:59:41.283Z,ef0484b7ac0a74885f59e104fb5f88f5fabfe337091d4388e7a229d26ae23819
GBPUSD.DWX,2026-04-24T20:53:40.848Z,1e-05,100000,8940184,ec0f66e3012f2ab34f9cf7483bcd0a97d3f028523eb7fe41a9af295f9eb9fab0,143237,423e1c219f1baeb88e29e523fad91a87d92a292a43a3ada28c7b0c8e541d79e5,352428,8648997fc25d1ec4591890e785f55cab34b6260a78dd627f77ffd18f51ef6648,2026-04-24T20:53:40.922Z,2026-09-11T20:59:59.071Z,0871d50f4bfe5441708fa379a113d349d7732b351b5a55811643a8e29a09d5c0
GDAXI.DWX,2026-04-24T19:50:09.035Z,0.1,10,10815473,e3bf39ed8f9353f5392b6b2a6264489fa8a1ea0dad55ca5222f7fc1cc5b48ce0,132304,ae99ff88b91e033ddaec1d83ffaab1c3d7181508445d0614224e49717d1e8236,322496,16c7e13e95cc947b9c1582962b6419bbe0907785beb21a7fec2dade876bf7ff5,2026-04-24T19:50:09.167Z,2026-09-11T19:59:59.351Z,1a09135ae4b1faf3a5140c98b640f656abd4201d4bcda180cfc1ec817121a3e0
