symbol,matched_bars,close_pearson_rho
AUDJPY.DWX,65838,0.999993303049
AUDNZD.DWX,65134,0.999845248271
AUDUSD.DWX,63911,0.999997347949
CADCHF.DWX,65697,0.999621511039
CADJPY.DWX,66992,0.999997069920
CHFJPY.DWX,65638,0.999980363107
EURAUD.DWX,68461,0.999975523885
EURCAD.DWX,66907,0.999956953530
EURCHF.DWX,68046,0.999948766258
EURGBP.DWX,65570,0.999948001671
EURNZD.DWX,67920,0.999961319044
GBPAUD.DWX,68073,0.999943145773
GBPCHF.DWX,68387,0.999732862979
GBPJPY.DWX,68315,0.999994760437
NZDCAD.DWX,65093,0.999751608520
NZDCHF.DWX,65506,0.999816213931
NZDJPY.DWX,65627,0.999983374990
NZDUSD.DWX,65296,0.999993974785
UK100.DWX,79153,0.999792492525
USDCAD.DWX,68126,0.999996897663
USDCHF.DWX,64188,0.999954754209
XTIUSD.DWX,82357,0.997930452273
XAGUSD.DWX,84890,0.999992814120
XAUUSD.DWX,85777,0.999999482576
