symbol,copyrates_result,export_last_bar_utc,hcc_2025_bytes,hcc_2026_bytes,last_archived_tick_utc,diagnosis,next_read_only_source,quiet_window_disposition
AUDCAD.DWX,OK,2025-12-31T21:59:00Z,20684433,30642,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
AUDCHF.DWX,ERR_HISTORY_NOT_FOUND,,20853351,7012086,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
AUDJPY.DWX,OK,2025-12-31T21:58:00Z,20686662,30642,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
AUDNZD.DWX,OK,2025-12-31T21:58:00Z,20636082,29508,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
AUDUSD.DWX,OK,2025-12-31T21:59:00Z,20560764,35934,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
CADCHF.DWX,OK,2025-12-31T21:58:00Z,20701371,30075,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
CADJPY.DWX,OK,2025-12-31T21:59:00Z,20779962,29886,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
CHFJPY.DWX,OK,2025-12-31T21:59:00Z,25802922,29319,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
EURAUD.DWX,OK,2025-12-31T21:58:00Z,20863671,30831,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
EURCAD.DWX,OK,2025-12-31T21:59:00Z,20779062,28752,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
EURCHF.DWX,OK,2025-12-31T21:59:00Z,20833842,29508,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
