symbol,source_class,reconciliation_csv,reconciliation_csv_sha256,sidecar,sidecar_sha256,production_import,reconciliation_import_authorized,price_scale,point_size
AUDCAD.DWX,FRESH_TASK_REDO,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\AUDCAD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,3b4ff75110dd85bc0c06a15a6cdc69c07b31bc00acbdfa0e606e7bb10fc6e3d0,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\AUDCAD.DWX.dukascopy-source.json,2a51d247e3406e88e6b495cb0cfbc63e5621fdab5bba132c23829aa8cb53af9c,False,False,100000,1e-05
AUDJPY.DWX,FRESH_TASK_REDO,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\AUDJPY_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,08fa4734d296f58ccffc68897027cbc94f5c7d7806b6009ef18808d1cc853700,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\AUDJPY.DWX.dukascopy-source.json,497e6ac6989d078b1f89c335d5e502627a018ebcf94cf3857859160c28f747ab,False,False,1000,0.001
AUDNZD.DWX,FRESH_TASK_REDO,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\AUDNZD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,11fb39502b6e13ea1f48f4643ada60604c490191389f335f2c6506c2cfb6cce6,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\AUDNZD.DWX.dukascopy-source.json,ecd1bb7b5bf689318467ed3f3faeb3daf34a3bc4ef6e31562902f20ce8866822,False,False,100000,1e-05
AUDUSD.DWX,FRESH_TASK_REDO,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\AUDUSD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,d6c2f31cac0c857da3cab0277a98c4c3a09fb0cecf72c5e1e3eb83944e31a232,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\AUDUSD.DWX.dukascopy-source.json,7060160cb3760fa6f5c482c74a8be8c4f7f3c288ee2e3d1a9f8fbcacdb75bd71,False,False,100000,1e-05
CADCHF.DWX,FRESH_TASK_REDO,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\CADCHF_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,16a8cab62795b6bfeb5b3ef3174724974eecafb5bd66808537fc23c04d922298,D:\QM\reports\dukascopy\conversion\20260912_1300_taskb5f660f9\CADCHF.DWX.dukascopy-source.json,97cf845566a0845f902218e3243969ad3c08de97a8ffbec0a06dd954ef200150,False,False,100000,1e-05
CADJPY.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\CADJPY.DWX\CADJPY_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,cb04dd1bdacb93163ee8ec7107373da768d5cc17d25f3fcb4fb3ebd231057a1c,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\CADJPY.DWX\CADJPY.DWX.dukascopy-source.json,d6f95dde1101ab40fca2f320ba15e86f01293213852785326f5f8532cf5d4ea6,False,False,1000,0.001
CHFJPY.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\CHFJPY.DWX\CHFJPY_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,d9c2b5d77f25a3392deab638b6e39890a9a55eb9b2e90358ec0d1fdf93ce5577,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\CHFJPY.DWX\CHFJPY.DWX.dukascopy-source.json,1ff3d61979b14f4423dfb5379c561018bbed438a0b9a4cb5579d8aff95911155,False,False,1000,0.001
EURAUD.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURAUD.DWX\EURAUD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,521201e8ca51051d9ddcf624b0e625fdc9d9e64ae34b30872edab9e6744fef18,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURAUD.DWX\EURAUD.DWX.dukascopy-source.json,b0d6882ba5a4a651999075fddc9e2b9e8cfa7ca863448c07ff3375c03e3009ad,False,False,100000,1e-05
EURCAD.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURCAD.DWX\EURCAD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,1df4e3565b941d9d8f8770d525f27e944cd1e38d41fbec07f2e491181d5629b8,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURCAD.DWX\EURCAD.DWX.dukascopy-source.json,a35fe31e67201145974140a86159631133484a09e4f5a616eb49384c8f7e6af6,False,False,100000,1e-05
EURCHF.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURCHF.DWX\EURCHF_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,901803145005cd3b4868b5e2f34f4e5afb43d52143872a72cac5d81b4c0c1313,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURCHF.DWX\EURCHF.DWX.dukascopy-source.json,41932db6b66dab94819649d148db84dbda86fcb4102ff0ab4d09c248e7ea88a2,False,False,100000,1e-05
EURGBP.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURGBP.DWX\EURGBP_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,0eb428d6fef6058f1e07fdd14d1e020fada780a29cea6367e57b4c235eb8c541,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURGBP.DWX\EURGBP.DWX.dukascopy-source.json,14a60f61d160400440cf2c85c794c6cc1aadec72577aa4ff560cfecd4bab6e3f,False,False,100000,1e-05
EURNZD.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURNZD.DWX\EURNZD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,1e6812df71c2bb3b8eb5ccf8a5f45facb7e014f2aee3552384882612debf3433,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\EURNZD.DWX\EURNZD.DWX.dukascopy-source.json,d06bfe08eb0dcfc4854e64d3152b6a9c1f15483a394985eafb1cf9c890674f94,False,False,100000,1e-05
GBPAUD.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\GBPAUD.DWX\GBPAUD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,084f9ce0e3c8777bb050b0b584811de43984a01aaf5cc8625605f2cc81d08735,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\GBPAUD.DWX\GBPAUD.DWX.dukascopy-source.json,d82612786b914ac389932a92c8bb3227064c335423f857fa7f66e36939ecbc7e,False,False,100000,1e-05
GBPCHF.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\GBPCHF.DWX\GBPCHF_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,9c6183282160658d925004f5abf2fb663e49e550a860200e58d6afded829f07e,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\GBPCHF.DWX\GBPCHF.DWX.dukascopy-source.json,7fc6e21e83e42e2400bc09e17f7162c629062a849735f6ca128235246b3c6675,False,False,100000,1e-05
GBPJPY.DWX,HASH_BOUND_PREDECESSOR_REUSE,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\GBPJPY.DWX\GBPJPY_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,80871df6fd1922c0618ced1eef2b4852009e235ac7d4ecb1bd74b110a36095db,D:\QM\reports\dukascopy\conversion\20260912_0919_task79c942ac\GBPJPY.DWX\GBPJPY.DWX.dukascopy-source.json,271fff437439fcf85967e3f6f151b2d556f0eab79f11e9d04bb17d3e42cef5b6,False,False,1000,0.001
