symbol,status,matched_m1_bars,dwx_m1_bars,session_coverage,open_delta_median_points,open_delta_p95_points,high_delta_median_points,high_delta_p95_points,low_delta_median_points,low_delta_p95_points,close_delta_median_points,close_delta_p95_points,typical_spread_points,close_delta_p95_limit_points,tick_density_ratio,dukascopy_spread_median_points,dukascopy_spread_p95_points,dwx_spread_median_points,dwx_spread_p95_points,dst_zero_second_offset,compute_seconds
AUDCAD.DWX,FAIL,65573,65624,0.7004315409429811,4.999999999999449,9.999999999998899,4.999999999999449,9.00000000000345,5.999999999994897,9.00000000000345,4.999999999999449,9.00000000000345,20.64,30.96,0.6938462700782065,20.64,38.90081074999997,,,False,6.35899999999674
AUDJPY.DWX,FAIL,65838,65954,0.7038711953558485,3.0000000000001137,7.000000000005002,1.9999999999953388,6.000000000000227,3.0000000000001137,6.000000000000227,2.0000000000095497,6.000000000000227,6.154472,9.231708000000001,0.538924197037787,6.154472,23.07188919999998,,,False,8.828000000001339
AUDNZD.DWX,FAIL,65134,65228,0.6991552258992497,4.000000000004,10.000000000021103,3.000000000019653,8.999999999992347,4.000000000004,9.999999999998899,4.000000000004,9.999999999998899,20.808824,31.213236000000002,0.5581859568780988,20.808824,38.065169,,,False,8.906000000002678
AUDUSD.DWX,FAIL,63911,64135,0.6853359069218808,2.000000000002,4.000000000004,2.000000000002,4.000000000004,2.000000000002,4.000000000004,2.000000000002,4.000000000004,9.058824,13.588235999999998,0.6552584303279082,9.058824,13.301719600000016,,,False,10.218000000000757
CADCHF.DWX,FAIL,65697,66024,0.7035672596035426,3.000000000008551,14.999999999998346,3.000000000008551,10.999999999994348,3.000000000008551,18.0000000000069,2.9999999999974487,13.000000000007446,15.695652,23.543478,0.446878992305938,15.695652,47.13369339999999,,,False,9.296999999998661
CADJPY.DWX,FAIL,66992,67099,0.7169520547945205,1.9999999999953388,6.999999999990791,1.0000000000047748,5.000000000009663,1.0000000000047748,6.000000000000227,1.0000000000047748,6.000000000000227,9.853659,14.7804885,0.4593156500679295,9.853659,32.85075640000003,,,False,8.328000000001339
CHFJPY.DWX,FAIL,65638,65704,0.7026645113635147,3.0000000000143245,12.000000000000455,2.0000000000095497,10.99999999999568,2.999999999985903,10.99999999999568,2.999999999985903,10.99999999999568,18.333333,27.4999995,0.4292342311719702,18.333333,63.75857319999995,,,False,8.375
EURAUD.DWX,FAIL,68461,68548,0.7323128596795242,4.000000000004,11.999999999989795,4.999999999988347,11.000000000005448,4.000000000004,10.999999999983244,4.000000000004,11.000000000005448,22.060606,33.090908999999996,0.6454321698869143,22.060606,47.629418,,,False,10.703000000001339
EURCAD.DWX,FAIL,66907,67077,0.7188194974161733,3.9999999999817955,10.999999999983244,2.9999999999974487,9.000000000014552,4.000000000004,10.999999999983244,2.9999999999974487,9.999999999998899,17.517241,26.275861499999998,0.5200407552436045,17.517241,44.39270809999984,,,False,11.89100000000326
EURCHF.DWX,FAIL,68046,68245,0.7298488732530327,2.000000000002,5.999999999994897,2.9999999999974487,5.000000000010552,2.000000000002,4.999999999999449,2.000000000002,5.999999999994897,9.086957,13.6304355,0.4806417199450193,9.086957,23.529006399999997,,,False,7.7810000000026776
