symbol,execution,p3_status,failed_checks,close_delta_p95_points,close_delta_p95_limit_points,session_coverage,explanation,dukascopy_csv_sha256,dwx_csv_sha256
AUDCAD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,9.00000000000345,30.96,0.7004315409429811,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",3b4ff75110dd85bc0c06a15a6cdc69c07b31bc00acbdfa0e606e7bb10fc6e3d0,d8e96a90c9627e108f7d295ccf7c0af105d719f437d8ac4d54ad3c97309747cc
AUDCHF.DWX,NOT_RUN,FAIL_CLOSED,governed_t1_export,,,,GOVERNED_T1_EXPORT_EMPTY: raw M1 export is empty: AUDCHF.DWX,,
AUDJPY.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,6.000000000000227,9.231708000000001,0.7038711953558485,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",08fa4734d296f58ccffc68897027cbc94f5c7d7806b6009ef18808d1cc853700,9bb9f0ae610de67f6cadfc15fccb877083c0ed52899b24eaa623dcea72e5a842
AUDNZD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,9.999999999998899,31.213236000000002,0.6991552258992497,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",11fb39502b6e13ea1f48f4643ada60604c490191389f335f2c6506c2cfb6cce6,9e646754863701cca473c44057e633e3a8b080919e90f3b142aa110b56670b6c
AUDUSD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,4.000000000004,13.588235999999998,0.6853359069218808,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",d6c2f31cac0c857da3cab0277a98c4c3a09fb0cecf72c5e1e3eb83944e31a232,f0336365a108ea78db3a7ccd68c4b5fd6b6a369675c3b18f7de4c0f9557f3818
CADCHF.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,13.000000000007446,23.543478,0.7035672596035426,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",16a8cab62795b6bfeb5b3ef3174724974eecafb5bd66808537fc23c04d922298,b2edbde1321eeadaf8cd476336728b5661ac6bbcd71498a652ee7ea0054e1581
CADJPY.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,6.000000000000227,14.7804885,0.7169520547945205,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",cb04dd1bdacb93163ee8ec7107373da768d5cc17d25f3fcb4fb3ebd231057a1c,14026b3364ba895e22fddaa100047f4ce9a03d9baacd6d5763129b89782e0d3e
CHFJPY.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,10.99999999999568,27.4999995,0.7026645113635147,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",d9c2b5d77f25a3392deab638b6e39890a9a55eb9b2e90358ec0d1fdf93ce5577,0c8bb803ded980a7a5caabb5abffa02af7dd83f8f70a4605a288aafb486f42cf
EURAUD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,11.000000000005448,33.090908999999996,0.7323128596795242,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",521201e8ca51051d9ddcf624b0e625fdc9d9e64ae34b30872edab9e6744fef18,a8ae4e3cbfb6e60dc37abf339d4c7e4b2c58d54d47bd837f6ab1a5e8157c58cd
EURCAD.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,9.999999999998899,26.275861499999998,0.7188194974161733,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",1df4e3565b941d9d8f8770d525f27e944cd1e38d41fbec07f2e491181d5629b8,1fe11dc1ceac5092e71b5847abff89ceba49d2e53090f1405f0e75191d6ef3c7
EURCHF.DWX,EXECUTED,FAIL,dst_zero_second_offset;required_overlap_window;session_coverage,5.999999999994897,13.6304355,0.7298488732530327,"P3 executed; dst_zero_second_offset, required_overlap_window, session_coverage failed",901803145005cd3b4868b5e2f34f4e5afb43d52143872a72cac5d81b4c0c1313,2f3456147d0dc52affde383818617b5838d0a25c9a8596afd894dc4d87d07402
