ea_id,source,source_sha256,placement_path,price_already_outside_behavior,file_line_evidence,classification_basis,work_items_created
QM5_10094,framework/EAs/QM5_10094_gh-h4-zone/QM5_10094_gh-h4-zone.mq5,d90deeb35ac705aef7e82b7d43a49cb81f6a984b258cecc8ff0a2a6f3ea8c3ad,MARKET_OR_NO_PENDING_LEVEL,MARKET,"framework/EAs/QM5_10094_gh-h4-zone/QM5_10094_gh-h4-zone.mq5:98: req.type = QM_BUY; | framework/EAs/QM5_10094_gh-h4-zone/QM5_10094_gh-h4-zone.mq5:354: QM_TM_OpenPosition(req, out_ticket);",Inventory and source trace contain no stop-pending order type; crossed pending-level behavior is not applicable.,0
QM5_10108,framework/EAs/QM5_10108_gh-getynet-2bar/QM5_10108_gh-getynet-2bar.mq5,86a58c385295be2ec6cfbdf0ef2cbcb3053d1b914343a2463e59e86218806af1,MARKET_OR_NO_PENDING_LEVEL,MARKET,"framework/EAs/QM5_10108_gh-getynet-2bar/QM5_10108_gh-getynet-2bar.mq5:98: req.type = QM_BUY; | framework/EAs/QM5_10108_gh-getynet-2bar/QM5_10108_gh-getynet-2bar.mq5:335: QM_TM_OpenPosition(req, out_ticket);",Inventory and source trace contain no stop-pending order type; crossed pending-level behavior is not applicable.,0
QM5_10433,framework/EAs/QM5_10433_mql5-range-brk/QM5_10433_mql5-range-brk.mq5,b909f9e7b2c84e651b96ebb996af69023fd46547f728803363f8a82cb864adb4,MARKET_OR_NO_PENDING_LEVEL,MARKET,"framework/EAs/QM5_10433_mql5-range-brk/QM5_10433_mql5-range-brk.mq5:62: req.type = QM_BUY; | framework/EAs/QM5_10433_mql5-range-brk/QM5_10433_mql5-range-brk.mq5:300: QM_TM_OpenPosition(req, out_ticket);",Inventory and source trace contain no stop-pending order type; crossed pending-level behavior is not applicable.,0
QM5_10615,framework/EAs/QM5_10615_mql5-pivotstop/QM5_10615_mql5-pivotstop.mq5,6c6e2b51532d0661ef0c55d5fca4f3b37ccaa426c6999fdb6b6ec65776fb1c91,MARKET_OR_NO_PENDING_LEVEL,MARKET,"framework/EAs/QM5_10615_mql5-pivotstop/QM5_10615_mql5-pivotstop.mq5:241: req.type = QM_BUY; | framework/EAs/QM5_10615_mql5-pivotstop/QM5_10615_mql5-pivotstop.mq5:440: QM_TM_OpenPosition(req, out_ticket);",Inventory and source trace contain no stop-pending order type; crossed pending-level behavior is not applicable.,0
QM5_1120,framework/EAs/QM5_1120_bigben-london-open-breakout/QM5_1120_bigben-london-open-breakout.mq5,c7aecc63bd8da7d60e8ad840b46674e26e903a57b486b3ae5060038b3d23fbcd,STOP_PENDING,OPPOSITE_ONLY,"framework/EAs/QM5_1120_bigben-london-open-breakout/QM5_1120_bigben-london-open-breakout.mq5:297: long_req.type = QM_BUY_STOP; | framework/EAs/QM5_1120_bigben-london-open-breakout/QM5_1120_bigben-london-open-breakout.mq5:305: short_req.type = QM_SELL_STOP; | framework/EAs/QM5_1120_bigben-london-open-breakout/QM5_1120_bigben-london-open-breakout.mq5:362: if(QM_TM_OpenPosition(long_req, out_ticket)) | framework/EAs/QM5_1120_bigben-london-open-breakout/QM5_1120_bigben-london-open-breakout.mq5:365: if(QM_TM_OpenPosition(short_req, out_ticket))",Both stop legs are submitted independently; a crossed leg can fail while the opposite leg remains.,0
QM5_1130,framework/EAs/QM5_1130_lou-polk-overnight-intraday/QM5_1130_lou-polk-overnight-intraday.mq5,aba623d95ec4faae2d9f5530f502a5a25fa90bacef7957bdf7ceb92b372dd19f,MARKET_OR_NO_PENDING_LEVEL,MARKET,"framework/EAs/QM5_1130_lou-polk-overnight-intraday/QM5_1130_lou-polk-overnight-intraday.mq5:330: req.type = QM_BUY; | framework/EAs/QM5_1130_lou-polk-overnight-intraday/QM5_1130_lou-polk-overnight-intraday.mq5:496: QM_TM_OpenPosition(req, out_ticket);",Inventory and source trace contain no stop-pending order type; crossed pending-level behavior is not applicable.,0
QM5_11435,framework/EAs/QM5_11435_carter-t-adx35-priorday-range-h1/QM5_11435_carter-t-adx35-priorday-range-h1.mq5,48c9b1d6c54778e3368a03d39682f8f495e125e2712709e2f4e6a3bfb5f61609,STOP_PENDING,OPPOSITE_ONLY,"framework/EAs/QM5_11435_carter-t-adx35-priorday-range-h1/QM5_11435_carter-t-adx35-priorday-range-h1.mq5:120: buy_req.type = QM_BUY_STOP; | framework/EAs/QM5_11435_carter-t-adx35-priorday-range-h1/QM5_11435_carter-t-adx35-priorday-range-h1.mq5:128: QM_TM_OpenPosition(buy_req, buy_ticket); | framework/EAs/QM5_11435_carter-t-adx35-priorday-range-h1/QM5_11435_carter-t-adx35-priorday-range-h1.mq5:131: sell_req.type = QM_SELL_STOP; | framework/EAs/QM5_11435_carter-t-adx35-priorday-range-h1/QM5_11435_carter-t-adx35-priorday-range-h1.mq5:139: QM_TM_OpenPosition(sell_req, sell_ticket);",No crossed-level branch; direct independent submissions allow only the opposite leg to remain.,0
QM5_11505,framework/EAs/QM5_11505_goodwin-hourly-breakout-h1/QM5_11505_goodwin-hourly-breakout-h1.mq5,36dbf44fa5a4236020e63c373faebb509a2d3f93334cb8293ca8307146dcf76a,STOP_PENDING,UNDEFINED,"framework/EAs/QM5_11505_goodwin-hourly-breakout-h1/QM5_11505_goodwin-hourly-breakout-h1.mq5:217: side = QM_BUY_STOP; | framework/EAs/QM5_11505_goodwin-hourly-breakout-h1/QM5_11505_goodwin-hourly-breakout-h1.mq5:218: entry = QM_StopRulesNormalizePrice(_Symbol, session_high + buffer); | framework/EAs/QM5_11505_goodwin-hourly-breakout-h1/QM5_11505_goodwin-hourly-breakout-h1.mq5:222: side = QM_SELL_STOP; | framework/EAs/QM5_11505_goodwin-hourly-breakout-h1/QM5_11505_goodwin-hourly-breakout-h1.mq5:223: entry = QM_StopRulesNormalizePrice(_Symbol, session_low - buffer); | framework/EAs/QM5_11505_goodwin-hourly-breakout-h1/QM5_11505_goodwin-hourly-breakout-h1.mq5:346: QM_TM_OpenPosition(req, out_ticket);",Directional stop is submitted without a strategy-level price-versus-market guard; rejection/retry semantics are not specified.,0
QM5_11697,framework/EAs/QM5_11697_pl-bb20-m5-scalp-d1trend/QM5_11697_pl-bb20-m5-scalp-d1trend.mq5,f16ab6704df8e747007195fbd2cef381a22bb7534af77ca7dab6239c6d57aeed,STOP_PENDING,SKIP,"framework/EAs/QM5_11697_pl-bb20-m5-scalp-d1trend/QM5_11697_pl-bb20-m5-scalp-d1trend.mq5:188: const double entry = QM_StopRulesNormalizePrice(_Symbol, high1 + offset); | framework/EAs/QM5_11697_pl-bb20-m5-scalp-d1trend/QM5_11697_pl-bb20-m5-scalp-d1trend.mq5:189: if(entry <= ask) | framework/EAs/QM5_11697_pl-bb20-m5-scalp-d1trend/QM5_11697_pl-bb20-m5-scalp-d1trend.mq5:190: return false; | framework/EAs/QM5_11697_pl-bb20-m5-scalp-d1trend/QM5_11697_pl-bb20-m5-scalp-d1trend.mq5:203: const double entry = QM_StopRulesNormalizePrice(_Symbol, low1 - offset); | framework/EAs/QM5_11697_pl-bb20-m5-scalp-d1trend/QM5_11697_pl-bb20-m5-scalp-d1trend.mq5:204: if(entry >= bid) | framework/EAs/QM5_11697_pl-bb20-m5-scalp-d1trend/QM5_11697_pl-bb20-m5-scalp-d1trend.mq5:205: return false;",Explicitly returns false when buy entry is at/below ask or sell entry is at/above bid.,0
QM5_12785,framework/EAs/QM5_12785_timerangebreakout-orb/QM5_12785_timerangebreakout-orb.mq5,ae99884bde1ceb27d3b1401dd9e40e6ca5f14684e4f93455a80fa43987f26ee8,MARKET_OR_NO_PENDING_LEVEL,MARKET,"framework/EAs/QM5_12785_timerangebreakout-orb/QM5_12785_timerangebreakout-orb.mq5:310: req.type = QM_BUY; | framework/EAs/QM5_12785_timerangebreakout-orb/QM5_12785_timerangebreakout-orb.mq5:441: QM_TM_OpenPosition(req, out_ticket);",Inventory and source trace contain no stop-pending order type; crossed pending-level behavior is not applicable.,0
