ea_id,work_item_id,symbol,snapshot_status,current_status,current_verdict,active_holds
QM5_1230,bb02b701-0d7c-4de7-82b2-87d917f8dd1b,XAUUSD.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_1230,6d528b09-59d8-4c2f-bfb2-a1102e8ae12c,XAUUSD.DWX,pending,pending,,NEWS_RUNNER_SPAWN_SILENT_ABORT
QM5_1567,2604a1f0-4f58-4597-89ef-432af9093131,EURUSD.DWX,pending,pending,,NEWS_CALENDAR_TIMESTAMP_DEFECT
QM5_1567,fb127697-b89e-4d52-9bd5-0d92d95e9125,GBPJPY.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_1567,10449264-8fa1-47f5-a3d7-adb28cee934d,GBPNZD.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_1567,0f7f63e4-9244-4c60-8610-ea068c5fc64e,XAGUSD.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_9573,e0cbdd1a-1cfe-4bbe-8ebe-a4b4c26d151f,USDCHF.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10148,8b233bbf-4ed6-4c27-a3d2-5e940c9248ab,EURNZD.DWX,pending,pending,,Q09_AWAITING_SEALED_PLAN
QM5_10476,b6bdac29-b608-4016-9394-2be6f34cc9a3,USDCAD.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10569,70171429-8d84-49bd-8082-7034c924dbf4,XAUUSD.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10569,e8ec3223-886a-400b-ba1b-096a82cebd9f,XAUUSD.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10569,2641d5cf-6e1c-43d1-92b2-05c9d6f54d82,XAUUSD.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,58ae0036-5bc4-4711-8bfa-eb3465af298b,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,9f691044-d481-4f69-8823-267d80fff89d,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,9b69d492-82df-4703-9350-fea30afac98f,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,f3f1cedc-c0d6-4485-917c-7f3b98957453,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,15e7deca-13e8-4760-9e8e-5918040f948d,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,42c8debd-ca2a-4618-8aaf-b9c3ee379f61,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,a8e36fba-36e7-419a-9d2b-5b3116cbdde2,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,120d68ff-bf61-4b16-abf8-1867aee53bb3,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10692,60ce66e6-8c40-493a-aa8f-40c8714a3e85,NDX.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10771,9a85fb74-4c31-4a74-8e8c-c332cf1b802e,USDJPY.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_10847,49a059da-82ab-4835-9c46-f18ba9b94dcf,GDAXI.DWX,pending,pending,,NEWS_CALENDAR_TIMESTAMP_DEFECT
QM5_11129,745671a4-02e4-4df5-b5e1-e25f0e41ca0e,SP500.DWX,pending,pending,,NEWS_RUNNER_SPAWN_SILENT_ABORT
QM5_11147,06b9c0f8-f6c1-47f8-a40d-2dc94893db7c,SP500.DWX,pending,pending,,NEWS_CALENDAR_TIMESTAMP_DEFECT
QM5_11167,f625d9aa-da34-44bb-aa9f-0eda284f3f32,XAUUSD.DWX,done,done,REVIEW_REQUIRED,
QM5_11167,6797ed1c-597a-4d44-82f9-7379d45b5e06,XAUUSD.DWX,done,done,REVIEW_REQUIRED,
QM5_11179,a6e2cc8b-7b7b-4e64-9764-4cf39046dd1c,USDJPY.DWX,pending,pending,,NEWS_CALENDAR_TIMESTAMP_DEFECT
QM5_11196,a909ee18-9f16-4706-967e-daa080b6f720,XAUUSD.DWX,pending,done,REVIEW_REQUIRED,
QM5_11422,d712832c-b41b-471c-a986-79f7f17f8dfb,USDCAD.DWX,pending,pending,,NEWS_RUNNER_SPAWN_SILENT_ABORT
QM5_11476,08fe4173-07d9-47e1-97e9-a76b1159ad94,USDJPY.DWX,pending,pending,,Q09_AWAITING_SEALED_PLAN
QM5_12474,83826f05-3d85-4cac-8177-e3f7cd25c7e8,GBPUSD.DWX,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_12831,84608819-5253-4df0-871c-6eb4750c3435,QM5_12831_XTI_AUDUSD_BRK_D1,pending,pending,,NEWS_CALENDAR_TAINTED
QM5_13059,86cccb8a-2d49-4539-a4a0-c45f530dc6ba,QM5_13059_XTI_AUDJPY_RSPREAD_D1,pending,pending,,NEWS_CALENDAR_TIMESTAMP_DEFECT
QM5_13128,aa80274f-fb46-4432-b47e-6fb2bf28c9a2,NDX.DWX,pending,pending,,NEWS_CALENDAR_TIMESTAMP_DEFECT
