group,n_fills,n_orders_filled,n_slippage_samples,mean_adverse_points,median_adverse_points,p95_adverse_points,share_zero_slippage,mean_latency_ms,rejections,bt_mean_abs_net_per_trade,execution_drag,power
10403,4,4,4,298.2500000000073,119.50000000001637,919.9999999999818,0.0,188.50424999999998,2,519.7824154589374,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
10440,10,10,10,9.200000000000728,5.500000000010914,26.000000000021828,0.1,307.15739999999994,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
10513,2,2,0,,,,,,0,789.6051470588236,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
10692,2,2,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
10706,8,8,0,,,,,,36098,1352.5803611111112,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
10911,17,17,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
10939,2,2,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
10940,1,1,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
11132,5,5,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
11165,9,9,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
11421,8,8,8,1.875000000002569,0.5000000000032756,8.000000000008,0.5,87.7135,2,588.0838461538463,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
11708,3,3,3,1.3333333333272652,1.0000000000065512,1.9999999999908977,0.0,101.68766666666666,4,219.15046242774574,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
13213,30,30,30,7.633333333334728,0.999999999990564,76.99999999999818,0.36666666666666664,178.11036666666666,0,932.1582769423552,NOT_COMPUTABLE_NO_TICK_VALUE,OK
13301,15,15,15,9.0000000000097,7.999999999992724,47.999999999992724,0.13333333333333333,90.59760000000001,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
1556,6,6,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
1567,1,1,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_AUDCAD,6,6,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_AUDUSD,3,3,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_EURUSD,12,10,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_GBPUSD,10,1,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_GDAXI,32,20,0,,,,,,2,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_NDX,14,2,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_SP500,5,4,0,,,,,,0,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_USDJPY,30,12,0,,,,,,4,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
UNATTRIBUTED_XAUUSD,13,11,0,,,,,,1,,NOT_COMPUTABLE_NO_TICK_VALUE,UNDERPOWERED
