deal_id,ts_broker,symbol,side,volume,fill_price,order_id,order_type,ref_price,point,point_source,slippage_points,latency_ms,money_impact,tick_value_source,ea_id,sleeve_attribution,matched_order,slippage_eligible
145900211,2026-06-29T00:00:02.070,SP500,buy,0.34,7360.7,3162533174,market,,0.1,inferred_from_price_decimals,,128.974,,,11132,ticket_join,True,False
146031307,2026-06-29T18:59:59.972,XAUUSD,sell,0.11,4023.65,3162733509,market,,0.01,inferred_from_price_decimals,,160.413,,,10940,ticket_join,True,False
146054123,2026-06-30T00:00:01.331,SP500,sell,0.34,7449.1,3162770806,market,,0.1,inferred_from_price_decimals,,338.953,,,,symbol_only,True,False
146117483,2026-06-30T08:32:26.140,XAUUSD,buy,0.11,4022.48,3162854866,,,0.01,inferred_from_price_decimals,,,,,,symbol_only,False,False
146226519,2026-06-30T20:59:59.763,GDAXI,buy,0.38,25052.2,3163007903,market,,0.1,inferred_from_price_decimals,,155.260,,,10911,ticket_join,True,False
146432826,2026-07-02T02:59:59.421,GDAXI,sell,0.38,25048.0,3163302274,market,,0.1,inferred_from_price_decimals,,149.501,,,,symbol_only,True,False
146452250,2026-07-02T08:00:01.735,NDX,sell,0.68,29832.5,3163364773,stop,29833.0,0.1,inferred_from_price_decimals,5.0,196.470,,,10440,ticket_join,True,True
146468727,2026-07-02T09:17:44.391,NDX,buy,0.68,29612.7,3163393769,,,0.1,inferred_from_price_decimals,,,,,,symbol_only,False,False
146521762,2026-07-02T14:30:41.428,EURUSD,buy,0.94,1.14391,3163278282,stop,1.14391,1e-05,inferred_from_price_decimals,0.0,52.524,,,11421,ticket_join,True,True
146757442,2026-07-03T19:59:56.751,EURUSD,sell,0.94,1.14402,3163977817,market,,1e-05,inferred_from_price_decimals,,157.361,,,,symbol_only,True,False
147095745,2026-07-08T00:00:00.306,AUDCAD,buy,1.46,0.98360,3164740863,market,,1e-05,inferred_from_price_decimals,,177.657,,,11165,ticket_join,True,False
147141952,2026-07-08T08:59:58.666,GDAXI,sell,0.11,25326.7,3164865831,market,,0.1,inferred_from_price_decimals,,153.089,,,10911,ticket_join,True,False
147155802,2026-07-08T10:16:58.848,AUDUSD,sell,1.1,0.69183,3164673364,stop,0.69191,1e-05,inferred_from_price_decimals,8.000000000008,108.795,,,11421,ticket_join,True,True
147168896,2026-07-08T10:35:21.948,GDAXI,buy,0.11,24967.9,3164907721,,,0.1,inferred_from_price_decimals,,,,,,symbol_only,False,False
147177517,2026-07-08T11:00:01.099,GDAXI,sell,0.04,24922.3,3164920773,market,,0.1,inferred_from_price_decimals,,114.652,,,10911,ticket_join,True,False
147322622,2026-07-09T07:59:59.336,GDAXI,buy,0.04,25126.6,3165214031,market,,0.1,inferred_from_price_decimals,,118.311,,,,symbol_only,True,False
147340607,2026-07-09T09:59:58.455,AUDCAD,sell,1.46,0.98351,3165250558,market,,1e-05,inferred_from_price_decimals,,256.078,,,,symbol_only,True,False
147348125,2026-07-09T10:59:59.007,GDAXI,sell,0.12,24950.2,3165268800,market,,0.1,inferred_from_price_decimals,,71.307,,,10911,ticket_join,True,False
147401861,2026-07-09T16:59:58.069,GDAXI,buy,0.12,25105.0,3165373187,market,,0.1,inferred_from_price_decimals,,227.887,,,,symbol_only,True,False
147536274,2026-07-10T15:59:57.256,NDX,buy,0.08,29725.2,3165578509,market,,0.1,inferred_from_price_decimals,,440.311,,,10692,ticket_join,True,False
147547226,2026-07-10T16:33:14.615,NDX,sell,0.08,29533.8,3165592046,,,0.1,inferred_from_price_decimals,,,,,,symbol_only,False,False
147575596,2026-07-10T18:59:57.216,NDX,buy,0.05,29830.4,3165635942,market,,0.1,inferred_from_price_decimals,,431.154,,,10692,ticket_join,True,False
147581368,2026-07-10T19:59:57.027,NDX,sell,0.05,29839.3,3165651545,market,,0.1,inferred_from_price_decimals,,188.169,,,,symbol_only,True,False
147581411,2026-07-10T19:59:57.262,AUDUSD,buy,1.1,0.69533,3165652029,market,,1e-05,inferred_from_price_decimals,,186.936,,,,symbol_only,True,False
