utc_iso,is_us_dst,offset_hours,broker_time_iso
2023-03-12T04:00:00Z,0,2,2023-03-12T06:00:00
2023-03-12T04:01:00Z,0,2,2023-03-12T06:01:00
2023-03-12T04:02:00Z,0,2,2023-03-12T06:02:00
2023-03-12T04:03:00Z,0,2,2023-03-12T06:03:00
2023-03-12T04:04:00Z,0,2,2023-03-12T06:04:00
2023-03-12T04:05:00Z,0,2,2023-03-12T06:05:00
2023-03-12T04:06:00Z,0,2,2023-03-12T06:06:00
2023-03-12T04:07:00Z,0,2,2023-03-12T06:07:00
2023-03-12T04:08:00Z,0,2,2023-03-12T06:08:00
2023-03-12T04:09:00Z,0,2,2023-03-12T06:09:00
2023-03-12T04:10:00Z,0,2,2023-03-12T06:10:00
2023-03-12T04:11:00Z,0,2,2023-03-12T06:11:00
2023-03-12T04:12:00Z,0,2,2023-03-12T06:12:00
2023-03-12T04:13:00Z,0,2,2023-03-12T06:13:00
2023-03-12T04:14:00Z,0,2,2023-03-12T06:14:00
2023-03-12T04:15:00Z,0,2,2023-03-12T06:15:00
2023-03-12T04:16:00Z,0,2,2023-03-12T06:16:00
2023-03-12T04:17:00Z,0,2,2023-03-12T06:17:00
2023-03-12T04:18:00Z,0,2,2023-03-12T06:18:00
2023-03-12T04:19:00Z,0,2,2023-03-12T06:19:00
2023-03-12T04:20:00Z,0,2,2023-03-12T06:20:00
2023-03-12T04:21:00Z,0,2,2023-03-12T06:21:00
2023-03-12T04:22:00Z,0,2,2023-03-12T06:22:00
2023-03-12T04:23:00Z,0,2,2023-03-12T06:23:00
2023-03-12T04:24:00Z,0,2,2023-03-12T06:24:00
2023-03-12T04:25:00Z,0,2,2023-03-12T06:25:00
2023-03-12T04:26:00Z,0,2,2023-03-12T06:26:00
2023-03-12T04:27:00Z,0,2,2023-03-12T06:27:00
2023-03-12T04:28:00Z,0,2,2023-03-12T06:28:00
2023-03-12T04:29:00Z,0,2,2023-03-12T06:29:00
2023-03-12T04:30:00Z,0,2,2023-03-12T06:30:00
2023-03-12T04:31:00Z,0,2,2023-03-12T06:31:00
2023-03-12T04:32:00Z,0,2,2023-03-12T06:32:00
2023-03-12T04:33:00Z,0,2,2023-03-12T06:33:00
2023-03-12T04:34:00Z,0,2,2023-03-12T06:34:00
2023-03-12T04:35:00Z,0,2,2023-03-12T06:35:00
2023-03-12T04:36:00Z,0,2,2023-03-12T06:36:00
2023-03-12T04:37:00Z,0,2,2023-03-12T06:37:00
2023-03-12T04:38:00Z,0,2,2023-03-12T06:38:00
2023-03-12T04:39:00Z,0,2,2023-03-12T06:39:00
2023-03-12T04:40:00Z,0,2,2023-03-12T06:40:00
2023-03-12T04:41:00Z,0,2,2023-03-12T06:41:00
2023-03-12T04:42:00Z,0,2,2023-03-12T06:42:00
2023-03-12T04:43:00Z,0,2,2023-03-12T06:43:00
2023-03-12T04:44:00Z,0,2,2023-03-12T06:44:00
2023-03-12T04:45:00Z,0,2,2023-03-12T06:45:00
2023-03-12T04:46:00Z,0,2,2023-03-12T06:46:00
2023-03-12T04:47:00Z,0,2,2023-03-12T06:47:00
2023-03-12T04:48:00Z,0,2,2023-03-12T06:48:00
2023-03-12T04:49:00Z,0,2,2023-03-12T06:49:00
2023-03-12T04:50:00Z,0,2,2023-03-12T06:50:00
2023-03-12T04:51:00Z,0,2,2023-03-12T06:51:00
2023-03-12T04:52:00Z,0,2,2023-03-12T06:52:00
2023-03-12T04:53:00Z,0,2,2023-03-12T06:53:00
2023-03-12T04:54:00Z,0,2,2023-03-12T06:54:00
2023-03-12T04:55:00Z,0,2,2023-03-12T06:55:00
2023-03-12T04:56:00Z,0,2,2023-03-12T06:56:00
2023-03-12T04:57:00Z,0,2,2023-03-12T06:57:00
2023-03-12T04:58:00Z,0,2,2023-03-12T06:58:00
2023-03-12T04:59:00Z,0,2,2023-03-12T06:59:00
2023-03-12T05:00:00Z,0,2,2023-03-12T07:00:00
2023-03-12T05:01:00Z,0,2,2023-03-12T07:01:00
2023-03-12T05:02:00Z,0,2,2023-03-12T07:02:00
2023-03-12T05:03:00Z,0,2,2023-03-12T07:03:00
2023-03-12T05:04:00Z,0,2,2023-03-12T07:04:00
2023-03-12T05:05:00Z,0,2,2023-03-12T07:05:00
2023-03-12T05:06:00Z,0,2,2023-03-12T07:06:00
2023-03-12T05:07:00Z,0,2,2023-03-12T07:07:00
2023-03-12T05:08:00Z,0,2,2023-03-12T07:08:00
2023-03-12T05:09:00Z,0,2,2023-03-12T07:09:00
2023-03-12T05:10:00Z,0,2,2023-03-12T07:10:00
2023-03-12T05:11:00Z,0,2,2023-03-12T07:11:00
2023-03-12T05:12:00Z,0,2,2023-03-12T07:12:00
2023-03-12T05:13:00Z,0,2,2023-03-12T07:13:00
2023-03-12T05:14:00Z,0,2,2023-03-12T07:14:00
2023-03-12T05:15:00Z,0,2,2023-03-12T07:15:00
2023-03-12T05:16:00Z,0,2,2023-03-12T07:16:00
2023-03-12T05:17:00Z,0,2,2023-03-12T07:17:00
2023-03-12T05:18:00Z,0,2,2023-03-12T07:18:00
