work_item_id,ea_id,symbol,phase,updated_at_date
8ea23880-abf7-448a-b7d4-d2d6567ee48d,QM5_10431,SP500.DWX,Q06,2026-07-19
58ab6fb5-a61d-4469-bcaa-f02bcb447735,QM5_9573,USDCHF.DWX,Q05,2026-07-20
149571f2-e81c-4923-bb4f-d2ff42692704,QM5_9573,USDCHF.DWX,Q06,2026-07-20
06ba4eb3-f343-4ef6-a99d-414fceca6d39,QM5_9574,XTIUSD.DWX,Q03,2026-07-20
3eeab0ff-13ce-4367-ad6e-b57060ffd005,QM5_9573,USDCHF.DWX,Q07,2026-07-20
bc64f305-1a7a-4198-aeae-b474084ab94d,QM5_9574,GBPUSD.DWX,Q03,2026-07-20
8de196e8-c547-4e7d-9090-783f917cfa8e,QM5_9574,USDCAD.DWX,Q03,2026-07-20
ddadffd6-92e9-4d0c-99e2-0730fb954586,QM5_13116,XNGUSD.DWX,Q03,2026-07-21
c864ba5e-12d0-4ea1-b3a9-d6fc5eec6ac1,QM5_13116,XNGUSD.DWX,Q05,2026-07-21
dac6d395-ff84-41e2-8cd0-35b5a65773cd,QM5_13116,XNGUSD.DWX,Q06,2026-07-21
7afe03cc-712d-4809-8541-5461fb287c4f,QM5_20014,XNGUSD.DWX,Q03,2026-07-21
798fb698-6c37-43b9-a23f-43967819826e,QM5_1910,GDAXI.DWX,Q03,2026-07-21
225f6f37-1d4e-4707-b4ef-9b67a9bf66bd,QM5_1230,XAUUSD.DWX,Q05,2026-07-23
0fb10d0b-ec7c-4128-b835-3b568613290f,QM5_9253,GDAXI.DWX,Q03,2026-07-24
7b538677-f387-46bb-b8c9-b1ceb0a28717,QM5_10185,EURJPY.DWX,Q03,2026-07-25
49935c6b-7822-4d23-81c8-eff823910d9c,QM5_20105,CADJPY.DWX,Q03,2026-07-26
4fa5e455-232a-4448-acb1-885cbb3a809c,QM5_20105,CADJPY.DWX,Q05,2026-07-26
d5cfee22-f362-4153-927e-f47e6e96f94f,QM5_20105,CADJPY.DWX,Q06,2026-07-26
2a3c9631-88a8-4b93-86b5-d1d841b1ff37,QM5_20039,NDX.DWX,Q05,2026-07-26
48818ee3-44ed-4607-9e9c-518554d4bcff,QM5_10584,GBPJPY.DWX,Q03,2026-07-28
6851fdb9-eb03-4314-84da-0ed41f1e0791,QM5_10584,GBPJPY.DWX,Q05,2026-07-28
8ceb9ea6-9566-4c60-a832-93ee1e8e39d1,QM5_10272,XAUUSD.DWX,Q05,2026-07-29
fb1d2d8f-abeb-40ea-af00-2d8a522bb8da,QM5_10272,XAUUSD.DWX,Q06,2026-07-29
e2dabe2a-54a6-41b4-b6a7-ef5ddc5e6394,QM5_20144,EURUSD.DWX,Q03,2026-07-31
c99ad850-2737-42a7-8ace-10b891421515,QM5_9454,XAUUSD.DWX,Q03,2026-08-01
1c529230-6c0b-4bb0-9976-27f236bf3a2d,QM5_10946,USDJPY.DWX,Q03,2026-08-01
3e056bbe-5345-40b4-91c6-2815c95cea66,QM5_20204,XNGUSD.DWX,Q03,2026-08-02
056e4b68-6e68-436e-8bae-683938c8100b,QM5_11503,GBPUSD.DWX,Q03,2026-08-02
0cb2cb11-9637-46c0-9382-2753e62a0bab,QM5_9912,NDX.DWX,Q03,2026-08-04
6037af9d-de74-4532-8ca8-824aaab94264,QM5_9912,SP500.DWX,Q03,2026-08-04
1a079d9e-f9a3-4813-8356-2a0fe5e4d899,QM5_9912,SP500.DWX,Q05,2026-08-04
98d333b9-4914-4ef5-b59a-2bb9f492447e,QM5_9912,SP500.DWX,Q06,2026-08-04
cfc0c5dd-105f-4009-9227-c1fba6e7bdac,QM5_10217,NDX.DWX,Q03,2026-08-05
1d207268-0af6-4ad9-bd87-e957cb8beb1a,QM5_12918,USDCAD.DWX,Q05,2026-08-05
bb744247-e424-44e2-8364-4beb48678cf7,QM5_20227,XTIUSD.DWX,Q03,2026-08-05
65c80cc5-271b-44dd-bda2-3e533e2e905b,QM5_20231,XTIUSD.DWX,Q03,2026-08-05
2ead7b60-2f3e-480c-ab0f-5d101bf81464,QM5_10201,NDX.DWX,Q03,2026-08-07
bfc0f719-ca25-4a31-81ee-7e56f0c164f3,QM5_11625,GBPUSD.DWX,Q03,2026-08-07
4acff9b5-524c-40fb-ac81-64d99db497ec,QM5_11392,GBPUSD.DWX,Q03,2026-08-07
8a179030-5b28-444b-ae9c-80df5ad8f8ee,QM5_20264,XTIUSD.DWX,Q05,2026-08-07
5a1961e4-6372-4910-a99e-61efffe1a9e4,QM5_11298,USDJPY.DWX,Q03,2026-08-08
df2221ea-b67f-439f-9de6-8b0b1018d6d9,QM5_11298,GBPUSD.DWX,Q03,2026-08-08
55e05a5f-0e06-41d0-8037-f3cd1d3b135d,QM5_10099,EURUSD.DWX,Q03,2026-08-08
40ae2243-b38c-4832-9ae7-05267f070086,QM5_10203,EURUSD.DWX,Q03,2026-08-08
238aee95-e7f8-4a8b-98a5-7796c33b1e12,QM5_10590,XAUUSD.DWX,Q06,2026-08-09
e2982893-962d-4550-b719-acea0d0514ef,QM5_10590,XAUUSD.DWX,Q07,2026-08-09
f0161372-0097-4001-9b18-92bcadbfaf66,QM5_11457,AUDUSD.DWX,Q03,2026-08-10
ee1459b8-55ed-4d2c-a6e9-b2f6d41d2855,QM5_9907,NDX.DWX,Q03,2026-08-10
d2e7bb77-ab42-4d54-9d1a-a6e6d7eef38d,QM5_20271,XTIUSD.DWX,Q05,2026-08-10
b9e0b1c6-673f-40d0-bfe8-6040af48afe5,QM5_11898,EURJPY.DWX,Q03,2026-08-10
dd897938-1476-4900-9347-baddf3723c0c,QM5_20273,XTIUSD.DWX,Q03,2026-08-10
2e87055c-b145-451a-9a89-cdda98f76f65,QM5_1287,AUDUSD.DWX,Q03,2026-08-10
fa7744b8-3251-45b5-a9e6-6905c6bf50b5,QM5_11898,AUDJPY.DWX,Q03,2026-08-10
5c26a7fe-57ac-4292-a7b8-15d8a0451588,QM5_1287,NDX.DWX,Q03,2026-08-10
a2b5f6e2-1e61-44a8-8a20-73e732f2f966,QM5_12486,EURUSD.DWX,Q03,2026-08-11
ab23177b-ccb6-45b8-98fc-f05a2731371d,QM5_20280,XTIUSD.DWX,Q03,2026-08-11
b687ee5f-f5ee-4b3b-af8f-4b31bddb4a2b,QM5_20281,XTIUSD.DWX,Q03,2026-08-11
d34ab488-c2d5-44aa-913e-9322ca5f4efa,QM5_11396,AUDUSD.DWX,Q03,2026-08-13
c21a27ff-e834-4a00-94ed-a3a180932c17,QM5_12866,XTIUSD.DWX,Q03,2026-08-13
22eb9bae-e796-4bc8-bd2f-42b85bb913bf,QM5_20297,XNGUSD.DWX,Q03,2026-08-13
c786739a-478d-4bdb-aa59-4d8a1fb72f11,QM5_13061,XTIUSD.DWX,Q03,2026-08-13
7be7dd45-3881-4c5c-9e2e-59786fca60a7,QM5_20295,XTIUSD.DWX,Q03,2026-08-13
0a2e72a2-d906-4343-b073-742a5e0213d3,QM5_20192,QM5_20192_XAU_XAG_IVOL_D1,Q03,2026-08-13
b9cfe883-5d5a-432e-9f6e-40f002a7ac36,QM5_12981,XTIUSD.DWX,Q03,2026-08-13
3ec1b968-d62c-431c-8cc7-a0ec8e1ed663,QM5_21527,XTIUSD.DWX,Q03,2026-08-15
3bd6b8df-4828-4982-8d1c-e0f16603ec1b,QM5_13061,XTIUSD.DWX,Q05,2026-08-15
46f9c2a3-ae2e-4db0-8186-a7baf72709db,QM5_20082,AUDUSD.DWX,Q05,2026-08-16
