entry_utc,exit_utc,hold_h,net,report_comment,exit_class,session_close_exit
2018-08-08 18:15,2018-08-08 19:00,0.750,-357.60,qm_tm_close,TIME_MGMT,No
2018-12-06 18:30,2018-12-06 19:15,0.753,-1045.66,sl 6729.8,SL,No
2019-01-25 17:45,2019-01-25 18:30,0.750,-190.68,qm_tm_close,TIME_MGMT,No
2019-02-20 17:45,2019-02-20 18:00,0.250,-321.32,qm_tm_close,TIME_MGMT,No
2019-03-15 18:30,2019-03-15 18:45,0.250,-83.19,qm_tm_close,TIME_MGMT,No
2019-04-15 17:45,2019-04-15 18:00,0.250,-272.45,qm_tm_close,TIME_MGMT,No
2019-06-18 18:00,2019-06-18 18:15,0.250,-84.63,qm_tm_close,TIME_MGMT,No
2019-11-06 18:00,2019-11-06 18:30,0.500,-250.82,qm_tm_close,TIME_MGMT,No
2020-08-31 18:00,2020-08-31 18:30,0.500,-404.54,qm_tm_close,TIME_MGMT,No
2020-11-16 18:00,2020-11-16 18:30,0.500,-156.48,qm_tm_close,TIME_MGMT,No
2020-11-27 18:00,2020-11-27 18:15,0.250,-73.68,qm_tm_close,TIME_MGMT,No
2020-12-07 18:15,2020-12-07 18:45,0.500,-189.21,qm_tm_close,TIME_MGMT,No
2020-12-28 18:30,2020-12-28 18:45,0.250,-75.90,qm_tm_close,TIME_MGMT,No
2021-02-10 17:45,2021-02-10 18:00,0.250,-330.52,qm_tm_close,TIME_MGMT,No
2021-03-31 17:45,2021-03-31 18:30,0.750,-124.27,qm_tm_close,TIME_MGMT,No
2021-06-01 18:00,2021-06-01 18:15,0.250,-107.67,qm_tm_close,TIME_MGMT,No
2021-07-01 18:15,2021-07-01 19:00,0.750,-300.19,qm_tm_close,TIME_MGMT,No
2022-06-21 18:00,2022-06-21 18:15,0.250,-49.02,qm_tm_close,TIME_MGMT,No
2022-11-01 18:00,2022-11-01 18:15,0.250,-114.64,qm_tm_close,TIME_MGMT,No
2022-11-24 18:00,2022-11-24 18:30,0.500,-206.50,qm_tm_close,TIME_MGMT,No
2023-03-01 18:15,2023-03-01 18:30,0.250,-152.56,qm_tm_close,TIME_MGMT,No
2023-11-14 17:45,2023-11-14 18:00,0.250,-259.16,qm_tm_close,TIME_MGMT,No
2024-05-22 18:15,2024-05-22 19:00,0.750,-329.55,qm_tm_close,TIME_MGMT,No
2024-08-21 17:45,2024-08-21 17:55,0.175,-998.79,sl 19718.5,SL,No
2024-08-26 17:45,2024-08-26 18:21,0.601,-253.68,qm_tm_close,TIME_MGMT,No
2025-11-28 18:15,2025-11-28 18:30,0.250,-402.82,qm_tm_close,TIME_MGMT,No
