terminal,at_utc,claimed,reason,claimed_item_id,history_skipped,q08_dsr_context_skipped,ram_class_skipped,history_claim_preflights_count
T9,2026-09-15T08:47:00.143+00:00,False,no_pending_claimable,,,,279,0
T5,2026-09-15T08:47:03.786+00:00,True,,18d9a92c-3821-4d35-b440-161257003a80,,,4,1
T1,2026-09-15T08:47:03.876+00:00,False,claim_spacing_wait,,,,,1
T8,2026-09-15T08:47:03.928+00:00,False,claim_spacing_wait,,,,,0
T2,2026-09-15T08:47:04.855+00:00,False,claim_spacing_wait,,,,,0
T7,2026-09-15T08:47:05.649+00:00,False,claim_spacing_wait,,,,,0
T10,2026-09-15T08:47:08.868+00:00,False,claim_spacing_wait,,,,,0
T9,2026-09-15T08:47:10.301+00:00,False,claim_spacing_wait,,,,,0
T7,2026-09-15T08:47:24.880+00:00,True,,4709596e-c566-4095-8fff-4fe79031536c,,,2,1
T1,2026-09-15T08:47:24.967+00:00,False,claim_spacing_wait,,,,,1
T10,2026-09-15T08:47:25.714+00:00,False,claim_spacing_wait,,,,,0
T9,2026-09-15T08:47:27.378+00:00,False,claim_spacing_wait,,,,,0
T2,2026-09-15T08:47:27.403+00:00,False,claim_spacing_wait,,,,,0
T8,2026-09-15T08:47:28.226+00:00,False,claim_spacing_wait,,,,,0
T9,2026-09-15T08:47:43.552+00:00,True,,6c8af3ce-a956-4043-ab03-b52adfabe424,,,15,1
T8,2026-09-15T08:47:44.328+00:00,False,claim_spacing_wait,,,,,0
T2,2026-09-15T08:47:44.454+00:00,False,claim_spacing_wait,,,,,0
T1,2026-09-15T08:47:46.469+00:00,False,claim_spacing_wait,,,,,0
T10,2026-09-15T08:47:47.382+00:00,False,claim_spacing_wait,,,,,0
T10,2026-09-15T08:48:02.704+00:00,True,,84c98b8c-1dd9-4b70-91bb-985f3e0b2b7c,,,,1
T1,2026-09-15T08:48:02.771+00:00,False,claim_spacing_wait,,,,,1
T2,2026-09-15T08:48:03.191+00:00,False,claim_spacing_wait,,,,,0
T8,2026-09-15T08:48:05.350+00:00,False,claim_spacing_wait,,,,,0
T6,2026-09-15T08:48:18.035+00:00,False,commit_headroom_low,,,,,0
T8,2026-09-15T08:48:21.508+00:00,False,commit_headroom_low,,,,,0
T1,2026-09-15T08:48:23.582+00:00,False,commit_headroom_low,,,,,0
T2,2026-09-15T08:48:25.457+00:00,False,commit_headroom_low,,,,,0
T6,2026-09-15T08:48:54.605+00:00,False,commit_headroom_low,,,,,0
T8,2026-09-15T08:49:01.317+00:00,False,commit_headroom_low,,,,,0
T1,2026-09-15T08:49:01.568+00:00,False,commit_headroom_low,,,,,0
T2,2026-09-15T08:49:03.108+00:00,False,commit_headroom_low,,,,,0
T6,2026-09-15T08:49:24.260+00:00,False,commit_headroom_low,,,,,0
T8,2026-09-15T08:49:32.264+00:00,False,commit_headroom_low,,,,,0
T2,2026-09-15T08:49:32.643+00:00,False,commit_headroom_low,,,,,0
T1,2026-09-15T08:49:36.263+00:00,False,commit_headroom_low,,,,,0
T6,2026-09-15T08:49:57.648+00:00,False,commit_headroom_low,,,,,0
T2,2026-09-15T08:50:06.412+00:00,False,commit_headroom_low,,,,,0
T1,2026-09-15T08:50:09.968+00:00,False,commit_headroom_low,,,,,0
T8,2026-09-15T08:50:14.093+00:00,False,commit_headroom_low,,,,,0
T6,2026-09-15T08:50:32.824+00:00,False,no_pending_claimable,,,,40,0
T10,2026-09-15T08:50:34.183+00:00,False,no_pending_claimable,,,,40,0
T2,2026-09-15T08:50:40.315+00:00,False,no_pending_claimable,,,,40,0
T6,2026-09-15T08:50:44.179+00:00,False,no_pending_claimable,,,,40,0
T10,2026-09-15T08:50:45.549+00:00,False,no_pending_claimable,,,,40,0
T1,2026-09-15T08:50:46.273+00:00,False,no_pending_claimable,,,,40,0
T8,2026-09-15T08:50:50.575+00:00,False,no_pending_claimable,,,,40,0
T2,2026-09-15T08:50:51.027+00:00,False,no_pending_claimable,,,,40,0
T6,2026-09-15T08:50:55.618+00:00,False,no_pending_claimable,,,,40,0
T10,2026-09-15T08:50:57.254+00:00,False,no_pending_claimable,,,,40,0
T1,2026-09-15T08:50:57.638+00:00,False,no_pending_claimable,,,,40,0
T8,2026-09-15T08:51:01.720+00:00,False,no_pending_claimable,,,,40,0
T2,2026-09-15T08:51:02.190+00:00,False,no_pending_claimable,,,,40,0
T6,2026-09-15T08:51:07.232+00:00,False,no_pending_claimable,,,,40,0
T10,2026-09-15T08:51:09.794+00:00,False,no_pending_claimable,,,,40,0
T1,2026-09-15T08:51:10.191+00:00,False,no_pending_claimable,,,,40,0
T2,2026-09-15T08:51:14.598+00:00,False,no_pending_claimable,,,,40,0
T8,2026-09-15T08:51:14.994+00:00,False,no_pending_claimable,,,,40,0
T6,2026-09-15T08:51:19.271+00:00,False,no_pending_claimable,,,,40,0
T1,2026-09-15T08:51:21.786+00:00,False,no_pending_claimable,,,,40,0
T10,2026-09-15T08:51:22.199+00:00,False,no_pending_claimable,,,,40,0
T2,2026-09-15T08:51:26.273+00:00,False,no_pending_claimable,,,,40,0
T8,2026-09-15T08:51:26.649+00:00,False,no_pending_claimable,,,,40,0
T6,2026-09-15T08:51:31.016+00:00,False,no_pending_claimable,,,,272,0
T1,2026-09-15T08:51:34.050+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:51:34.551+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:51:38.993+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:51:39.333+00:00,False,no_pending_claimable,,,,268,0
T6,2026-09-15T08:51:44.627+00:00,True,,49b48658-b03d-4d4c-b770-a62d35fd44c7,,,10,3
T1,2026-09-15T08:51:44.647+00:00,False,claim_spacing_wait,,,,,0
T10,2026-09-15T08:51:44.680+00:00,False,claim_spacing_wait,,,,,0
T2,2026-09-15T08:51:49.506+00:00,False,claim_spacing_wait,,,,,0
T8,2026-09-15T08:51:49.561+00:00,False,claim_spacing_wait,,,,,0
T4,2026-09-15T08:51:49.864+00:00,False,claim_spacing_wait,,,,,0
T1,2026-09-15T08:52:01.563+00:00,False,no_pending_claimable,,,,265,0
T4,2026-09-15T08:52:03.176+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:52:04.099+00:00,False,no_pending_claimable,,,,268,0
T8,2026-09-15T08:52:06.814+00:00,False,no_pending_claimable,,,,276,0
T10,2026-09-15T08:52:07.251+00:00,False,no_pending_claimable,,,,273,0
T9,2026-09-15T08:52:07.670+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:52:15.416+00:00,False,no_pending_claimable,,,,265,0
T4,2026-09-15T08:52:16.504+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:52:17.410+00:00,False,no_pending_claimable,,,,268,0
T8,2026-09-15T08:52:20.040+00:00,False,no_pending_claimable,,,,276,0
T10,2026-09-15T08:52:20.357+00:00,False,no_pending_claimable,,,,273,0
T9,2026-09-15T08:52:20.688+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:52:27.949+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:52:28.624+00:00,False,no_pending_claimable,,,,268,0
T8,2026-09-15T08:52:31.355+00:00,False,no_pending_claimable,,,,276,0
T10,2026-09-15T08:52:31.666+00:00,False,no_pending_claimable,,,,273,0
T9,2026-09-15T08:52:32.001+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:52:38.427+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:52:38.708+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:52:41.759+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:52:42.112+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:52:42.459+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:52:49.673+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:52:50.009+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:52:52.166+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:52:53.253+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:52:53.690+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:53:05.805+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:53:06.200+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:53:06.569+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:53:06.949+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:53:07.276+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:53:18.577+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:53:18.887+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:53:19.201+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:53:19.512+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:53:19.867+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:53:29.590+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:53:29.919+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:53:30.254+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:53:30.553+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:53:30.873+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:53:40.636+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:53:41.003+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:53:41.307+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:53:41.584+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:53:41.829+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:53:51.082+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:53:51.386+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:53:51.676+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:53:51.941+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:53:52.180+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:54:01.521+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:54:01.884+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:54:02.232+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:54:02.584+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:54:02.935+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:54:12.545+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:54:12.867+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:54:13.237+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:54:13.574+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:54:13.907+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:54:14.193+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:54:23.401+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:54:23.758+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:54:24.181+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:54:24.500+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:54:24.809+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:54:25.071+00:00,False,no_pending_claimable,,,,276,0
