family,symbol,gate,distinct_fail_pairs
trend/momentum,EURUSD.DWX,Q04,304
other,EURUSD.DWX,Q04,276
trend/momentum,GBPUSD.DWX,Q04,271
other,GBPUSD.DWX,Q04,247
other,XAUUSD.DWX,Q04,233
trend/momentum,USDJPY.DWX,Q04,216
other,EURUSD.DWX,Q02,206
trend/momentum,EURUSD.DWX,Q02,196
other,USDJPY.DWX,Q04,174
other,GBPUSD.DWX,Q02,168
trend/momentum,GBPUSD.DWX,Q02,164
other,WS30.DWX,Q02,162
other,XAUUSD.DWX,Q02,146
trend/momentum,XAUUSD.DWX,Q04,144
other,NDX.DWX,Q04,129
other,GDAXI.DWX,Q02,128
trend/momentum,WS30.DWX,Q02,128
other,XTIUSD.DWX,Q02,126
other,NDX.DWX,Q02,125
trend/momentum,NDX.DWX,Q04,119
trend/momentum,GDAXI.DWX,Q02,118
other,USDJPY.DWX,Q02,113
other,XTIUSD.DWX,Q04,111
trend/momentum,XAUUSD.DWX,Q02,110
trend/momentum,USDJPY.DWX,Q02,106
trend/momentum,XTIUSD.DWX,Q04,104
other,GDAXI.DWX,Q04,102
trend/momentum,GDAXI.DWX,Q04,94
trend/momentum,AUDUSD.DWX,Q04,94
other,SP500.DWX,Q02,91
trend/momentum,NDX.DWX,Q02,86
oscillator/other,EURUSD.DWX,Q04,80
trend/momentum,AUDUSD.DWX,Q02,76
breakout,EURUSD.DWX,Q04,74
oscillator/other,GBPUSD.DWX,Q04,74
other,SP500.DWX,Q04,71
mean-reversion,EURUSD.DWX,Q04,67
breakout,GBPUSD.DWX,Q04,64
mean-reversion,GBPUSD.DWX,Q04,63
other,AUDUSD.DWX,Q02,61
trend/momentum,SP500.DWX,Q04,61
oscillator/other,USDJPY.DWX,Q04,60
oscillator/other,XAUUSD.DWX,Q04,59
oscillator/other,EURUSD.DWX,Q02,58
trend/momentum,SP500.DWX,Q02,57
trend/momentum,XTIUSD.DWX,Q02,56
other,AUDUSD.DWX,Q04,55
other,GBPJPY.DWX,Q04,54
breakout,USDJPY.DWX,Q04,52
trend/momentum,USDCHF.DWX,Q04,52
other,WS30.DWX,Q04,50
trend/momentum,WS30.DWX,Q04,50
trend/momentum,USDCAD.DWX,Q04,50
oscillator/other,WS30.DWX,Q02,49
mean-reversion,WS30.DWX,Q02,49
breakout,XAUUSD.DWX,Q04,49
mean-reversion,USDJPY.DWX,Q04,48
oscillator/other,GBPUSD.DWX,Q02,48
session/ORB,WS30.DWX,Q02,47
trend/momentum,GBPJPY.DWX,Q04,44
other,UK100.DWX,Q02,43
other,USDCAD.DWX,Q04,43
trend/momentum,UK100.DWX,Q02,42
breakout,EURUSD.DWX,Q02,41
other,USDCAD.DWX,Q02,41
other,USDCHF.DWX,Q04,41
breakout,NDX.DWX,Q04,41
oscillator/other,NDX.DWX,Q04,41
other,EURJPY.DWX,Q04,40
mean-reversion,EURUSD.DWX,Q02,39
oscillator/other,USDJPY.DWX,Q02,39
other,NZDUSD.DWX,Q02,38
trend/momentum,EURJPY.DWX,Q04,38
mean-reversion,NDX.DWX,Q02,37
breakout,WS30.DWX,Q02,37
trend/momentum,NZDUSD.DWX,Q04,37
mean-reversion,NDX.DWX,Q04,37
mean-reversion,XAUUSD.DWX,Q04,37
mean-reversion,SP500.DWX,Q02,36
trend/momentum,USDCAD.DWX,Q02,35
trend/momentum,XAUUSD.DWX,Q08,35
other,XNGUSD.DWX,Q04,34
breakout,GDAXI.DWX,Q02,33
other,USDCHF.DWX,Q02,33
