family,symbol_class,n_pairs
trend/momentum,fx_major,1642
other,fx_major,1531
other,index,1193
trend/momentum,index,1014
trend/momentum,fx_jpy,687
other,fx_jpy,662
other,metal,580
other,fx_cross,521
trend/momentum,fx_cross,507
trend/momentum,metal,450
oscillator/other,fx_major,437
mean-reversion,fx_major,429
other,energy,393
mean-reversion,index,354
breakout,fx_major,336
trend/momentum,energy,296
oscillator/other,index,291
breakout,index,264
session/ORB,index,201
mean-reversion,fx_jpy,182
breakout,fx_jpy,165
mean-reversion,fx_cross,162
oscillator/other,fx_jpy,160
session/ORB,fx_major,153
basket/statarb,fx_major,148
oscillator/other,metal,146
other,other,144
range/fade,fx_major,138
breakout,metal,126
pullback,fx_major,117
basket/statarb,other,113
mean-reversion,metal,104
breakout,fx_cross,98
pattern,fx_major,98
range/fade,index,88
basket/statarb,fx_cross,82
range/fade,energy,81
basket/statarb,fx_jpy,80
session/ORB,fx_jpy,78
breakout,energy,74
basket/statarb,index,71
oscillator/other,fx_cross,67
mean-reversion,energy,67
trend/momentum,other,57
session/ORB,metal,56
pullback,fx_jpy,47
pullback,index,45
pattern,fx_jpy,41
oscillator/other,energy,41
grid/pyramid,fx_major,41
range/fade,fx_jpy,38
range/fade,metal,28
pattern,index,24
basket/statarb,metal,23
pattern,metal,22
grid/pyramid,fx_jpy,20
grid/pyramid,other,18
pullback,metal,17
grid/pyramid,fx_cross,17
pullback,fx_cross,15
breakout,other,15
mean-reversion,other,15
oscillator/other,other,15
grid/pyramid,index,15
basket/statarb,energy,13
session/ORB,energy,12
grid/pyramid,metal,12
range/fade,fx_cross,9
pullback,energy,7
grid/pyramid,energy,7
session/ORB,fx_cross,4
session/ORB,other,4
trend/momentum,commodity,2
range/fade,other,2
basket/statarb,commodity,1
mean-reversion,commodity,1
breakout,commodity,1
pattern,energy,1
