family,symbol_class,timeframe,session,holding_class,n_pairs
trend/momentum,fx_major,H1,unspecified,intraday,507
trend/momentum,fx_major,D1,unspecified,position,418
trend/momentum,index,D1,unspecified,position,411
other,fx_major,D1,unspecified,position,396
other,fx_major,H1,unspecified,intraday,374
other,index,D1,unspecified,position,363
other,fx_major,H4,unspecified,swing,345
trend/momentum,fx_cross,D1,unspecified,position,337
other,energy,D1,unspecified,position,311
other,fx_cross,D1,unspecified,position,278
other,index,H1,unspecified,intraday,257
trend/momentum,fx_jpy,D1,unspecified,position,251
trend/momentum,energy,D1,unspecified,position,239
trend/momentum,fx_major,M5,unspecified,scalp,236
trend/momentum,fx_major,H4,unspecified,swing,233
trend/momentum,index,H1,unspecified,intraday,222
other,fx_jpy,D1,unspecified,position,211
other,index,H4,unspecified,swing,193
trend/momentum,fx_jpy,H1,unspecified,intraday,184
oscillator/other,fx_major,H1,unspecified,intraday,176
other,fx_major,M15,unspecified,intraday,175
mean-reversion,index,D1,unspecified,position,175
mean-reversion,fx_major,D1,unspecified,position,171
other,fx_jpy,H4,unspecified,swing,169
trend/momentum,metal,D1,unspecified,position,149
trend/momentum,index,H4,unspecified,swing,149
other,metal,H1,unspecified,intraday,141
other,fx_jpy,H1,unspecified,intraday,137
other,index,M15,unspecified,intraday,134
trend/momentum,metal,H1,unspecified,intraday,133
other,metal,D1,unspecified,position,130
other,fx_cross,H4,unspecified,swing,125
other,other,D1,unspecified,position,124
other,metal,H4,unspecified,swing,123
breakout,fx_major,H1,unspecified,intraday,122
other,fx_major,M5,unspecified,scalp,120
trend/momentum,fx_major,M15,unspecified,intraday,118
other,index,M5,unspecified,scalp,109
mean-reversion,fx_major,H1,unspecified,intraday,101
breakout,fx_major,D1,unspecified,position,98
basket/statarb,other,D1,unspecified,position,96
trend/momentum,fx_jpy,H4,unspecified,swing,92
oscillator/other,index,H1,unspecified,intraday,91
oscillator/other,fx_major,D1,unspecified,position,91
session/ORB,index,M5,session-open,scalp,84
breakout,index,D1,unspecified,position,82
oscillator/other,index,D1,unspecified,position,78
mean-reversion,fx_major,H4,unspecified,swing,78
trend/momentum,fx_jpy,M5,unspecified,scalp,77
mean-reversion,fx_cross,D1,unspecified,position,76
oscillator/other,fx_major,H4,unspecified,swing,76
trend/momentum,index,M15,unspecified,intraday,74
trend/momentum,metal,H4,unspecified,swing,73
other,metal,M15,unspecified,intraday,73
oscillator/other,fx_jpy,H1,unspecified,intraday,72
range/fade,energy,D1,unspecified,position,70
mean-reversion,fx_jpy,D1,unspecified,position,67
oscillator/other,metal,H1,unspecified,intraday,65
other,fx_jpy,M15,unspecified,intraday,63
breakout,fx_cross,D1,unspecified,position,63
breakout,fx_jpy,H1,unspecified,intraday,59
breakout,energy,D1,unspecified,position,58
other,metal,M5,unspecified,scalp,57
breakout,fx_jpy,D1,unspecified,position,57
breakout,index,H1,unspecified,intraday,56
trend/momentum,index,M5,unspecified,scalp,56
trend/momentum,fx_major,M30,unspecified,intraday,54
