ea_id,ea_id_raw,projection_class,card_status,registry_status,pipeline_phase_card,pipeline_highest_gate,in_seeds,in_capproved,in_dapproved,in_ea_docs,in_draft,in_review,in_rejected,in_recovery,in_blocked,in_dup,in_registry,in_pipeline,vault_node,vault_node_slug,vault_generated,card_mtime,vault_node_mtime
046,TBD                                     # CEO defers to standard ea_id allocation under DL-046 R-046-5 (delegated to next free 1018+ at first compile),DRAFT,APPROVED,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
084,PENDING_58BFD084,DRAFT,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,
10000,QM5_10000,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10001,QM5_10001,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10002,QM5_10002,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10003,QM5_10003,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10004,QM5_10004,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10005,QM5_10005,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10006,QM5_10006,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10007,QM5_10007,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10008,QM5_10008,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10009,QM5_10009,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
1001,1001,RETIRED,,retired,,,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,
10010,QM5_10010,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10011,QM5_10011,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10012,QM5_10012,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10013,QM5_10013,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10014,QM5_10014,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10015,QM5_10015,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10016,QM5_10016,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10017,QM5_10017,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10018,QM5_10018,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10019,QM5_10019,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
1002,1002,DRAFT,"APPROVED                              # G0 APPROVED for all 5 SRC01 Davey cards (commit 4568297ef, QUA-276)",active,,,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,,
10020,QM5_10020,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10021,QM5_10021,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10022,QM5_10022,CANONICAL,APPROVED,active,G0,Q07,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10023,QM5_10023,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10024,QM5_10024,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10025,QM5_10025,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10026,QM5_10026,CANONICAL,APPROVED,active,G0,Q07,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10027,QM5_10027,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10028,QM5_10028,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10029,QM5_10029,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
1003,1003,CANONICAL,,active,,,0,0,0,0,0,0,0,0,0,0,1,0,1,davey-baseline-3bar,0,,1787253314
10030,QM5_10030,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10031,QM5_10031,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10032,QM5_10032,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10033,QM5_10033,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10034,QM5_10034,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10035,QM5_10035,CANONICAL,APPROVED,active,G0,Q05,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10036,QM5_10036,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10037,QM5_10037,CANONICAL,APPROVED,active,G0,Q08,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10038,QM5_10038,CANONICAL,APPROVED,active,G0,Q08,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787510951,
10039,QM5_10039,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
1004,1004,DRAFT,APPROVED,active,,,1,0,0,0,0,0,0,0,0,0,1,0,1,davey-es-breakout,0,,1787253314
10040,QM5_10040,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10041,QM5_10041,CANONICAL,APPROVED,active,G0,Q05,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10042,QM5_10042,CANONICAL,APPROVED,active,G0,Q05,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10043,QM5_10043,DUPLICATE,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,1,1,1,0,,0,1787491525,
10044,QM5_10044,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
