id,state,task_type,priority,created_age_days,disposition,target_lane,target_state,reason
d68dcd1b-0f7e-4fd8-b033-4815f0811c97,BLOCKED,build_ea,50,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
fddbb404-f6fe-46ee-9d1e-1589d07be3d9,BLOCKED,build_ea,50,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
0a9b9637-30c5-4de4-8833-809ea92d5cbd,BLOCKED,build_ea,50,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
932dde11-f11f-41c1-83df-c7afd521bd3e,BLOCKED,build_ea,50,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
1477e9b6-1288-4a1f-bf79-d61c3a185c23,BLOCKED,build_ea,50,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
123a5ce6-5595-4f74-8ee9-3d591a168ad9,BLOCKED,build_ea,50,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
5e7ee21a-5fe8-48e9-870f-18bec88fc5ce,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
c6387b4b-f0b0-4021-8606-6f68a35a79f2,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
6cf3af36-e15e-4af0-857b-d0f99eefe6f6,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
bd4171e3-56e3-4d5b-96a6-684a49f2b8f4,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
bff7eda1-2b00-4170-8a02-1afbffcd5c70,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
04125547-feee-4d50-9423-eac60e1eec8a,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
d90e7498-f47f-4dba-8d2a-674bb0569909,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
ae818e35-7732-4ec4-89ba-5d353cdbcf3e,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
c15f2390-4c8e-432d-bcfa-600807db676b,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
8511bd8a-6f24-4e78-a416-40699fcf9d0d,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
b1bcaee2-efb6-4226-9578-bff538852f87,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
30bbd5e2-ea7b-46d3-96a1-5cd0050117d8,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
69bced3f-e859-43bb-bf24-60f17e23e9d0,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
3129e748-59f4-445a-9d11-12f6fca5fd97,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
13d9b822-c4ed-489e-9f32-27accae6ff5f,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
70805206-74fb-455f-876f-11776e8c5621,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
fcd84ecd-cb3d-4f2c-be69-6d34bc940761,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
b5905d19-0976-41e0-9b5d-9b170993c8db,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
99efdb31-1df6-4aa5-9102-bf7e250c149f,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
5fca8ef3-c38a-4e48-bdf8-0325a297434d,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
ef0f2333-e00f-41ce-9ecd-5d9f540cf3be,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
8d108839-29ec-4569-8039-109f7bbfcb15,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
2201ca64-2342-41f6-97ea-f34a31b48d92,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
3fdd2c8d-4e16-4a92-bb8a-7258a674a68b,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
8262515b-4563-4db8-9c4e-7b4b4927e178,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
1fd88db4-fbd1-49a2-83c6-293bdf9cb11b,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
5297d50e-314d-4557-8f14-9463bcf7fc3e,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
fcaeb2ee-6c92-4d57-8a8b-fe71deb585e9,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
afe18aff-644c-43da-84b3-7e725212ba61,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
d76d758e-d4d6-4898-a958-15e9bdf4e853,BLOCKED,build_ea,10,67,CLOSE,,FAILED,owner_retired_ea_id (executes a prior OWNER retirement; candidate-guard applies)
181b8a00-f226-4240-8649-a4b246f8c9ad,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
f1d3f7a3-1999-48e5-ada5-caac982e382d,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
6a79738c-7643-4d5b-95e3-d8906b029178,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
084be1d0-8d08-4c36-b672-5ff5befdd89e,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
3cd229bb-8900-4dac-9367-3dbfaf84f67c,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
35c9e6ad-0be4-4539-8572-554fb390b4a6,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
f99873db-5daa-4579-8c4d-cdc8bb0d159c,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
cc5c1221-1289-4d5a-8a18-2d5d15bd63cd,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
8c3ddf84-4b96-467f-8893-b59e85840d95,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
ffdb2772-97b1-4615-8871-196a23805834,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
6a0ae4d5-66d4-4a37-9323-38e1224236db,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
aaf5545d-ea51-4dab-9332-8f0784d9c663,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
3ff472a0-8f53-4558-ae66-459a29c77da2,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
add54a46-19bc-415c-810d-0f117f5cf2ae,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
524cca67-50b7-409a-a13c-7860dc61148d,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
63c1032c-1534-482a-a399-efe2600f8356,BLOCKED,build_ea,10,67,KEEP,,,recent or prioritised build -> keep in queue
b770de57-f359-4d11-9b5e-1f7f141e26b6,BLOCKED,build_ea,10,67,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
04dd4c02-2889-4a31-bf5c-630843571d34,BLOCKED,build_ea,10,36,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
230cacde-3610-417a-898a-39de1926bfe4,BLOCKED,build_ea,10,36,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
4f53ec6b-9e40-4266-9a59-dbd707316c2e,BLOCKED,build_ea,10,36,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
fa98372d-3350-4ddd-b904-2a00a72bbd05,BLOCKED,build_ea,10,36,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
31609b87-fa05-441e-b957-09058a694b1c,BLOCKED,build_ea,10,36,PARK,,BLOCKED,awaiting_magic_registry_allocation (ordered ops precondition; not a CBE supersession)
