symbol,instrument_class,rows,expected_minutes_floor,completeness_ratio,status
AUDCAD.DWX,fx,155802,147936,1.0532,COMPLETE
AUDCHF.DWX,fx,159155,147936,1.0758,COMPLETE
AUDJPY.DWX,fx,156252,147936,1.0562,COMPLETE
AUDNZD.DWX,fx,155015,147888,1.0482,COMPLETE
AUDUSD.DWX,fx,154572,147936,1.0449,COMPLETE
CADCHF.DWX,fx,156448,147936,1.0575,COMPLETE
CADJPY.DWX,fx,157491,147936,1.0646,COMPLETE
CHFJPY.DWX,fx,156125,147888,1.0557,COMPLETE
EURAUD.DWX,fx,83,147936,0.0006,SHORT_READ
EURCAD.DWX,fx,157403,147888,1.0643,COMPLETE
EURCHF.DWX,fx,62,147936,0.0004,SHORT_READ
EURGBP.DWX,fx,156440,147936,1.0575,COMPLETE
EURJPY.DWX,fx,85,147936,0.0006,SHORT_READ
EURNZD.DWX,fx,158242,147504,1.0728,COMPLETE
EURUSD.DWX,fx,61,147936,0.0004,SHORT_READ
GBPAUD.DWX,fx,116,147840,0.0008,SHORT_READ
GBPCAD.DWX,fx,158895,147888,1.0744,COMPLETE
GBPCHF.DWX,fx,159031,147888,1.0753,COMPLETE
GBPJPY.DWX,fx,108,147936,0.0007,SHORT_READ
GBPNZD.DWX,fx,158501,147456,1.0749,COMPLETE
GBPUSD.DWX,fx,156217,147936,1.056,COMPLETE
GDAXI.DWX,index_commodity,141760,113997,1.2435,COMPLETE
NDX.DWX,index_commodity,117,113763,0.001,SHORT_READ
NZDCAD.DWX,fx,155045,147888,1.0484,COMPLETE
NZDCHF.DWX,fx,155823,147936,1.0533,COMPLETE
NZDJPY.DWX,fx,155964,147936,1.0543,COMPLETE
NZDUSD.DWX,fx,155819,147840,1.054,COMPLETE
SP500.DWX,index_commodity,171498,113841,1.5065,COMPLETE
UK100.DWX,index_commodity,168013,112983,1.4871,COMPLETE
USDCAD.DWX,fx,158494,147936,1.0714,COMPLETE
USDCHF.DWX,fx,155260,147936,1.0495,COMPLETE
USDJPY.DWX,fx,83,147936,0.0006,SHORT_READ
WS30.DWX,index_commodity,171613,113763,1.5085,COMPLETE
XAGUSD.DWX,index_commodity,171616,114387,1.5003,COMPLETE
XAUUSD.DWX,index_commodity,126,114387,0.0011,SHORT_READ
XNGUSD.DWX,index_commodity,2607,114036,0.0229,SHORT_READ
XTIUSD.DWX,index_commodity,170822,114036,1.498,COMPLETE
