symbol,dukascopy_rows,dukascopy_csv,dukascopy_sha256,dwx_rows,dwx_csv,dwx_sha256,sidecar,sidecar_sha256,production_import,reconciliation_import_authorized
AUDCAD.DWX,184250,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDCAD_DWX\AUDCAD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,b19e2a66d4c8442372993a360a05cb16fbc2cd89793fa848cc46b450dc9fc15b,155802,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\AUDCAD.DWX_M1.csv,9be2567ff9016a9e4f49f8f443c38d90a17def7ec4e8da04ae28670c1786d15b,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDCAD_DWX\AUDCAD.DWX.dukascopy-source.json,a4e7a03015f3c3f5d70b24d7cda7bc79f78d7b063ba9b0a1bb49f4455bf0aa40,False,False
AUDCHF.DWX,184121,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDCHF_DWX\AUDCHF_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,9818df7571e882c9c0c35a4c99cffeee6c7c70da45f9eb8aa332f494f7f3e0bc,159155,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\AUDCHF.DWX_M1.csv,ca59ef45fc14029ca4c79834973812448a0252be35e300b35f262a31f01a5cd0,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDCHF_DWX\AUDCHF.DWX.dukascopy-source.json,7174d155ac1de5f1f03f1aa058fc2d1ede204e7c285a9e44077b1e93eaa539e6,False,False
AUDJPY.DWX,184182,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDJPY_DWX\AUDJPY_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,bef5e44c81e284ce86c74189be569155d7656569cbec22cf371107df992fa713,156252,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\AUDJPY.DWX_M1.csv,c9693055ab9f27f7e0dc55ce6348bbe7dec2f5eda05895d540614224c6bd019e,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDJPY_DWX\AUDJPY.DWX.dukascopy-source.json,c5672dc429285e629d2e933bbd3e9d98fb2a2fccd730643ff9a8f5135dfd0237,False,False
AUDNZD.DWX,183769,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDNZD_DWX\AUDNZD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,ae94e6d75377449c70c1c86bdebfc687a570c62a7a38b15c5b04d9e51755f208,155015,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\AUDNZD.DWX_M1.csv,0b26ade92012d9fe5e4121bd8c6dfbf32ac4bf2fc8618d7e7e2c85ecee623445,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDNZD_DWX\AUDNZD.DWX.dukascopy-source.json,104c0d1d2ac727569c0926c8c3a9f3dd5715f8c90385d27ce5eb1a2123eeaef1,False,False
AUDUSD.DWX,183843,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDUSD_DWX\AUDUSD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,bcf1c4c87ac7cfb8491688658f33ae569f7a5aca3bab733fd0cc128026dbacce,154572,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\AUDUSD.DWX_M1.csv,5f9a32797c73dc3ff5ade062a806cc11b1364f3226468fe0bd48e706b1789959,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\AUDUSD_DWX\AUDUSD.DWX.dukascopy-source.json,5b845159b4e7b89b5cd256f84c5fb2f6ce73143ddce0813ac9fabc3d51d7d38f,False,False
CADCHF.DWX,183549,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\CADCHF_DWX\CADCHF_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,b7ad13bfa08e45a586ee9bfd9644c74d06788f39e117003c57e211938b6ae7fd,156448,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\CADCHF.DWX_M1.csv,e22952de21f162e38b72a4c7ce4a601a021b7751258cff11b6272d4f5af50f76,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\CADCHF_DWX\CADCHF.DWX.dukascopy-source.json,0d067ee83571f8c5216fc87dcbe318dd0d1561291e200cfb4cadada1c755e1dc,False,False
CADJPY.DWX,184009,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\CADJPY_DWX\CADJPY_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,c0a6b1dab2f99a502d58f04dff9cc925d1b98e448fc106a0aeb61bb2133d12f7,157491,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\CADJPY.DWX_M1.csv,95bb7e6a82d95e041411daae949f98eb856cc00ad884db43777cd729c020955b,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\CADJPY_DWX\CADJPY.DWX.dukascopy-source.json,8c95479ce0068ebf9099bf823541028d4fdad40e8c8c3b0e6a2d6ee57adb4478,False,False
CHFJPY.DWX,183616,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\CHFJPY_DWX\CHFJPY_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,e6745e3e590885899d17e72444d9771182fd0582c2eec803c1b9582d0579d9f2,156125,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\CHFJPY.DWX_M1.csv,034c16d7ad46884cd4d4363779a58975f700bb475d881871133bebc6e3360ed2,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\CHFJPY_DWX\CHFJPY.DWX.dukascopy-source.json,a9c177f16369a512280377c7ba5e4c7147a06d37b3e508335413639022aa615d,False,False
EURAUD.DWX,184208,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\EURAUD_DWX\EURAUD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,68cd8580195d4ef0756983b5a831a646f03eb1c6b606b4a4bcffa1683b25e682,83,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\EURAUD.DWX_M1.csv,317ef85dc404127f4ac3ce0ae7ac7be37573e3d2d6f91623232f692b3bf90013,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\EURAUD_DWX\EURAUD.DWX.dukascopy-source.json,a7a390d114cfe124d362370e0de82e01d4059b9e6bd0e1951bad418431865fd5,False,False
EURCAD.DWX,183560,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\EURCAD_DWX\EURCAD_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,d5f4dc637ffcae0bf50d57037dfcbbccbdd3823745484762b12f355a7dcb43bc,157403,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\EURCAD.DWX_M1.csv,e973779d10145c56eede9a0dc093ed7c046079c158ba82364167fdd1ab21bc53,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\EURCAD_DWX\EURCAD.DWX.dukascopy-source.json,2fc5055c9393480c09e3bd71264133d4810283b320a074325e9f3f8b45c43d16,False,False
EURCHF.DWX,183686,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\EURCHF_DWX\EURCHF_GMT+2_US-DST_RECONCILIATION_ONLY_M1.csv,268e30804039bf2407a284aa85397d5e5642fcc8e26d1c9c60110a653d52a79c,62,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260913_114500\dwx_m1\EURCHF.DWX_M1.csv,08fcb399a5f4d0a5f8aef26758bab76fb6f8c6761f47868db3131b73cf29372a,D:\QM\reports\dukascopy\reconciliation\20260915_60174747\conversion\EURCHF_DWX\EURCHF.DWX.dukascopy-source.json,0947db9931face160d7c38fa4080979b96f3970c853cc9c3a27368bea5b21c8a,False,False
