symbol,status,matched_m1_bars,dwx_m1_bars,session_coverage,open_delta_median_points,open_delta_p95_points,high_delta_median_points,high_delta_p95_points,low_delta_median_points,low_delta_p95_points,close_delta_median_points,close_delta_p95_points,typical_spread_points,close_delta_p95_limit_points,tick_density_ratio,dukascopy_spread_median_points,dukascopy_spread_p95_points,dwx_spread_median_points,dwx_spread_p95_points,dst_zero_second_offset,compute_seconds
AUDCAD.DWX,FAIL,155655,155802,0.8448032564450475,4.999999999999449,9.00000000000345,4.999999999999449,8.999999999992347,4.999999999999449,9.00000000000345,4.999999999999449,9.00000000000345,20.25,30.375,0.5050682948295091,20.25,36.87808669999999,,,False,10.875
AUDCHF.DWX,FAIL,158875,159155,0.8628836471668088,3.9999999999928977,8.000000000008,4.000000000004,7.999999999996898,3.9999999999928977,7.999999999996898,3.9999999999928977,7.999999999996898,14.0,21.0,0.3705471245166711,14.0,34.5,,,False,10.35899999999674
AUDJPY.DWX,FAIL,156067,156252,0.8473520756642886,2.0000000000095497,7.000000000005002,1.9999999999953388,6.000000000000227,3.0000000000001137,6.000000000000227,2.0000000000095497,6.000000000000227,6.361111,9.5416665,0.5556945555769328,6.361111,20.679928549999975,,,False,9.327999999979511
AUDNZD.DWX,FAIL,154862,155015,0.8426992583079845,2.9999999999974487,9.999999999998899,2.9999999999974487,8.000000000008,3.000000000019653,9.999999999998899,2.9999999999974487,9.000000000014552,20.269231,30.4038465,0.4682564446444472,20.269231,36.8,,,False,9.85999999998603
AUDUSD.DWX,FAIL,154138,154572,0.8384219143508319,1.0000000000065512,4.000000000004,1.0000000000065512,3.9999999999928977,1.0000000000065512,3.9999999999928977,1.0000000000065512,3.9999999999928977,8.990385,13.4855775,0.6545962422917857,8.990385,12.759195199999997,,,False,9.344000000040978
CADCHF.DWX,FAIL,155571,156448,0.8475720379844074,2.9999999999974487,11.000000000005448,2.9999999999974487,9.00000000000345,2.9999999999974487,16.0000000000049,2.9999999999974487,10.999999999994346,15.2,22.799999999999997,0.3588157500352749,15.2,44.00923100000009,,,False,11.0
CADJPY.DWX,FAIL,157251,157491,0.8545831997347956,1.9999999999953388,7.000000000005002,1.0000000000047748,6.000000000000227,1.0000000000047748,6.000000000000227,1.0000000000047748,6.000000000000227,10.56044,15.84066,0.4745375077127849,10.56044,30.405454600000056,,,False,10.047000000020489
CHFJPY.DWX,FAIL,155650,156125,0.8476930115022656,2.999999999985903,12.000000000000455,2.0000000000095497,10.000000000019327,2.999999999985903,10.99999999999568,2.999999999985903,10.99999999999568,19.504717499999998,29.257076249999997,0.4550645032170828,19.504717499999998,60.146569,,,True,7.51600000000326
EURAUD.DWX,FAIL,83,83,0.000456879895633219,5.999999999994897,29.599999999998477,3.9999999999817955,25.89999999999425,6.000000000017102,45.399999999990946,5.999999999994897,28.000000000005794,21.655914,32.483871,2.04186320754717,21.655914,41.50819419999979,,,True,3.655999999959022
EURCAD.DWX,FAIL,157081,157403,0.8557474395293092,2.9999999999974487,9.999999999998899,2.9999999999974487,8.999999999992347,3.9999999999817955,9.999999999998899,2.9999999999974487,9.999999999998899,18.37931,27.568965,0.5995206825602426,18.37931,41.08882324999986,,,True,7.344000000040978
