symbol,status,root_class,failed_checks,matched_m1_bars,dwx_m1_bars,dukascopy_m1_bars,dwx_coverage_pct,dukascopy_coverage_pct,bilateral_session_coverage_pct,close_delta_p95_points,close_delta_p95_limit_points,compute_seconds,disposition,failure_explanation
AUDCAD.DWX,FAIL,P3_FIXED_GATE_FAILURE,dst_zero_second_offset+required_overlap_window+session_coverage,155655,155802,184250,99.905649,84.480326,84.480326,9,30.375,10.875000,DEFER_NO_SPLICE,"window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=84.480326% (DWX=99.905649%; Dukascopy=84.480326%) <99%; DST best offsets not all zero (US_DST_END:-60,US_DST_START:-60)"
AUDCHF.DWX,FAIL,P3_FIXED_GATE_FAILURE,dst_zero_second_offset+required_overlap_window+session_coverage,158875,159155,184121,99.824071,86.288365,86.288365,8,21,10.359000,DEFER_NO_SPLICE,"window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=86.288365% (DWX=99.824071%; Dukascopy=86.288365%) <99%; DST best offsets not all zero (US_DST_END:0,US_DST_START:-60)"
AUDJPY.DWX,FAIL,P3_FIXED_GATE_FAILURE,dst_zero_second_offset+required_overlap_window+session_coverage,156067,156252,184182,99.881602,84.735208,84.735208,6,9.5416665,9.328000,DEFER_NO_SPLICE,"window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=84.735208% (DWX=99.881602%; Dukascopy=84.735208%) <99%; DST best offsets not all zero (US_DST_END:0,US_DST_START:-60)"
AUDNZD.DWX,FAIL,P3_FIXED_GATE_FAILURE,dst_zero_second_offset+required_overlap_window+session_coverage,154862,155015,183769,99.901300,84.269926,84.269926,9,30.4038465,9.860000,DEFER_NO_SPLICE,"window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=84.269926% (DWX=99.901300%; Dukascopy=84.269926%) <99%; DST best offsets not all zero (US_DST_END:-60,US_DST_START:-60)"
AUDUSD.DWX,FAIL,P3_FIXED_GATE_FAILURE,dst_zero_second_offset+required_overlap_window+session_coverage,154138,154572,183843,99.719225,83.842191,83.842191,4,13.4855775,9.344000,DEFER_NO_SPLICE,"window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=83.842191% (DWX=99.719225%; Dukascopy=83.842191%) <99%; DST best offsets not all zero (US_DST_END:0,US_DST_START:-60)"
CADCHF.DWX,FAIL,P3_FIXED_GATE_FAILURE,dst_zero_second_offset+required_overlap_window+session_coverage,155571,156448,183549,99.439430,84.757204,84.757204,11,22.8,11.000000,DEFER_NO_SPLICE,"window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=84.757204% (DWX=99.439430%; Dukascopy=84.757204%) <99%; DST best offsets not all zero (US_DST_END:-120,US_DST_START:-60)"
CADJPY.DWX,FAIL,P3_FIXED_GATE_FAILURE,dst_zero_second_offset+required_overlap_window+session_coverage,157251,157491,184009,99.847610,85.458320,85.458320,6,15.84066,10.047000,DEFER_NO_SPLICE,"window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=85.458320% (DWX=99.847610%; Dukascopy=85.458320%) <99%; DST best offsets not all zero (US_DST_END:0,US_DST_START:-60)"
CHFJPY.DWX,FAIL,P3_FIXED_GATE_FAILURE,required_overlap_window+session_coverage,155650,156125,183616,99.695757,84.769301,84.769301,11,29.2570762,7.516000,DEFER_NO_SPLICE,window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=84.769301% (DWX=99.695757%; Dukascopy=84.769301%) <99%
EURAUD.DWX,FAIL,DWX_SPARSE_EXPORT,required_overlap_window+session_coverage,83,83,181667,100.000000,0.045688,0.045688,28,32.483871,3.656000,DEFER_NO_SPLICE,window start=1759314720 (required<=1759287600); end=1774886520 (required>=1775012400); end_shortfall_seconds=125880; bilateral session=0.045688% (DWX=100.000000%; Dukascopy=0.045688%) <99%
EURCAD.DWX,FAIL,P3_FIXED_GATE_FAILURE,required_overlap_window+session_coverage,157081,157403,183560,99.795430,85.574744,85.574744,10,27.568965,7.344000,DEFER_NO_SPLICE,window start=1759287600 (required<=1759287600); end=1775012340 (required>=1775012400); end_shortfall_seconds=60; bilateral session=85.574744% (DWX=99.795430%; Dukascopy=85.574744%) <99%
