phase,n_measured_runs,p25_seconds,median_seconds,p75_seconds,p95_seconds,max_seconds
Q02,27115,133,305,542,1272,129808
OPT_CENSUS,20323,140,177,237,458,7380
Q04,18146,210,393,757,1362,201735
Q03,12590,84,220,297,600,50649
Q05,1199,381,583,925,2396,29020
Q08,786,503,1136,3098,8257,15262
Q06,646,407,602,947,2478,9048
COMPILE_EA,629,35,40,50,98,286
Q07,573,2159,2940,4560,7395,31058
P2,423,194,237,442,720,5406
Q09,308,623,853,1112,1607,3328
Q09_PORTFOLIO,131,4,33,156,424,1368
Q10_NEWS,129,5798,10718,19089,41930,151629
Q09_NEWS,84,68,244,6354,30174,39280
Q11,33,460,660,1036,1389,1482
Q10,18,373,571,754,3835,3835
HARNESS_PP_FIXTURE,4,113,158,273,273,273
Q01,4,478,605,769,769,769
Q00,3,60,66,256,256,256
Q12,2,689,702,715,715,715
