symbol,is_fx_pair,size_202509,size_202510,size_202511,ratio_202510_vs_202509,ratio_202511_vs_202509,in_cohort_at_0_35,in_cohort_at_0_40,in_cohort_at_0_50,threshold_sensitive
AUDCAD.DWX,True,7046552,1750917,7184498,0.2485,1.0196,True,True,True,False
AUDCHF.DWX,True,5120616,1928104,5330757,0.3765,1.041,False,True,True,True
AUDJPY.DWX,True,8379628,2448547,9891448,0.2922,1.1804,True,True,True,False
AUDNZD.DWX,True,5946644,1688883,6274721,0.284,1.0552,True,True,True,False
AUDUSD.DWX,True,4611535,994612,4768956,0.2157,1.0341,True,True,True,False
CADCHF.DWX,True,5050130,1334483,4667276,0.2642,0.9242,True,True,True,False
CADJPY.DWX,True,7841406,2678382,8635560,0.3416,1.1013,True,True,True,False
CHFJPY.DWX,True,12323825,3686780,12116485,0.2992,0.9832,True,True,True,False
EURAUD.DWX,True,11065410,4258356,11599549,0.3848,1.0483,False,True,True,True
EURCAD.DWX,True,9669634,3092049,8696226,0.3198,0.8993,True,True,True,False
EURCHF.DWX,True,6224865,2327004,5039775,0.3738,0.8096,False,True,True,True
EURGBP.DWX,True,4968374,1397825,5283821,0.2813,1.0635,True,True,True,False
EURJPY.DWX,True,11231192,3930900,10643280,0.35,0.9477,True,True,True,False
EURNZD.DWX,True,11090426,4297098,12001639,0.3875,1.0822,False,True,True,True
EURUSD.DWX,True,6026135,1656896,4618485,0.275,0.7664,True,True,True,False
GBPAUD.DWX,True,13352146,5066208,15292775,0.3794,1.1453,False,True,True,True
GBPCAD.DWX,True,10789315,3953321,11136180,0.3664,1.0321,False,True,True,True
GBPCHF.DWX,True,9123296,3361308,8186975,0.3684,0.8974,False,True,True,True
GBPJPY.DWX,True,13225090,5405743,14137182,0.4087,1.069,False,False,True,True
GBPNZD.DWX,True,11355365,4189352,13288427,0.3689,1.1702,False,True,True,True
GBPUSD.DWX,True,7640377,2091648,7549326,0.2738,0.9881,True,True,True,False
GDAXI.DWX,False,1759379,2326780,2375224,1.3225,1.35,False,False,False,False
NDX.DWX,False,28583096,33514298,40199827,1.1725,1.4064,False,False,False,False
NZDCAD.DWX,True,5689348,1497105,5745468,0.2631,1.0099,True,True,True,False
NZDCHF.DWX,True,4970298,1323193,4850132,0.2662,0.9758,True,True,True,False
NZDJPY.DWX,True,7232809,2080300,7854358,0.2876,1.0859,True,True,True,False
NZDUSD.DWX,True,4445451,1200796,4505934,0.2701,1.0136,True,True,True,False
SP500.DWX,False,4407590,6853963,7908262,1.555,1.7942,False,False,False,False
UK100.DWX,False,2860216,3645868,4148274,1.2747,1.4503,False,False,False,False
USDCAD.DWX,True,4970525,1668980,4839043,0.3358,0.9735,True,True,True,False
USDCHF.DWX,True,5373469,1255909,4648974,0.2337,0.8652,True,True,True,False
USDJPY.DWX,True,8274915,2391444,8484332,0.289,1.0253,True,True,True,False
WS30.DWX,False,4223201,5891936,5968434,1.3951,1.4132,False,False,False,False
XAGUSD.DWX,False,6992489,14550261,12164448,2.0808,1.7396,False,False,False,False
XAUUSD.DWX,False,20232577,31927474,24094856,1.578,1.1909,False,False,False,False
XNGUSD.DWX,False,523621,741484,805234,1.4161,1.5378,False,False,False,False
XTIUSD.DWX,False,2060054,2753608,2187171,1.3367,1.0617,False,False,False,False
