symbol,export_status,count_evidence,gap_weekdays,gap_weekdays_with_zero_bars,gap_weekday_m1_bars,gap_weekday_tickvol,control_weekday_median_bars,expected_gap_weekday_bars_at_control_rate,gap_bar_shortfall_pct,zero_tick_chunks_intersecting_gap
AUDCAD.DWX,COMPLETE,USABLE,18,17,1435,102471,1434,25812,94.44,2
AUDCHF.DWX,COMPLETE,USABLE,18,15,4121,294436,1434,25812,84.03,2
AUDJPY.DWX,COMPLETE,USABLE,18,17,1432,129602,1431,25758,94.44,2
AUDNZD.DWX,COMPLETE,USABLE,18,17,1432,86724,1429,25722,94.43,2
AUDUSD.DWX,COMPLETE,USABLE,18,17,1436,61130,1434,25812,94.44,3
CADCHF.DWX,COMPLETE,USABLE,18,17,1434,76875,1435,25830,94.45,2
CADJPY.DWX,COMPLETE,USABLE,18,16,2870,280776,1434,25812,88.88,2
CHFJPY.DWX,COMPLETE,USABLE,18,17,1436,198892,1436,25848,94.44,2
EURAUD.DWX,SHORT_READ,UNJUDGEABLE,18,17,3,128,0,0,,2
EURCAD.DWX,COMPLETE,USABLE,18,16,2870,321780,1433,25794,88.87,2
EURCHF.DWX,SHORT_READ,UNJUDGEABLE,18,18,0,0,0,0,,2
EURGBP.DWX,COMPLETE,USABLE,18,17,1434,90251,1434,25812,94.44,2
EURJPY.DWX,SHORT_READ,UNJUDGEABLE,18,17,1,128,0,0,,2
EURNZD.DWX,COMPLETE,USABLE,18,15,4117,575879,1433,25794,84.04,2
EURUSD.DWX,SHORT_READ,UNJUDGEABLE,18,18,0,0,0,0,,4
GBPAUD.DWX,SHORT_READ,UNJUDGEABLE,18,16,2,256,0,0,,2
GBPCAD.DWX,COMPLETE,USABLE,18,15,4122,559778,1433,25794,84.02,2
GBPCHF.DWX,COMPLETE,USABLE,18,15,4122,491714,1435,25830,84.04,2
GBPJPY.DWX,SHORT_READ,UNJUDGEABLE,18,16,4,256,0,0,,2
GBPNZD.DWX,COMPLETE,USABLE,18,15,4118,523185,1431,25758,84.01,2
GBPUSD.DWX,COMPLETE,USABLE,18,17,1434,102783,1432,25776,94.44,2
GDAXI.DWX,COMPLETE,USABLE,18,0,20910,665663,1163,20934,0.11,0
NDX.DWX,SHORT_READ,UNJUDGEABLE,18,8,14,1280,1,18,22.22,0
NZDCAD.DWX,COMPLETE,USABLE,18,17,1428,81884,1425,25650,94.43,2
NZDCHF.DWX,COMPLETE,USABLE,18,17,1433,74963,1430,25740,94.43,2
NZDJPY.DWX,COMPLETE,USABLE,18,17,1433,96712,1430,25740,94.43,2
NZDUSD.DWX,COMPLETE,USABLE,18,17,1429,56641,1431,25758,94.45,2
SP500.DWX,COMPLETE,USABLE,18,0,24294,2320348,1370,24660,1.48,0
UK100.DWX,COMPLETE,USABLE,18,0,24064,1011862,1341,24138,0.31,0
USDCAD.DWX,COMPLETE,USABLE,18,15,4120,238073,1430,25740,83.99,2
USDCHF.DWX,COMPLETE,USABLE,18,17,1432,78729,1430,25740,94.44,3
USDJPY.DWX,SHORT_READ,UNJUDGEABLE,18,17,2,128,0,0,,3
WS30.DWX,COMPLETE,USABLE,18,0,24327,2169308,1380,24840,2.07,0
XAGUSD.DWX,COMPLETE,USABLE,18,0,24092,4274046,1379,24822,2.94,0
XAUUSD.DWX,SHORT_READ,UNJUDGEABLE,18,3,19,1920,1,18,-5.56,0
XNGUSD.DWX,SHORT_READ,UNJUDGEABLE,18,18,0,0,0,0,,4
XTIUSD.DWX,COMPLETE,USABLE,18,0,24179,1026974,1361,24498,1.3,0
