source,source_content_sha256,source_row_number,row_identity_sha256,currency,impact,event_name,authority,expected_release_et,expected_local_iso,stored_utc,expected_utc,delta_minutes,native_confirmation,native_utc
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,28517,ef74ce973ec07d27ced4c23ed07dafb97faadc2846646e9cf0cd3a4d506a9625,USD,HIGH,CPI y/y,BLS,08:30,2021-03-10T08:30:00-05:00,2021-03-10T12:30:00Z,2021-03-10T13:30:00Z,-60,EXACT_MINUS_60_MIN,2021-03-10T13:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,33260,721370200afe4e09d8a776c56a8f3f0053677aa0ade7949e181b8cf5e460913d,USD,HIGH,CPI y/y,BLS,08:30,2022-03-10T08:30:00-05:00,2022-03-10T12:30:00Z,2022-03-10T13:30:00Z,-60,EXACT_MINUS_60_MIN,2022-03-10T13:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38128,e2594185d57cc1fa81881a520a132b2e1def5a780cd6d719b9c9a77765b463ad,USD,HIGH,Unemployment Claims,DOL,08:30,2023-03-23T08:30:00-04:00,2023-03-23T11:30:00Z,2023-03-23T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-03-23T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38179,a1230a3fc7fef67d6ca75e9eb1bf50b26db590d4c2b77547e8bc6f306f78eaea,USD,HIGH,Goods Trade Balance,CENSUS,08:30,2023-03-28T08:30:00-04:00,2023-03-28T11:30:00Z,2023-03-28T12:30:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38208,16b15d6d443cb1dcb89028a7559cdf8225469e16e973345d23034d23100f4e1a,USD,HIGH,Final GDP q/q,BEA,08:30,2023-03-30T08:30:00-04:00,2023-03-30T11:30:00Z,2023-03-30T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-03-30T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38288,0ae6324e7964ddd1783d64efb5f6961c6a3aa8f038c2158ed4d0c47963429f66,USD,HIGH,JOLTS Job Openings,BLS,10:00,2023-04-04T10:00:00-04:00,2023-04-04T13:00:00Z,2023-04-04T14:00:00Z,-60,EXACT_MINUS_60_MIN,2023-04-04T14:00:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38337,d47f2be02a8099012b95c7c638860593ebbac44170587381e5b7be18b39c8c36,USD,HIGH,Average Hourly Earnings m/m,BLS,08:30,2023-04-07T08:30:00-04:00,2023-04-07T11:30:00Z,2023-04-07T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-04-07T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38383,5efdd2b71877f8df75e344dc6fce0768416e40866a81b5484245336b14684cc7,USD,HIGH,Core CPI m/m,BLS,08:30,2023-04-12T08:30:00-04:00,2023-04-12T11:30:00Z,2023-04-12T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-04-12T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38417,87811d3437c9493b921f635771cd1ac9137caefc12717ae6e62385b7914a7ef3,USD,HIGH,Core PPI m/m,BLS,08:30,2023-04-13T08:30:00-04:00,2023-04-13T11:30:00Z,2023-04-13T12:30:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38439,9d3f5f9e7497c7f4061c85c5da6aecce9ee7c45cca15882d2407bb16425d8451,USD,HIGH,Prelim UoM Consumer Sentiment,UMICH,10:00,2023-04-14T10:00:00-04:00,2023-04-14T13:00:00Z,2023-04-14T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38518,035972ede7e3f56746552fe7a9e3dd87124393443d8d68dc580fb0434ca232e3,USD,HIGH,Unemployment Claims,DOL,08:30,2023-04-20T08:30:00-04:00,2023-04-20T11:30:00Z,2023-04-20T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-04-20T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38586,869ae992dc49812665aece653a1f6e00a22824b299c6090d0dc18a7bda1be176,USD,HIGH,Advance GDP q/q,BEA,08:30,2023-04-27T08:30:00-04:00,2023-04-27T11:30:00Z,2023-04-27T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-04-27T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38664,f2887e68bcf1917c6c6176cfb43f86f099dfd710b0760c085c3f5f0fe7d3566b,USD,HIGH,JOLTS Job Openings,BLS,10:00,2023-05-02T10:00:00-04:00,2023-05-02T13:00:00Z,2023-05-02T14:00:00Z,-60,EXACT_MINUS_60_MIN,2023-05-02T14:00:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38791,d2c0a629819bc506576556b106ff51107965d5205369a8458bb245933f6cf2c7,USD,HIGH,Core PPI m/m,BLS,08:30,2023-05-11T08:30:00-04:00,2023-05-11T11:30:00Z,2023-05-11T12:30:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38815,33d04303cb08a1faedb209b7cb2b73e34a9664586ad9d6dea9966005a5a6b7da,USD,HIGH,Prelim UoM Consumer Sentiment,UMICH,10:00,2023-05-12T10:00:00-04:00,2023-05-12T13:00:00Z,2023-05-12T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38987,e47918f36c1ec48b7a1868f2084795654c770a0f53e70794c8bbff0f13754a99,USD,HIGH,Prelim GDP q/q,BEA,08:30,2023-05-25T08:30:00-04:00,2023-05-25T11:30:00Z,2023-05-25T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-05-25T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,39003,0967e7f23d8e07638ada56db26b1e4348be0ca7279044ddb3692a1ce1f2a47c9,USD,HIGH,Core PCE Price Index m/m,BEA,08:30,2023-05-26T08:30:00-04:00,2023-05-26T11:30:00Z,2023-05-26T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-05-26T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,39048,519e9865ebc66fa0eb3228d782b657244b4d657b60e8b991a4d2d2650883c3ac,USD,HIGH,JOLTS Job Openings,BLS,10:00,2023-05-31T10:00:00-04:00,2023-05-31T13:00:00Z,2023-05-31T14:00:00Z,-60,EXACT_MINUS_60_MIN,2023-05-31T14:00:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,39088,840fdf5cbc0fb3c8cc1fe1f806ba60cf8e3528594eb9a5967dbf0594555f9058,USD,HIGH,Unemployment Claims,DOL,08:30,2023-06-01T08:30:00-04:00,2023-06-01T11:30:00Z,2023-06-01T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-06-01T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,39102,1edea0214947af8724a6f4ef53c72ab6c99804557c7d2508d285683f7efc61d3,USD,HIGH,Average Hourly Earnings m/m,BLS,08:30,2023-06-02T08:30:00-04:00,2023-06-02T11:30:00Z,2023-06-02T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-06-02T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,39172,9de5e558bd46b10d28a576a664def5b77df347fa22df3f8ac9948a2620c1ccf1,USD,HIGH,Unemployment Claims,DOL,08:30,2023-06-08T08:30:00-04:00,2023-06-08T11:30:00Z,2023-06-08T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-06-08T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,39206,048a62b923c5a0b97286bfb9c62098bd1bf2a6dd931af07fa0a51db2c2eb76e2,USD,HIGH,Core CPI m/m,BLS,08:30,2023-06-13T08:30:00-04:00,2023-06-13T11:30:00Z,2023-06-13T12:30:00Z,-60,EXACT_MINUS_60_MIN,2023-06-13T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,39226,ac3775f6a83772b1d6f5a0a8f813facaae8ba5bf77b5c661736ddd3e6ac0b88d,USD,HIGH,Core PPI m/m,BLS,08:30,2023-06-14T08:30:00-04:00,2023-06-14T11:30:00Z,2023-06-14T12:30:00Z,-60,NO_MAPPED_NATIVE_JOIN,
