work_item_id,phase,ea_id,symbol,status,verdict,data_window_start,data_window_end,news_calendar_sha256,exposure_symbols,currencies,currency_mapping_sources,usd_exposed,affected_rows_in_recorded_window,calendar_binding_impact,required_action,existing_evidence_path
ccc5ea5b-e3bf-56c2-985b-bcb5387a6942,Q09_NEWS,QM5_10403,XAUUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,XAUUSD.DWX,USD,XAUUSD.DWX:owner_override,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\ccc5ea5b-e3bf-56c2-985b-bcb5387a6942\QM5_10403\20260904_073639\summary.json
3c1c84db-766a-5605-91c1-4ae4bf01ef44,Q09_NEWS,QM5_10513,XAUUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,XAUUSD.DWX,USD,XAUUSD.DWX:owner_override,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\3c1c84db-766a-5605-91c1-4ae4bf01ef44\QM5_10513\20260904_073656\summary.json
12772e52-a69f-5b6f-83d0-ac0feb87e9b8,Q09_NEWS,QM5_10706,GBPUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,GBPUSD.DWX,GBP;USD,GBPUSD:legs,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\12772e52-a69f-5b6f-83d0-ac0feb87e9b8\QM5_10706\20260904_074221\summary.json
a96cf5c2-9c3f-5bac-8f41-0c695f5f5953,Q09_NEWS,QM5_10706,GBPUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,GBPUSD.DWX,GBP;USD,GBPUSD:legs,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\a96cf5c2-9c3f-5bac-8f41-0c695f5f5953\QM5_10706\20260904_073311\summary.json
a257b4e9-3984-55b9-98cb-add4591e04fa,Q09_NEWS,QM5_10919,XTIUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,XTIUSD.DWX,USD,XTIUSD.DWX:owner_override,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\a257b4e9-3984-55b9-98cb-add4591e04fa\QM5_10919\20260904_023826\summary.json
57dcceb8-6696-566f-b7bf-ce3a8cd35f8e,Q09_NEWS,QM5_11165,AUDCAD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,AUDCAD.DWX,AUD;CAD,AUDCAD:legs,NO,0,HASH_BOUND_NO_DIRECT_USD_EXPOSURE,CONTENT_HASH_REPLACEMENT_REVIEW,D:\QM\reports\work_items\57dcceb8-6696-566f-b7bf-ce3a8cd35f8e\QM5_11165\20260904_024215\summary.json
f4310f9a-0b8a-5017-bc22-5be3e484d6af,Q09_NEWS,QM5_11165,EURUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,EURUSD.DWX,EUR;USD,EURUSD:legs,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\f4310f9a-0b8a-5017-bc22-5be3e484d6af\QM5_11165\20260904_055630\summary.json
809e6347-8c76-5263-9e62-9e861ac2f7db,Q09_NEWS,QM5_11421,EURUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,EURUSD.DWX,EUR;USD,EURUSD:legs,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\809e6347-8c76-5263-9e62-9e861ac2f7db\QM5_11421\20260904_055718\summary.json
e6e4eebe-49e2-54a7-866c-1290279b3daf,Q09_NEWS,QM5_11421,AUDUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,AUDUSD.DWX,AUD;USD,AUDUSD:legs,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\e6e4eebe-49e2-54a7-866c-1290279b3daf\QM5_11421\20260904_055616\summary.json
bbe69845-0075-5268-9296-fff69d9d9dab,Q09_NEWS,QM5_11708,EURUSD.DWX,done,REVIEW_REQUIRED,2024.01.01,2024.12.31,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,EURUSD.DWX,EUR;USD,EURUSD:legs,YES,40,DIRECT_USD_WINDOW_EXPOSURE,APPEND_ONLY_REMEASUREMENT_AND_READJUDICATION,D:\QM\reports\work_items\bbe69845-0075-5268-9296-fff69d9d9dab\QM5_11708\20260904_055932\summary.json
