cell_key,work_item_id,direction,predicate_id,mapped_native_job,cold_ex5_sha256,cold_mq5_sha256,cold_setfile_sha256,cold_report_sha256,cold_total_trades,cold_profit_factor,cold_net_profit,cold_max_drawdown,cold_logger_sha256,native_pass_status,native_total_trades,native_profit_factor,native_net_profit,native_max_drawdown,field_exact_match,trade_list_byte_match
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:baseline,066dd96a-0c3e-5626-a66f-8ad8799350a6,NONE,0,baseline_cold_only,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,67b86c206079b3c42e997f61013099583ed17773a2fda2444d09b9255ad364fa,96037368e95f035661f5795881be659bfcfda02abe45bf4de262da2cecaef00f,37,1.14,3360.56,10001.29,a25619150172cc9689400fdd10a95feb2bcfdef0626dc72f1f77a0fe058056e4,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_003,8d194d9c-bb08-5031-80e2-d429a61c2aab,BUY,3,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,ff284eeda0d924948d44dcc2c878732af848d990d52b5b4070b4f09d41e7cbd7,3d03da364d7653aed0763e055e1d1105e92f185680d10f671ae36e699d2fed4e,36,1.19,4386.55,8975.3,2d817775408a5a1f94c6d68f2517ca8d9642c4a319c3b14b77a47089617bfc9b,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_004,9d161246-0574-5a26-ab72-86bdb8ac3582,BUY,4,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,7b2c81cb7c11c78b54b93e54cf8bce23c7ccac6850061bd2fc24d8c6a0a560f7,18c01a464beb7cdb86ad40fa87bf6ee0681cc0222f4336dcacb1c6a65cd1d5c9,37,1.14,3360.56,10001.29,4a3f2941c2f3f34ec3b23620755fb301eb3762c0c4b004fd24435e6d5281fb73,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_005,f120c2d0-1b16-53a1-b918-a955b77833bf,BUY,5,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,d44ea780fc4b1928017b5bf06b9adbfba957d6acf30e81b347e00f9bb5b4ef7a,92800f67ffa48693cfe31f8958bc3889ac223835ea0d4a075a72175752cc4720,37,1.14,3360.56,10001.29,20a5afab498541d383e7d0a993cdaf0aba584df0ca4ea71ef26e27a95b06e65d,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_006,6365a3b6-d13b-503d-990d-c4cb31fa068b,BUY,6,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,fb6f352dec1addddb043a3f3478ac06ab2e1ade310b97ac1fa0e5a1116d91551,39aa546605d7e001afce40c74740d6c2e8472345e0b375c904e16eff6245ac46,37,1.14,3360.56,10001.29,8a7915805dc12a2c35341f7af4ea800250f6c10e6975e790e3a46d2fa0e33fb5,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_007,1a16307c-36a4-5d05-b484-15c2f9116606,BUY,7,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,3eedb91b0fb0a8f7d907566811dbbefe28eaf4463722f693118a08296e3ba148,13494cd043cc2d192c513671e52f864fff4f426ebc219838b664db5cf0b6ce2c,36,1.19,4406.43,8955.42,13df47d1b0e047e24c0144924ab0d7c14a8271022f3b9fc5ee91f9485facb9ca,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_009,b1acc034-8ad9-59e8-92c5-c425452e237f,BUY,9,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,65a3003776c021ea9f8376d7c3e26279439fcef9b4f4f9cbe52d102d27d2490f,0791fcb3215b06e2f2bcdeb7044c8e705ba421793327fcb7494f286152e34ec5,36,1.19,4406.43,8955.42,2e15c0b2678c8d0baf2653ce77ef801aa149cb5d2ec5c3c23b9afbe88095ce7f,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_010,eacc979d-7bd5-5462-9c7f-2e8d46fb10b5,BUY,10,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,776ec1f94c5e35af35f132dcb9da1f4ae590d228da31ec88bc04ff97fa6724bb,88070a8e2d4ed6e5909cf5eef0d8033d13a4565e647e5575367efa11ca34e4fb,37,1.14,3360.56,10001.29,2d250d4012ba54a2ec21c6e21a4134e6e3386d4bb9b66584dcb583a48c911cde,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_011,7b8cb5e1-c09e-539e-95d9-658486994b86,BUY,11,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,c2df5ef67c08cf88c4db19bfedd9707184070bd2d56de2c667b7fba9abe51b95,d7aae223c38b0e50671a458d7437553dc320d06bdccb707b37f5d761767c992e,35,1.25,5432.42,8041.08,3d80b7328658c5160d959b6ff19cf02b7d967a6cb47ed83f90b48c14604d3774,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
DL089_QM5_10706_GBPUSD_DWX_2019_2025:2019:buy_008,17d4019b-8a0f-5003-a8b0-3f0bcdb0e81c,BUY,8,buy_003_060,d96c7435d66cd16bb8ad778f53abcbb51e81a37628dd29a925208ce4550417d5,59b67eb93b490c6c4a4614da7abd021830cff8d911e08c11913beb06fd31bdb4,26a67b35ba56fd5f142ed51a072da8c0ff743dd8cc3d3095d4b9bb81a8b22899,81d90b713f5f774645dbea2e10e5e9354f894312242b3076d9886bfa291bbaa6,37,1.14,3360.56,10001.29,67e16c74925f15c164d60482e02496ac61e88e29a1c8e8a16a80683d89531c2a,NOT_RUN_PREFLIGHT_CONTRACT_MISMATCH,,,,,,
