selection_rank,cell_key,work_item_id,arm,updated_at,cold_elapsed_seconds,identity_sha256,report_metrics_sha256,trade_list_sha256,trade_count,warm_status,warm_elapsed_seconds,warm_identity_sha256,warm_report_metrics_sha256,warm_trade_list_sha256,all_exact
1,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:baseline,356a3655-5f0a-51ea-84f3-a3d04e2ed714,baseline,2026-08-22T06:39:37+00:00,238.565,7b26e67f5dbd9f5eb0ae39f326e68c3da7e87233d887ea2504c3944571ed1b73,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,193,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
2,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_003,ccc0055d-046a-5b80-9f3f-7d1ed7392e38,buy_003,2026-08-22T06:58:52+00:00,516.103,a360fc112a86832b3c439a8a2c3971775fcae85eed6a5989d72bad42efea1379,c939eac37d0c409bcc2d05396c58f4ba7a54541db5786a0c6014f5f58b6ad9d8,69befe7a507a3943d2a75924248a4530cec5076f3e2a4253e9ca93637af17080,183,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
3,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_004,ea962544-3f33-536b-a20e-081e4a7bc5eb,buy_004,2026-08-22T07:10:08+00:00,272.551,68e3c2cc8e4b08f5744c168d408addff7312b3a72c52faed033207b2f42ec4d4,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,193,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
4,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_005,86ba5c0c-7d44-5461-8b69-c4ca4e68bf0f,buy_005,2026-08-22T07:22:18+00:00,403.304,88ad48aed74c4213d736fc438bdd7e75e6f2a2df8ce0df2eab62c94fa8fd8659,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,193,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
5,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_006,76963c69-9b55-5924-8e92-385705cbb582,buy_006,2026-08-22T07:32:51+00:00,379.362,bbb71c115eebd7f640ea2f8e99a637faf5bb065bc79643dd156b551c37b47f78,c5d05a555f5affede5905015bda167a8e2faf7cf7adc09143e0b4aa9e903103d,db78ccde49fb8caac3ebd6d1188c1984809c2d8e26febbedff1d04c2d7dcc8b8,190,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
6,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_007,97305edc-622b-5e81-888b-6fbe3c08dbfb,buy_007,2026-08-22T07:45:51+00:00,298.454,3f7a873c89dab33a1648ee8a9ac08e2fb1577a9308dceeb11a3f13eab6ef1974,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,193,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
7,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_008,05fb3d10-950c-51c0-9b18-eaa31acb1e1f,buy_008,2026-08-22T07:57:53+00:00,279.532,83efc3ea41612c55f0133893122607ab9431c9ee261a67836ad9f1003ce4e922,950d222ef2fa8a90a44b689fff73730e25519fae78679e0b3d30b68043d195b9,435c5436f6c3d24046c3ac1e6830f9f7e9e942e28f6eda11001613235d2588e6,192,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
8,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_009,7b192d77-6305-569a-a034-ff13f54d18a3,buy_009,2026-08-22T08:06:10+00:00,291.041,ad4daf2d73e08b636a91cb4c8e59cff7b9c752ccad54d66c6adc97c225ecbcd5,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,193,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
9,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_010,9d29a68a-c2a6-5b8e-828a-541d56626192,buy_010,2026-08-22T08:18:19+00:00,487.317,8194e7e34ccafb20258fd9f2ca8e32d2cc7a99fb0446d3c6f7dd77665cce0270,6cf2a53bfcad6fa23d2155fbc15f20dd0b25a7db884b25295c96d4bc68453f24,bbd0c5fb4c27c12248550d10ca562e437db24b9b2209ba48702db7d7e67fa572,190,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
10,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_011,3c7642dc-8046-56d0-b923-3d78adb6bf87,buy_011,2026-08-22T08:27:37+00:00,264.479,3fb8fa850e6f79085ad1e77afb6a44c22b4de32e9225dfe536e4149a6ef261b0,a38adb929b3335128837a2b99ecb0cee80abeac236556b2bc6f0082f5b3da7a2,151800be34e02c3d55c2039f3a283ce2b62db9c66cb8806c25c30142334d36d8,192,NOT_RUN_UNSUPPORTED_RESIDENT_CONTROL,,,,,
