rank,work_item_id,ea_id,symbol,arm,completed_at_utc,terminal,build,cold_seconds,summary_sha256,report_sha256,logger_sha256,setfile_sha256,metrics_sha256,trades_sha256,status
1,be2ef6c0-cb67-5768-b3d3-23887670f850,QM5_41097,USDJPY.DWX,sell_093,2026-08-28T01:36:44.9671798Z,T7,6140,270.967,8f7cc5c4ec2a7a0e34f884c0d422288a7c448d1e56c9e010b3f91b30eff87d0c,96bf870b4008f16944011f38aca3538752dadb3093edda6797e3fa3eb2c11a0f,63150d4a55f4fc9a57bc8b304b01e706b6f5338e59a5903ba2a80d170b482698,a7bcf1080d40372b149bee6c8a7a09374ad6e677b4299c9b8fb6bbf8ed4be800,58c8fb1d2b9a863d92715a972ac3bf086e4da89aa326b64544119f586ec47444,6a03d541e6a6391951d296643f364bff995e86cebb17f857f5ba7da65a52d671,AUTHENTICATED_COLD_BUILD_6140
2,7003791d-b5c4-5114-aa66-1ea69eacd9b5,QM5_41097,USDJPY.DWX,sell_092,2026-08-28T01:28:36.5081080Z,T4,6140,223.508,e30af670dd02606f17abacc4f47b7227e18189e1d4738327fc682d8f0af7554f,a2909802b205ea08f52baeb7626b8a17b642785517333168310a7cffa11002f3,087172eda1268e3fc5e841e0cf3a0169999d74a0624bbacec36df133274c4bd4,44bde093e742c58b9a6d083806eeae652c1f3590b998ba56e3716be1e55b5fa3,fd9fe3c91a44971ab670bc59abbff88e9092ef9ea8522b1557ab22a8af63e75f,18f1c86186942a213c74f6ddecd63a13189d7de7160cca381643e679a09209bb,AUTHENTICATED_COLD_BUILD_6140
3,66270dc9-3d58-5eec-9dea-d8732b37f51e,QM5_41097,USDJPY.DWX,sell_091,2026-08-28T01:22:20.7748205Z,T8,6140,304.775,6ad3f8bc2bf576e8f1191f6581812a17b3dfa2e8da6f2f94a8620e38aef76443,e22e148d3f2a96bfbe7bb2215ab5309457e1d3f6422f531609e2ec5c1d1cd1a8,1bc26bc74e3ac51a72a5ca0d38c7f57fb984fa49a85a3f7ae6f8ce8d1e114eae,bfc895fe52f164997025367ef740906a257868cc10e0631883eda0809addffef,51bb6e301de3284c9e94c0e1eec8d7b7d2efd51feb34bf06406040a83463f6a4,44a97f963e55b3093ef00bcfd57212ec16911a38057c51f7fd89f8e4cea72203,AUTHENTICATED_COLD_BUILD_6140
4,b2fbdfbb-f346-5ddc-9030-6494d412465d,QM5_41097,USDJPY.DWX,sell_090,2026-08-28T01:10:46.1251741Z,T7,6140,288.125,e213b5792ee48e2a6a44b353927862e7ee5bc40699a0b5ed651c72068fde4d94,a534e6a5d015ac5812950f4cf01af538ceff78fc26bc10f9b502d3026e679b9b,0f39596b91a8c16983b41ebb8de62290d8ea06c9fc54d0b13f76c771a5f1679c,e2099bc0b003a8de40ce2e683b21a62a2edbb5cf35d3b651f845a7d602eaa4e6,0e26786c6555db42bb36a28f4182727b87b7318020e1387c4d74464e2556f577,62eb916c0ea661a2623c2990bb6e7992c9581d92d3fe90b8289b085f513691e2,AUTHENTICATED_COLD_BUILD_6140
5,824ac641-5847-5ba9-8245-98846d9c5e35,QM5_41097,USDJPY.DWX,sell_088,2026-08-28T00:41:57.4492902Z,T9,6140,241.449,b25a75e1b85ad7a5c5c4eac05fa5f0dc6d59c0695490270354a1fc2c8709f307,56e788846a53715c3ba9302069b5817347fd7105472fa2d2ef31523e3c1a2938,e98a223e35b9c422cac94bbd2c42872f9b0d7f466cc665f688581a322a349044,c13cb810832ea408e5cff223ba64cfb61a228905afe9ba1f8e6bbe09032b50bf,20517b8bbfd1d6fc77bc1b1c9323d1211bab9841c3eff9006f6bd10733a0515d,94b0f36b5671a9e6036712862135abb14e17ca8c76ed2521112e715d7ae96264,AUTHENTICATED_COLD_BUILD_6140
6,42006440-b4a6-54f1-acab-18ebcfa5f361,QM5_41161,GBPUSD.DWX,buy_079,2026-08-28T00:38:41.9353337Z,T3,6140,215.935,db571b17bd53d810ac39a0f7db681b067f4e186189ac7144c9fb368149606d0c,80d330e7de4b7a0b3d69b44b78035134921d5e8c1a4eeedc4ad771429abcc544,7dc9bdb29c4841e4f1ed19637116c1fa0b55161eaf57c35030fd713b50f2ca5c,f91954aa0274cf9f410516b230315a125787c910db1095c9cc80d77d2dd01e99,2eb77a89ac65f3ca0a75098cda9513313f0f8729eb269048c8f8389d4e7c9abb,83397b1a387316d0e376748d7f204a658ffe2d1aa3cedf9870043c9d72686cc2,AUTHENTICATED_COLD_BUILD_6140
7,87d42aa0-1672-5e2c-b793-95322b0dc0fd,QM5_41097,USDJPY.DWX,sell_087,2026-08-28T00:34:15.6961294Z,T8,6140,356.696,d987b6af51954263e33e9a9422fa6c62b64273ed83e1ab8c5e693c10d78fbc88,952a9a7dc8acbdd8e407806a450c68560693054eeb718b8ffe1066871fe89888,c18bf581acf4dc7ce1c27e0bb5d98b24595ed97c54c18dd710e987aa1189e193,fa730a86fe1cde4effb8a16a557157ad64ee45207f4589444db8d86007ff4d9e,ef7706782dd1cd484e735cfd9024cb3dcc9fe5bb9386ca2d5e06f372ea694000,5dac4e1ef2838f4098258ed0c822e34373949dae42d45ba134bcbd97e67a6e11,AUTHENTICATED_COLD_BUILD_6140
8,6c032cc5-297d-5c39-ad4f-6ab8ce1a5f85,QM5_41161,GBPUSD.DWX,buy_078,2026-08-28T00:29:02.5107738Z,T2,6140,224.511,5d8ea87e8247314fdef9e0feb04b739c3e2943842d52849384f3c651300549ef,e9849d0ed37ac879de6789a506be4c6c635202891d6cf6e0bfa614b894825a18,e08c2b7f05b8746e148d7ffa7640f5afae27bda622e83028e103623544d8cb4a,4382e31cdd896d26b093a784c2fff41d9b5382736cb609720fcfbf28a48af7cc,cb18ad3e6fd9efd64de92d660cb81eea43c4365fe923e94f1832649aadd3e9cc,c6a042f1df8139887b66340bd386e4b965ac787c944e7d6cf094f469e0488ab4,AUTHENTICATED_COLD_BUILD_6140
9,da02abda-0f7f-52ab-a9a2-203d9ad7e0f4,QM5_41097,USDJPY.DWX,sell_084,2026-08-28T00:23:04.9117352Z,T8,6140,293.912,4d43d532322558e80317fd1d9dab785954473efd04b6c4539cb7fda9953a5c13,d3d6a6cc88cdab2258c4179848ea497743f6a3fb4e10431c2a01372b7ba2716f,e48ce073af8a522f8ad5ff537f21a4d02b595defcb97f5aad5e7be16c02fb5a1,84798a4835b6db28144f421f8a221419e0755fc57ae02064b5207c91bde7a446,df07addf533b5bd119dce29986d5a0bd73c5d53b79a8c83a03588b4af4f84b3e,c2de9c721ce5e6e61bddeaf3435d5490129f91c86abf3448927e8df176cc7cc6,AUTHENTICATED_COLD_BUILD_6140
10,fcdf3071-fabe-578d-b7f4-21c414cc6b41,QM5_41161,GBPUSD.DWX,buy_077,2026-08-28T00:22:19.9241858Z,T3,6140,224.924,dd8186ff97ee04cd59ec63da259418513cef0426af3326830c574fdda1c1d358,9caaa26b8b510a4cb1e076e9511e50b10ae8637f0682c81a1f6d8a65844d0d1b,86bd03c8468b9c59153355bf4ef5e4c6ccc4b28fab906961759dd01cbd061178,62c2b4a78370bdcfa893c43952ccd43178172f2e65a39888bb90a82e7109280d,d64ba952c7934338ce18c2b48112776ae07c1226435906a15049cb2d7bcdb461,38901d1194bb9061598a843e3813f1371d03fcde357aed2773386d1977d18dac,AUTHENTICATED_COLD_BUILD_6140
